Unnamed: 0,model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_acc_art_painting,test_acc_cartoon,test_acc_sketch,train_acc,train_f1,val_AC,val_ANE,val_l2,val_EMD,test_AC_art_painting,test_ANE_art_painting,test_l2_art_painting,test_EMD_art_painting,test_AC_cartoon,test_ANE_cartoon,test_l2_cartoon,test_EMD_cartoon,test_AC_sketch,test_ANE_sketch,test_l2_sketch,test_EMD_sketch,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,sharpness,test_ATC_sketch,test_rankme_id,test_alphaReQ_id,test_rankme_sketch,test_alphaReQ_sketch,edge_start_ratio_deep_vs_shallow,edge_start_ratio_deep_vs_shallow_1,edge_start_ratio_deep_vs_shallow_2,edge_start_ratio_deep_vs_shallow_4,edge_start_ratio_deep_vs_shallow_5,shortcut_vs_local_ratio,shortcut_vs_local_ratio_1,shortcut_vs_local_ratio_2,shortcut_vs_local_ratio_4,shortcut_vs_local_ratio_5,shortcut_vs_deep_ratio,shortcut_vs_deep_ratio_1,shortcut_vs_deep_ratio_2,shortcut_vs_deep_ratio_4,shortcut_vs_deep_ratio_5
0,0,False,0.0,ViT-B_16-scratch,False,0.01,0.4634146341463415,0.3134380578994751,0.1390374302864074,0.1443850249052047,0.1684492081403732,tensor(0.3809),0.2390611469745636,0.4348308145999908,-1.5392377376556396,231.28836518876795,1.6481785774230957,0.3748220801353454,-1.6247819662094116,231.28836518876795,1.688798427581787,0.2923966348171234,-1.7619736194610596,231.28836518876795,1.7042746543884275,0.2588530480861664,-1.8160392045974727,231.28836518876795,1.7874059677124023,6.856070177326197,0.0942712798714637,17.03193473815918,4.3426272213764605e-05,1.0201823711395264,0.1288632602601015,1.8220347165254225e-05,4.058902354380278,1.058936602824421,1.3053645714545508,1.1366179349316234,2.531055911423916,1.0686603114191326,0.0004035555702301,0.00032718128584,0.0449173202177348,0.0591120637301672,0.0003152247518301,0.1694961041212082,1.9599002599716189,19,7.717212176956505e-06,-3.366653161202622e-07,9.1671258957471e-06,1987.9719038118903,3.225609041679756,2.8083646556215305,0.3375333840396949,36.0,0.0728893406215805,38736812.75719635,1.6524395469402336e-05,57174,0.6499218221546107,2.1666808360099927,0.0118252361673414,0.0024938990780275,0.0059374431714857,0.6497478594040901,0.0008589926004319,-3.74737625713033e-05,0.1135771976203576,348012.552353026,0.0018393084072531,0.0118252361673414,0.2775925785701024,0.39255091547966,0.0024690956342965,3.771772384643554,2.6365599632263184,0.4750280082225799,1.0,0.0,0.1142299617490037,0.0792379174481238,0.0799387161219561,0.075727771086482,0.0525491840096696,0.0569059573374398,0.079801074901893,0.097171511509271,0.0678159575884555,0.1189093130645385,0.0910409774817813,0.0686900654491828,0.1322115540012062,33,94,0.178030303030303,1.0,0.3019019593246201,540.4256618103327,0.0001803369675144,1.5572817643945616,7,11,0.5238095238095238,1.0,0.9483607351430566,128.94695800660762,0.002979903617052,0.1898353469716031,0.1264414443169176,0.0674873192158214,0.6660584887588485,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.000462654599687,0.0045783249661326,0.0007264320156536,0.0003152247518301,147,0.3581695556640625,0.0,13.25978946685791,1.6258241561409148,14.72343921661377,1.8275745690409748,0.0565025676093563,0.0128218481960981,0.035843584131189,0.0886768071721388,0.164171141030889,6.500559909569512,51.81425483871402,17.437518011060156,4.644240085700679,1.4994226230027905,0.4177875373860243,0.3983728848311253,0.5049729324916212,0.49341135475799325,0.46265537775169563
1,1,False,0.01,ViT-B_16-scratch,False,0.01,0.4207317073170731,0.2100712358951568,0.1657754033803939,0.1871657818555832,0.0481283441185951,tensor(0.3562),0.1687692254781723,0.5881441831588745,-1.2241339683532717,229.61406662309508,1.655584454536438,0.5607916116714478,-1.2959622144699097,229.61406662309508,1.696428656578064,0.6034208536148071,-1.285942792892456,229.61406662309508,1.7086340188980105,0.5438359975814819,-1.4571568965911863,229.61406662309508,1.787392020225525,6.805692380892563,0.131088837981224,17.873085021972656,5.453102266983478e-05,1.0296361446380615,0.1258045067190081,-6.441242604182662e-05,3.875771501900972,0.8757883883910696,1.1829694471373249,1.3610397374512986,3.0364749170840417,0.8906480347621463,0.0006134525768715,0.0004947333728608,0.0461264359286557,0.0674535242245039,0.0005520766717381,0.1793901920318603,1.920931935310364,9,1.101652301491816e-05,-2.262678140550794e-07,1.81161906662743e-05,2016.218886492769,3.269598663436239,2.755829880693048,0.3463543254310984,4.222222222222222,0.050651466882304,30912414.60373136,2.6848170427794498e-05,44916,0.7422835589749016,2.2531451135364087,0.010357624831309,0.0033434256790581,0.0053629469122426,0.6707951479657285,0.0008283885526009,-1.7014236005941986e-05,0.1024344359726245,411096.1273136455,0.002018850868626,0.010357624831309,0.2514092327193543,0.4216240644454956,0.0017209294019266,3.847690105438232,2.6371028423309326,0.4685665071010589,1.0,0.0,0.1308976971205687,0.0565101731303425,0.0905807545516614,0.0701188098845777,0.0948016804184101,0.1172797423517141,0.1010961312569952,0.1117793033056728,0.0856816525754028,0.0738034759454926,0.0190644963121158,0.0967087601035295,0.082575020164085,33,92,0.1742424242424242,1.0,0.3300429047091766,632.3981388949245,0.000151225363924,1.5582127159641177,7,14,0.6666666666666666,1.0,0.8868038547302124,189.24442087279937,0.0027563302227824,0.1754974532777705,0.1331449153790557,0.0713204342832481,0.758671495752814,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0007648429600521,0.0064510600641369,0.0011304860236123,0.0005520766717381,148,0.3466728925704956,0.0,12.766921997070312,1.5914180249362295,14.725903511047363,1.8362771414910588,0.0462934557961912,0.0185509155217366,0.0327952560199653,0.0759013040020714,0.1412295347711255,6.407653092610395,45.19299175641135,17.73123714770282,4.747184927706305,1.5159003344012103,0.3515175869621014,0.5451364309611519,0.49140222706901726,0.4471479350900226,0.4162231251560943
2,2,False,0.0,ViT-B_16-scratch,False,0.01,0.4024390243902439,0.2064701169729232,0.1576354652643203,0.1752136796712875,0.0407124683260917,tensor(0.3689),0.205149844288826,0.5675672888755798,-1.2816874980926514,231.28824620397776,1.658564567565918,0.5520801544189453,-1.3287495374679563,231.28824620397776,1.6971282958984375,0.6184413433074951,-1.264867067337036,231.28824620397776,1.708005666732788,0.5965970158576965,-1.361143946647644,231.28824620397776,1.7873895168304443,6.802274926515443,0.1200734674930572,18.59787368774414,4.6974484121165005e-05,1.030918836593628,0.1186024887637463,-0.0001070129133182,3.783641101187673,0.7836569421079802,1.08197118261544,1.0765496153724745,2.0535787003023955,0.767871578174763,0.0005351911477582,0.0004306098870578,0.0456234986393447,0.0666960249469523,0.00053251121426,0.16915163397789,1.8825783729553225,7,1.3015357521410368e-05,-5.246572634517573e-07,1.4341140229517157e-05,1893.279060343572,3.326766333608918,2.748640971199918,0.3468165816282655,12.666666666666666,0.0524422546251467,35109879.838074155,2.2588518700246635e-05,37179,0.735341366762394,2.2313930826826853,0.0099012775842044,0.0029958459540054,0.005325326809499,0.6685293686200575,0.0011095844285443,-4.4728035327346255e-05,0.10422986770705,411836.744141548,0.0019257149505499,0.0099012775842044,0.2554016690643288,0.4063115119934082,0.0016498928889632,3.8242499828338623,2.630021095275879,0.4617491066455841,1.0,0.0,0.1270970479282277,0.0933501078038954,0.0813032651159909,0.0776741581535927,0.0696438530071218,0.1172740409072342,0.0985409242535203,0.0973141477364801,0.0923078331167247,0.0664323425051892,0.0267563133978217,0.0971340343918719,0.0822689796105567,35,94,0.1579831932773109,1.0,0.3060692898847329,566.4820001456134,0.0001853194403638,1.5761058944752775,7,12,0.5714285714285714,1.0,0.9185056155075594,170.82386282485655,0.0025019661872299,0.1627026020980601,0.1305957517133307,0.0698595565047117,0.8026654154837748,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0007087192498147,0.0056426632218062,0.0010179122909903,0.00053251121426,148,0.2575790882110595,0.0,11.2816743850708,1.5958754282161949,14.097514152526855,1.839146903294666,0.0383193411872551,0.0118256623402713,0.0245246727260078,0.0621961729624535,0.1235190376154364,6.020112883256919,41.77162890754195,16.231259864404095,4.476202472772424,1.5108441012986475,0.2987639372326217,0.35841805126554566,0.37331078501342296,0.37827636261696257,0.3864880588244568
3,3,False,0.01,ViT-B_16-scratch,False,0.01,0.4024390243902439,0.2584550082683563,0.1625615805387497,0.1794871836900711,0.0407124683260917,tensor(0.3353),0.1935368180274963,0.5442596077919006,-1.3064218759536743,228.0116854612676,1.6527924537658691,0.5394653081893921,-1.3389432430267334,228.0116854612676,1.6872296333312988,0.6329798102378845,-1.222210168838501,228.0116854612676,1.7039475440979004,0.6247969269752502,-1.2999897003173828,228.0116854612676,1.787403225898743,6.888558962349235,0.1077692955732345,19.57990837097168,3.5957240925199585e-05,1.0356512069702148,0.109423994060043,-0.0001277495647027,3.7240047250412847,0.7240203642733066,1.0326870483990478,0.8230269686695209,2.543028614379754,0.7617764656397266,0.0004780255673395,0.0003671038358916,0.0417514173811785,0.0666965766830566,0.0004440445627551,0.1853824257850647,1.912342429161072,3,9.878447695935333e-06,-2.928691737735682e-07,1.1451723984787696e-05,1982.5635922231168,3.41854952905704,2.773748083919497,0.3531629758707213,144.0,0.0426698106924885,61067408.40040923,1.836631135765988e-05,31751,0.6895020300016561,2.255368713596914,0.0089481774264382,0.0027188540217337,0.0047765300572671,0.677372401246069,0.0008628411312219,-2.5580872393242047e-05,0.087368550181375,699145.1703269606,0.0016042205387814,0.0089481774264382,0.2374805352521284,0.4031620919704437,0.0013115012552589,4.113451480865479,2.642587184906006,0.4950734376907348,1.0,0.0,0.1405932314035187,0.0578213896920387,0.161487303815306,0.069569452635933,0.0599150629926926,0.1195062406027472,0.0647085228642841,0.0823540617401173,0.1154199239863476,0.050184950213837,0.0577912998542419,0.0812767654797836,0.0799650261226705,39,99,0.1336032388663967,1.0,0.3115813550039317,823.6394646542083,0.0001079958677276,1.538082497593131,7,15,0.7142857142857143,1.0,0.9096825681283042,157.54885078528537,0.0032970603619945,0.1734579746629032,0.1442297638719827,0.0777196234017158,0.8314968749766487,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0006393897347152,0.0050675491802394,0.0009202632936649,0.0004440445627551,155,0.2779841423034668,93.63867684478372,10.60586166381836,1.6382161492255498,12.36144733428955,1.8745115521375253,0.0487655745670656,0.0163475674448942,0.0314926847815305,0.0754653276707024,0.1394823268511068,6.228241366884496,71.98318680657802,16.858013659771668,4.536966485995007,1.4937188620531736,0.3831175718810581,0.8137376320850696,0.48576978930577336,0.454156398027141,0.42686390537649316
4,4,False,0.0,ViT-B_16-scratch,False,0.03,0.4634146341463415,0.2867175340652466,0.1604278087615966,0.1711229979991912,0.0481283441185951,tensor(0.4115),0.2543409466743469,0.4322111904621124,-1.5605332851409912,231.28898975680843,1.643167495727539,0.3900567293167114,-1.6156766414642334,231.28898975680843,1.683570146560669,0.4269108176231384,-1.5558605194091797,231.28898975680843,1.707305669784546,0.3938159644603729,-1.489896535873413,231.28898975680843,1.7873915433883667,6.707055268179147,0.108862929046154,17.482677459716797,1.6469586171297124e-05,1.0109554529190063,0.0823033689871275,-0.0001856251886422,3.581947149202416,0.5819602536951831,0.8122205423152817,0.8041953436341648,1.7825035929023954,0.5626577154073701,0.0003606561183175,0.0003267787106722,0.0427334274957558,0.0524788504684105,0.0003483895852696,0.1605821251869201,1.9027507305145264,3,9.44453965401646e-06,-1.4819372690582858e-06,1.3055304955516227e-05,1930.390358775998,3.1868859136592698,2.751441523222372,0.3333522241696128,81.0,0.0813659646225382,58187286.57840383,1.959950264935669e-05,83505,0.5617844785078638,1.992287352543419,0.010002195871761,0.0031053354027829,0.0055279966280841,0.6938611413453826,0.001119142424443,-0.0001756040277412,0.1833142217156377,491047.5348961764,0.0023224673657408,0.010002195871761,0.3679705694041639,0.3465535640716553,0.0042773522436618,3.625314474105835,2.425554275512696,0.4052090644836426,1.0,0.0,0.0967403788634155,0.1071647034170438,0.1409890234288555,0.0538418038389108,0.0624791629945732,0.1144897127601839,0.1119194419549906,0.0568689027017635,0.0655007388759931,0.0691693746592921,0.0833176777428229,0.0759910583023272,0.0582683993232429,39,100,0.1349527665317139,1.0,0.3090204370182854,783.3772171623539,0.0001247326231455,1.62436814257166,7,14,0.6666666666666666,1.0,0.9105528078638976,170.07632999667717,0.0024666521421259,0.1392572427377328,0.1181873073453035,0.0628050325128667,0.8486977411141847,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0005633204709738,0.0051159053109586,0.0008736702147871,0.0003483895852696,154,0.1867328882217407,2.5445292620865136,9.373705863952637,1.791041970109827,9.094192504882812,1.841725992099548,0.0313697449512468,0.0117614806746359,0.0192947224210124,0.0498976735292601,0.0964694203789477,6.288819972944276,56.379352355250994,16.54039666529233,4.70871947793774,1.7124081317729951,0.3055118959206621,0.6245603410303318,0.37794917481705737,0.3806088774769671,0.3804037091248412
5,5,False,0.01,ViT-B_16-scratch,False,0.03,0.4268292682926829,0.2537479698657989,0.1336898356676101,0.2032085657119751,0.0481283441185951,tensor(0.4078),0.2494337707757949,0.4676357507705688,-1.4260748624801636,221.08016136150005,1.6572754383087158,0.4656656682491302,-1.4212507009506226,221.08016136150005,1.6958125829696655,0.6131038069725037,-1.108551025390625,221.08016136150005,1.72325599193573,0.6992354989051819,-1.0392193794250488,221.08016136150005,1.787501335144043,6.761094975783012,0.1707808673381805,18.13834571838379,1.557801715534879e-05,1.015995979309082,0.1182631221668402,-8.036842086767138e-05,3.855447471764127,0.855462854842794,1.1746761562763537,1.2117333707565434,2.8175879049772528,0.8465940339161173,0.0006531668298741,0.0006307635760656,0.0533574417562165,0.0669924646343888,0.0005343767697922,0.1544617265462875,1.843103051185608,19,1.9741807325478035e-05,-3.301439572190497e-06,2.291986317005208e-05,1973.2434184221847,3.1980892924501427,2.7305483163065727,0.3050983885976984,8.0,0.0899687803352017,32829509.7153134,3.3151416523146006e-05,62905,0.6188843061896258,2.12347104821314,0.0094902513507164,0.0039590898852439,0.0052606602942173,0.6804112833092454,0.0016128682078175,-0.0002697213180087,0.1529804597572613,401839.315395154,0.0027084078233468,0.0094902513507164,0.3234501315807567,0.3732863366603851,0.0035173257347196,3.56675386428833,2.5418477058410645,0.4175215661525726,1.0,0.0,0.1079969293014631,0.0776790849413817,0.1193473594468476,0.0786256276965934,0.068125697098835,0.1279800609977836,0.0753105560082554,0.0813332250944815,0.0846427653526296,0.0470299142386456,0.0479707865661785,0.0952906428679453,0.0966642796904222,38,99,0.1408250355618776,1.0,0.3509575045146988,658.752772351927,0.0001620308806238,1.619671742449925,7,13,0.6190476190476191,1.0,0.9513838874555772,161.8326061417839,0.0026305188160689,0.153954143036432,0.1131870572568214,0.0599884888918889,0.7351998135577076,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0008088452741503,0.0068097040057182,0.0012107637012377,0.0005343767697922,152,0.1887867450714111,100.0,7.411262035369873,1.8073972537930827,6.716068267822266,1.8119708745212293,0.0393880016179066,0.0138188715693394,0.0225176317063169,0.0606768214016998,0.112125453053114,5.501695262904662,22.892322958301747,11.946621008866105,4.303103544974565,1.739779937013203,0.277638320234762,0.25240573197788985,0.2647423317079234,0.3488524519773785,0.3688003764836098
6,6,False,0.0,ViT-B_16-scratch,False,0.03,0.4268292682926829,0.2578183710575104,0.1674876809120178,0.1623931676149368,0.1959287524223327,tensor(0.3555),0.2236416786909103,0.4530929327011108,-1.4490851163864136,231.28852798618635,1.6475735902786257,0.4189341366291046,-1.5136359930038452,231.28852798618635,1.689387559890747,0.4694906771183014,-1.5139223337173462,231.28852798618635,1.7032208442687988,0.6193801164627075,-1.30232834815979,231.28852798618635,1.7874146699905396,6.8614482986166525,0.1498894691467285,17.16512107849121,6.658833353867522e-05,1.0061465501785278,0.1022057247782051,-0.0001178100026351,9.783309618555446,0.7833240237059513,1.0117136118931165,1.047079375426439,2.142600904575925,0.8776015998517389,0.0005500839841516,0.0004931382137698,0.0443476963259947,0.0564735890771091,0.0004655447264667,0.1576758176088333,1.8342267274856567,12,1.1242939258267104e-05,-3.240249984283419e-06,2.2902866868521795e-05,1735.5402443208177,3.243809438608229,2.736805711992304,0.3342142782159259,49.0,0.0759608886376722,33820155.31497883,2.8000924383664743e-05,43467,0.6780733851628081,2.0300693487663573,0.0099593495934959,0.0040671436548116,0.0057512797350195,0.6808292311727446,0.0009064721959846,-0.0002612480848199,0.1488809369745473,419470.0676419285,0.0022575999618238,0.0099593495934959,0.327917153089736,0.3429887592792511,0.0033869242761284,3.518209457397461,2.508859395980835,0.4181638658046722,1.0,0.0,0.1059220479365418,0.1158348572985882,0.1176286260008394,0.0598756044042227,0.1085538332087171,0.1174794386391863,0.066802480858386,0.0909457358871247,0.0806732579978886,0.0684513938270416,0.0668607278108838,0.053812986068907,0.053081057998214,35,84,0.1411764705882353,1.0,0.2749568572282771,700.608484004648,0.0001408622100304,1.6290684076257866,7,11,0.5238095238095238,1.0,0.9301256119664004,182.1691771748361,0.0021183363375597,0.1296177200875975,0.1206569361433081,0.0642016556017729,0.9308676009867048,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0007734899991191,0.0068247197195887,0.0011881218524649,0.0004655447264667,139,0.2217891216278076,100.0,9.076082229614258,1.7747201383548634,8.714463233947754,1.7565930819929907,0.0461113125022034,0.0161952359951985,0.0341917901281622,0.076027054248309,0.1467963421510805,6.043222892916237,45.87880686567524,15.362170165815565,4.4797775020473285,1.4029412360014766,0.3299141605270236,0.47841442103643284,0.44807648253180077,0.42320727892157955,0.4098647122029946
7,7,False,0.01,ViT-B_16-scratch,False,0.03,0.4146341463414634,0.2545618116855621,0.1428571492433548,0.1794871836900711,0.0407124683260917,tensor(0.3816),0.2440884709358215,0.4654072523117065,-1.338554620742798,223.7143162946589,1.646536946296692,0.4297631978988647,-1.407359957695007,223.7143162946589,1.6888779401779177,0.4328755736351013,-1.4865858554840088,223.7143162946589,1.7083121538162231,0.2788993716239929,-1.6608363389968872,223.7143162946589,1.7873876094818115,6.807470907246965,0.1410098820924759,16.971750259399414,4.2117221710213926e-05,1.0112462043762207,0.0938231158443124,-0.000190748264119,3.666798480637444,0.6668101267770098,0.9327807526734252,0.8474215528882747,2.3702668818200285,0.5531948110141589,0.0005340087578087,0.000449991133637,0.0449974650338441,0.0541601156973263,0.0005344927194528,0.1636559516191482,1.8912155628204343,3,1.4037968937349129e-05,-1.2649577685182392e-06,2.332214964770264e-05,1994.8356391112543,3.211785297470507,2.7134614159986428,0.3421201480404798,72.25,0.0682053791910166,29473529.185159583,2.8311812218639605e-05,57856,0.5595182590694618,2.007045121310973,0.0104127579737335,0.0041247676854134,0.0055688214224799,0.7003671959005342,0.0011829811367147,-0.0001065981267733,0.1656211036661112,349750.69829403085,0.0023858394675743,0.0104127579737335,0.3475946159060096,0.3393703699111938,0.0038668715860694,3.601969957351685,2.499492883682251,0.4197415113449096,1.0,0.0,0.1004121252149115,0.0858377665993321,0.1722222967116667,0.0603365960444177,0.080453432164548,0.1118595939742191,0.0600018700653086,0.0663454294093802,0.0982917150827725,0.041387937286784,0.0613994955780544,0.079899042550133,0.0819648245333831,34,92,0.1639928698752228,1.0,0.3064651288218427,641.8259463958216,0.0001768587157038,1.6082938319663365,7,15,0.7142857142857143,1.0,0.9055906448693362,176.64465830379226,0.0026884170821555,0.1481122170653183,0.1217969754841724,0.0648476090680185,0.8223290279319719,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0008294983999803,0.0067917723208665,0.0012423354201018,0.0005344927194528,146,0.1609333753585815,0.0,8.618393898010254,1.8057864048605872,10.265962600708008,1.8873855741386925,0.0524429959541314,0.0192510444247876,0.03244419606415,0.0751898171659621,0.1305530811183987,5.47574788192398,43.08462614016624,13.353084648465236,4.128816391361763,1.4826307890267818,0.3836696056541234,0.6177920057414986,0.4229771724437978,0.4356684896988505,0.40782097674349277
8,8,False,0.0,ViT-B_16-scratch,False,0.003,0.4146341463414634,0.2714657485485077,0.149732619524002,0.1871657818555832,0.0481283441185951,tensor(0.3846),0.2627414464950561,0.3300498425960541,-1.7290092706680298,231.2883277398148,1.6416866779327393,0.3151949346065521,-1.7596977949142456,231.2883277398148,1.679245114326477,0.3323679864406585,-1.7568819522857666,231.2883277398148,1.7017645835876465,0.3517123758792877,-1.745005488395691,231.2883277398148,1.7873969078063965,6.873575169388436,0.064948484301567,16.365909576416016,2.5450171051488724e-05,1.0540825128555298,0.1171921756527924,3.8177731528143966e-05,4.131347160261607,1.1313860908952604,1.4577324458280907,1.2507036092576709,3.903004863624277,1.4110954608774835,0.0004235830148342,0.0002829882787533,0.0358641798398577,0.0713086010074025,0.000445333920652,0.1949405670166015,1.852159857749939,3,4.470564389277769e-06,-3.718871612122946e-06,7.817132451697318e-06,1925.2283737208493,4.206845376483183,2.8468245208318104,0.3305584756330738,41.5,0.0241489146204221,69128211.6700652,1.7648718996694072e-05,33467,0.705377414272137,2.2100820797586067,0.0082196268886833,0.0023574307659779,0.0045026129152668,0.6518489796296748,0.0003785319739943,-0.0003148845531849,0.0560438377590569,816422.7868320267,0.0014943536547473,0.0082196268886833,0.1996085519842419,0.3798060417175293,0.0008816047920845,3.4099009037017822,2.651479721069336,0.5151594877243042,1.0,0.0,0.154500437444375,0.0562054041338754,0.1649476538292164,0.0915481496331676,0.0894623808269974,0.0848833157372748,0.0078016904286396,0.0518837692107918,0.1239306632967072,0.0588599385010362,0.0626066794732059,0.0916743709876302,0.1161959839414571,41,105,0.1280487804878048,1.0,0.3013890792419782,636.5213354370039,0.0001260926927724,1.6145181079150783,7,16,0.7619047619047619,1.0,0.823030580585608,157.65368978073525,0.003642944766255,0.1802005204870388,0.1026406857989414,0.0540965989049688,0.5695915057377653,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0005377571796998,0.0041846223175525,0.0007556743803434,0.000445333920652,156,0.4676567316055298,99.23664122137404,14.371339797973633,1.5601780647198575,13.59390926361084,1.85677087807136,0.0559626845356794,0.0199888963479692,0.0377006022379633,0.0849407130813041,0.1559307962756382,6.680351354515259,60.63759418783557,18.944918765422617,4.818967300333962,1.5638530508104105,0.4206300048876182,0.7139693087532464,0.5659315799875343,0.48370707605300023,0.4471893863733452
9,9,False,0.01,ViT-B_16-scratch,False,0.003,0.4085365853658536,0.245319202542305,0.1818181872367859,0.1871657818555832,0.0481283441185951,tensor(0.3592),0.2150750458240509,0.4199114441871643,-1.5925087928771973,230.5710766468452,1.6408799886703491,0.4041648507118225,-1.6282531023025513,230.5710766468452,1.683200716972351,0.4346565306186676,-1.633081078529358,230.5710766468452,1.7016868591308594,0.3694387674331665,-1.763843059539795,230.5710766468452,1.7873904705047607,6.907512485403032,0.0723908469080925,18.13933181762696,3.1841711006563855e-05,1.032949686050415,0.1533217210104383,2.383166859232233e-05,4.078622387870473,1.078657984931447,1.4260985651917786,1.6602384542833044,3.535028740844255,1.239891904677907,0.0004320770101173,0.0002966610486794,0.0433165408094223,0.0743358881084575,0.0003320256364531,0.1852381229400634,1.8576335906982424,7,9.06128875597602e-06,-3.167202466831328e-07,5.480191038180055e-06,1912.0960436323703,3.4437876594825827,2.825186624385521,0.3661233446523997,8.222222222222221,0.0471308781564131,42013562.28216106,1.7373653568805512e-05,27132,0.7923889763086388,2.379878305795669,0.0101626016260162,0.001801681223307,0.0053789198606271,0.6222285893879927,0.0009084527572836,-3.1753257971087884e-05,0.0550833655504717,419060.8804817293,0.0017418210852888,0.0101626016260162,0.1806301887858653,0.4465846717357635,0.0007836628938093,3.887317895889282,2.724837064743042,0.5237963199615479,1.0,0.0,0.1395507247810242,0.0502483982937191,0.0548995707982547,0.1033264145995822,0.0985181871779704,0.1068063307547751,0.1129396419958498,0.1077001253623965,0.0908147957545206,0.0689924246892326,0.0162978968004759,0.1100677213753918,0.0793884923978308,34,92,0.1639928698752228,1.0,0.3653786481172222,483.9057263477564,0.0002183375396246,1.5323797800738788,7,14,0.6666666666666666,1.0,0.8430382001909417,194.89529539632608,0.003043550188608,0.1997857483715843,0.1339172357772685,0.0717638243837744,0.6703042477694354,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0004307902418076,0.0036688572727143,0.0006230369326658,0.0003320256364531,145,0.4613089561462402,0.0,13.967348098754885,1.5666636396584737,15.526019096374512,1.830625644874792,0.0491271412224826,0.0193714322998378,0.0327304733435596,0.08257382210092,0.1525184898085838,6.343567871413828,43.51112637264568,17.781148499673193,4.71102806760104,1.5125464844403298,0.3561653614361593,0.5169907144987885,0.4674174198042071,0.46556439175960984,0.4342837445688897
