model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_acc_art_painting,test_acc_cartoon,test_acc_photo,train_acc,train_f1,val_AC,val_ANE,val_l2,val_EMD,test_AC_art_painting,test_ANE_art_painting,test_l2_art_painting,test_EMD_art_painting,test_AC_cartoon,test_ANE_cartoon,test_l2_cartoon,test_EMD_cartoon,test_AC_photo,test_ANE_photo,test_l2_photo,test_EMD_photo,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_11,inflow_from_7,inflow_from_8,inflow_from_9,inflow_from_5,inflow_from_6,inflow_from_2,inflow_from_4,inflow_from_3,inflow_from_0,inflow_from_1,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0
0,False,0.0,ViT-B_16-clip-openai,False,0.01,0.9002557544757033,0.8730712532997131,0.5522388059701493,0.6478260869565218,0.5628742575645447,tensor(0.7765),0.772171676158905,0.7921288013458252,-0.6934880018234253,322.44194233989174,1.8196723461151123,0.4983106255531311,-1.390461564064026,322.44194233989174,1.687692403793335,0.4933625161647796,-1.3768694400787354,322.44194233989174,1.7168859243392944,0.5196356773376465,-1.3326280117034912,322.44194233989174,1.6561341285705566,7.4789955711974265,0.25926896929740906,53.150779724121094,0.000120361950393999,1.1004911661148071,0.554373275434032,0.003253984887093553,96.01652437235727,96.04456011260949,97.67407169380574,255.3423912109103,570.2164068191042,2067.680106448617,0.0033440097002408464,0.003305036177609466,0.08358412768269673,0.6775395822026937,0.0007726223557256162,0.19284428656101227,1.8513340950012207,22,1.9164083308348235e-05,-5.777037488862769e-06,1.9754372345439143e-05,1110.7210507657041,4.474791571879528,2.8110262429609576,0.3621625233497095,4.0,0.05047490801922209,21968987.204131756,6.118423885851037e-05,7879,1.6562594582284347,2.9890465315504047,0.015693960511033684,0.003644507078933654,0.009167849615004085,0.5551388982038802,0.00047900667275917083,-0.00014439718075281467,0.012341565641632026,878934.5268666701,0.0015293013503703068,0.015693960511033684,0.09109453218148106,0.2019777148962021,0.0001508232089690864,3.7194108963012695,3.0035009384155273,0.6409170627593994,1.0,0.0,0.21149837689014506,0.3358880271661481,0.5960893791350723,0.004941152305419098,0.0104907344591227,0.05259070693423774,,,,,,,,11,17,0.3090909090909091,1.0,0.659775334237559,373.1679106407714,0.0008430859539607919,0.21011080122617,30,71,0.1632183908045977,1.0,0.21386702403459318,329.34107288135436,0.0003280170446170984,1.5573977668684724,0.11624571595267873,0.06170959606415343,0.553259115068283,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0009114787681028247,0.006713257171213627,0.0012341283727437258,0.0007726223557256162,113
1,False,0.01,ViT-B_16-clip-openai,False,0.01,0.9207161125319692,0.8954847455024719,0.5771144278606966,0.6826086956521739,0.5269461274147034,tensor(0.8124),0.7585664987564087,0.8013940453529358,-0.688281774520874,318.8902212065874,1.818957090377808,0.4962431192398071,-1.4209251403808594,318.8902212065874,1.6857647895812988,0.5449150204658508,-1.3067302703857422,318.8902212065874,1.7192890644073486,0.519187867641449,-1.3676342964172363,318.8902212065874,1.6560827493667605,7.569003964904526,0.26403290033340454,38.802127838134766,5.5238755521713756e-05,1.1327987909317017,0.8344564366960031,0.0032047109129011986,115.9823187168189,116.02393115834158,118.10289501136032,338.3846741932069,623.867990536695,893.9957418890793,0.0032904943630818195,0.003241790331625083,0.10899243986382134,0.47641155819998215,0.0006416800315491855,0.17066709697246552,1.8188070058822632,22,1.5136649590257028e-05,-1.0709131122872422e-05,2.0185377937318462e-05,1438.1463341672347,5.277509120117649,2.8562183458975308,0.3835778081471277,4.222222222222222,0.04649978531644691,29708767.35055001,4.499307526285208e-05,17865,1.862013158617832,2.955233586293883,0.01281735019015315,0.003490206206696094,0.007354301572617947,0.5987989656915566,0.0005013784940493931,-0.0003547236661296585,0.022146687843188892,896909.6363151178,0.00149032717783247,0.01281735019015315,0.11560777344443943,0.5383475422859192,0.0001973755715880543,3.364100217819214,3.0544209480285645,0.5828719735145569,1.0,0.0,0.16530722664122915,0.2515488815933532,0.6780465866481982,0.008462333106785276,0.012023487334222887,0.04541640406168941,0.0045023072557510545,,,,,,,12,14,0.21212121212121213,0.8333333333333334,0.0,362.59177945001807,0.0006064807926215484,0.37841646098347065,35,94,0.15798319327731092,1.0,0.3534192284147854,409.4826366325819,0.00028729800018514466,1.4957789958603744,0.06290227157807735,0.03247243061366933,0.16622498771485772,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0009236138430424035,0.006901508662849665,0.0012916198465973139,0.0006416800315491855,133
2,False,0.0,ViT-B_16-clip-openai,False,0.01,0.9104859335038364,0.7882182598114014,0.417910447761194,0.5304347826086957,0.4790419340133667,tensor(0.7539),0.6412400603294373,0.7120659351348877,-0.924269676208496,322.44191272378055,1.8060826063156128,0.3894502520561218,-1.60739266872406,322.44191272378055,1.6785016059875488,0.4617147743701935,-1.4800615310668943,322.44191272378055,1.706451177597046,0.4636570513248443,-1.4710692167282104,322.44191272378055,1.646880865097046,7.555194063957218,0.18452250957489014,38.594825744628906,3.1508877327723894e-05,1.205718994140625,0.5403719295257199,0.0022932833001161335,66.560385238809,66.57938897250494,68.11988725594557,239.701824590069,562.7759293089838,412.1385113787357,0.0023821224187070555,0.0023283532948692454,0.07928414446239933,0.48699991776447443,0.0004126298299524933,0.1765279620885849,1.796210765838623,22,1.1371638266732857e-05,-9.711238069998476e-06,1.003844125758887e-05,1395.0495254177113,6.65001344567241,3.126049582744291,0.4165095807715061,40.666666666666664,0.048853556071013785,56196459.098131895,4.864926547799272e-05,78304,1.8724049756094456,3.1773921961408202,0.014661654135338346,0.0023872730809332094,0.008438649816029434,0.510938609450532,0.00037848095792869426,-0.00032321804499427074,0.011120089091341503,1688449.0365369702,0.0016191880293851334,0.014661654135338346,0.07945534046580394,0.23842544853687286,0.00011480839748401195,3.5564208030700684,3.024625301361084,0.6037704944610596,1.0,0.0,0.21018533716678578,0.22857311569488725,0.706347660162094,0.009996809019215526,0.016049981208932515,0.03150314138835275,0.007529292526517959,,,,,,,24,38,0.13768115942028986,1.0,0.21546696396853776,612.2355921192798,0.0002673849039844849,0.4199394420228198,33,79,0.14962121212121213,1.0,0.2518720344526083,364.3563674209251,0.00035260599486173003,1.4035059986498093,0.08827727966368526,0.046176821944217586,0.210214309088138,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0005997344851493835,0.005533168558031321,0.0008657785947434604,0.0004126298299524933,144
3,False,0.01,ViT-B_16-clip-openai,False,0.01,0.8695652173913043,0.8812583684921265,0.5870646766169154,0.717391304347826,0.5209581255912781,tensor(0.7548),0.7471045851707458,0.7336066961288452,-0.838097095489502,318.8902101079891,1.8124170303344729,0.463731974363327,-1.46160888671875,318.8902101079891,1.6899590492248535,0.5401918888092041,-1.3185206651687622,318.8902101079891,1.7209476232528689,0.4917916059494018,-1.4111547470092771,318.8902101079891,1.6609762907028198,7.5102475736622,0.23675236105918884,24.092988967895508,4.861509478359949e-05,1.3349714279174805,0.28809032646478083,0.0026593935884982045,88.17802366002688,88.20692698152665,89.10557046025664,285.587513685845,590.8191313959893,2563.1676465733394,0.0027172928345144953,0.0026958658927576096,0.06297439623584403,0.27434329643755884,0.001603809418156743,0.1750902384519577,1.813569188117981,22,1.4025764472413567e-05,-6.304137967675149e-06,4.4596683383527275e-05,1034.8288154002717,5.181783334759607,2.684437059466405,0.4989174011133025,14.1875,0.027947671115225354,19916840.238198992,6.967625058123525e-05,17955,1.0956862986662872,2.343200972361373,0.017041901188242652,0.005136655425202764,0.010176414870944821,0.6537505279850118,0.00032505265692634486,-0.00014610089972462198,0.02395283562290661,859395.8584822575,0.0016147747667784598,0.017041901188242652,0.119044030364203,0.7760753035545349,0.00020168237097095698,4.222456455230713,2.8955159187316895,0.6226320266723633,1.0,0.0,0.15703708260410423,0.2916502333676406,0.6929104344746088,,,0.015439332157750655,,,,,,,,16,25,0.20833333333333334,1.0,0.5771415459707968,441.90416390531135,0.00038388909667181036,0.8826952225549127,24,59,0.213768115942029,1.0,0.2942073443036053,387.26415580089184,0.00042304733590336905,1.0204036324523411,0.04845057249637318,0.02482672066284785,0.05488935621078323,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0017861714586615562,0.009884286671876907,0.002288980409502983,0.001603809418156743,109
4,False,0.0,ViT-B_16-clip-openai,False,0.03,0.7340153452685422,0.779396653175354,0.1492537313432835,0.2608695652173913,0.1317365318536758,tensor(0.6550),0.6831094622612,0.7411176562309265,-0.6662489175796509,322.4506794310967,1.8677630424499512,0.554458498954773,-1.1797593832015991,322.4506794310967,1.6929333209991455,0.5262556672096252,-1.1940041780471802,322.4506794310967,1.7481107711791992,0.6771025657653809,-0.9438077211380004,322.4506794310967,1.669926404953003,7.4098423699356,0.783163845539093,34.57659149169922,9.47921671468066e-05,1.2993122339248657,0.9000318222305623,0.009262694294904783,200.0732733480928,200.11622920363823,203.2911142523806,562.1455888743533,1304.2104739546191,2253.151766472117,0.009456903590375987,0.009350178579893509,0.20567231348510928,0.4128094170668095,0.0040060351602733135,0.14642371237277985,1.8319048881530762,22,2.552762874646819e-05,-1.0539271723713034e-05,0.0002076069120354498,1501.1863342132253,4.5005464646862325,2.4518974851864472,0.490082287578264,4.666666666666667,0.01319875757097699,11933000.289315237,6.0590071078706764e-05,50993,1.023273319205641,2.4861941955900257,0.01639493744756903,0.010365522078729372,0.008309075294721227,0.7622213853997674,0.0005551839627195909,-0.00022921183539505608,0.09819619572821373,548685.1605467207,0.0013177344359818208,0.01639493744756903,0.22543305667303337,0.7238672375679016,0.0014039110392332077,3.6320412158966064,2.8092665672302246,0.5635106563568115,1.0,0.0,0.09980900469018883,0.08274447933761295,0.8713550437482519,0.005578767438421047,0.01135970102543232,0.028962008450281785,,,,,,,,15,40,0.38095238095238093,1.0,0.48380176240371964,713.0555617669692,0.00045173401623055756,0.9567289911160358,24,67,0.2427536231884058,1.0,0.38026847379134837,573.37268513336,0.00028896533266890395,0.9920891871627626,0.02559091086060074,0.012961301181891968,0.02674833845136086,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.004346938803792,0.018766093999147415,0.005258363671600819,0.0040060351602733135,135
5,False,0.01,ViT-B_16-clip-openai,False,0.03,0.7902813299232737,0.6359260678291321,0.572139303482587,0.6173913043478261,0.4790419340133667,tensor(0.6633),0.5166157484054565,0.6128545999526978,-1.1287134885787964,320.22763955884216,1.8001611232757568,0.4270592033863067,-1.531132698059082,320.22763955884216,1.6776317358016968,0.4671805799007416,-1.4380356073379517,320.22763955884216,1.7049007415771484,0.4678775072097778,-1.464289665222168,320.22763955884216,1.6439740657806396,7.594551293531673,0.13993211090564728,35.36603546142578,4.2930161725962535e-05,1.4235410690307617,0.39443019017082803,0.0016752972632110286,51.971918541590256,51.987710051388945,52.97091931288409,157.7460451281866,366.1946194003039,132.95887934259133,0.0017404584993059302,0.0017036659219868966,0.06275271817449986,0.4305791292446747,0.0006882636225782335,0.2082074135541916,1.8220272064208984,22,7.602606506136037e-06,-4.205460736155423e-06,8.39473420523722e-06,833.7140537088208,5.876567589825551,2.566611401527757,0.492651613352941,8.25,0.023551019449608034,38359982.89646222,3.4769809483069014e-05,1720,1.003828717003249,2.4045373435441793,0.011320531057373164,0.0020761818883423774,0.007727715888567457,0.6491861265203708,0.0002741143102505982,-0.0001516291760331365,0.01091302986792988,1063920.5762673111,0.0012536361536334348,0.011320531057373164,0.07485737532465533,0.7275426387786865,7.767890929244459e-05,4.125344753265381,2.961059331893921,0.6712208390235901,1.0,0.0,0.11425072127163416,0.22146983834935755,0.722551843060178,,0.0173607026021366,0.038617615988327865,,,,,,,,20,33,0.1736842105263158,1.0,0.2640114755951528,527.6418874526103,0.0003135585462715259,0.9106894175039528,18,41,0.2679738562091503,1.0,0.25467403032362906,371.4776912346758,0.0004982373447247728,0.9655805526652093,0.06186501491541902,0.03191986904499286,0.06793206742753272,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0008004559786058962,0.00410319771617651,0.0010268047917634249,0.0006882636225782335,94
6,False,0.0,ViT-B_16-clip-openai,False,0.03,0.731457800511509,0.7758013010025024,0.1691542288557214,0.2434782608695652,0.1317365318536758,tensor(0.6203),0.6546068787574768,0.7365362644195557,-0.6907260417938232,322.4520905258659,1.8607983589172363,0.6731017827987671,-0.8905103206634521,322.4520905258659,1.740225315093994,0.5978199243545532,-1.0433539152145386,322.4520905258659,1.7441818714141846,0.736624538898468,-0.7524499297142029,322.4520905258659,1.694237232208252,7.262537946431772,0.44836553931236267,13.581456184387207,1.9383092876523733e-05,0.8385393023490906,0.15099331783956718,0.0038488062360206854,129.1419343047745,129.18493825339397,133.95986110341417,307.35701926127217,513.0719644597847,318.39510390049946,0.004022200619942851,0.003972561410705566,0.07639418105497718,0.12033305510185732,0.010530437342822552,0.16914145648479462,1.8545950651168823,22,1.027152411562991e-05,-3.526049859363195e-05,0.0010709882749086674,1271.7659609588234,4.361339662820072,1.7570127600467234,0.21557200248894223,22.222222222222218,0.006793878168706656,10279615.526783915,6.88556713558843e-05,45180,0.3782567607880574,1.1960887532703441,0.025930258467023175,0.030368083879317415,0.01201494583847525,0.8512036964883312,0.0001950900796176602,-0.0006697130261926347,0.3863539113404766,541223.414931598,0.0013077960268896465,0.025930258467023175,0.5767899545050849,0.871680498123169,0.006322087720036507,4.524656772613525,2.2307229042053223,0.6889969110488892,1.0,0.0,0.07376747415836758,0.19406997427692485,0.6821815489155602,0.01201641586886031,0.034269750247355166,0.07746231069129948,,,,,,,,17,59,0.4338235294117647,1.0,0.7807300091617487,644.6097328739204,0.00040445259213723835,1.744626991724914,17,39,0.2867647058823529,1.0,0.36555344429382,786.6226025347896,0.000315345435731366,0.24290161037575841,0.0062356989496638445,0.0031276008635417996,0.025671706910536676,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.01152645144611597,0.029474947601556778,0.012991792522370815,0.010530437342822552,123
7,False,0.01,ViT-B_16-clip-openai,False,0.03,0.6342710997442456,0.4469453692436218,0.4527363184079602,0.5739130434782609,0.4491018056869507,tensor(0.5742),0.4080491364002228,0.5355367660522461,-1.305877923965454,320.22764684100554,1.7928208112716677,0.3838984966278076,-1.5832178592681885,320.22764684100554,1.6771160364151,0.4120033681392669,-1.5462692975997925,320.22764684100554,1.703935623168945,0.3976828157901764,-1.591691970825195,320.22764684100554,1.643615484237671,7.59381117791703,0.09745747596025467,32.17924118041992,2.5911484954121988e-05,1.3257461786270142,0.28768466758982936,0.001198777604562995,65.48035783677518,65.51558762566869,66.77563479103739,197.7227793880852,393.75893820696996,-630.873176011894,0.0012407718812852409,0.0011976686531198766,0.0529624045410847,0.3954545103349023,0.0003888935025315732,0.1833302229642868,1.8271703720092773,22,1.1145115097675595e-05,-4.752125570022348e-06,5.707293227115076e-06,1164.9427995345368,5.427108171795461,2.9322935617888244,0.45938370130572215,12.1875,0.04367115062680209,50390454.93707327,3.485453229440316e-05,27746,1.166805277332459,2.701744556887218,0.016414842224277932,0.001556912811256464,0.009483937791060822,0.5644799784536265,0.0004757287693000513,-0.00020284427623253921,0.010398720338508333,1180520.2012988385,0.001487764248322475,0.016414842224277932,0.06645675802785563,0.7135149836540222,5.406982381828129e-05,4.646864414215088,2.9385108947753906,0.6521795988082886,1.0,0.0,0.1848402341990218,0.2473683404422497,0.7035656425831965,0.017292635801472053,0.008602347195900415,0.02317103397718128,,,,,,,,22,36,0.15584415584415584,1.0,0.46499892055032005,416.5324119883305,0.0003054386157556167,0.7188387419676722,25,56,0.18666666666666668,1.0,0.2356865922731473,398.71419980770474,0.00038535479049167415,1.047330597786334,0.11691533012299687,0.062087133942114986,0.16264472585738127,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0005276747397147119,0.0040402766317129135,0.0007331622764468193,0.0003888935025315732,125
8,False,0.0,ViT-B_16-clip-openai,False,0.009,0.9258312020460358,0.934324026107788,0.582089552238806,0.717391304347826,0.514970064163208,tensor(0.7968),0.7784292101860046,0.7732532024383545,-0.7538048028945923,322.44193999888125,1.815107822418213,0.4826497435569763,-1.4320303201675415,322.44193999888125,1.691040277481079,0.5482449531555176,-1.2942020893096924,322.44193999888125,1.723600149154663,0.4966344237327575,-1.4028668403625488,322.44193999888125,1.6582584381103516,7.632899362443105,0.23719485104084015,36.444095611572266,5.4175486184249166e-05,1.408165454864502,0.7215611149318574,0.0029022276230890043,121.96367179802395,122.01449899256838,123.4797814472089,326.5884036397854,618.895457851264,1986.8889566579585,0.0029613506414420954,0.0029349657497448334,0.09783815948348122,0.4509469736932207,0.0006893818499520421,0.17706942558288574,1.8630367517471313,22,1.0836502108916922e-05,-8.273107960094022e-06,2.179309894163746e-05,1492.0990473299319,4.901905111468613,2.771516840181115,0.443155963053762,46.22222222222223,0.039193734067726645,35669747.771976255,4.181344425483581e-05,15406,1.4471845831569212,2.672711502326915,0.015371102327624064,0.0032813219348302464,0.007998672419515433,0.6440106232112782,0.0003580201528943194,-0.0002733298391510192,0.0237878776293435,1079646.7523828808,0.0013814472203910045,0.015371102327624064,0.10840946361614309,0.6455275416374207,0.00020630174549296498,3.343733310699463,3.044487476348877,0.5814064145088196,1.0,0.0,0.18115554223688785,0.303686090453354,0.6670515863977441,,0.00488543561281072,0.024376887536091216,,,,,,,,18,37,0.24183006535947713,1.0,0.5752243286105622,550.6670454498495,0.00039231631651325883,0.5693872164216448,28,73,0.1931216931216931,1.0,0.200180981709759,559.9539904308074,0.0002811193592750829,1.3040704665668876,0.06327115850573363,0.03266908467006528,0.11112149461901481,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0010644530411809683,0.007186169270426035,0.0014753611758351326,0.0006893818499520421,136
9,False,0.01,ViT-B_16-clip-openai,False,0.009,0.8976982097186701,0.924767017364502,0.208955223880597,0.3956521739130434,0.3233532905578613,tensor(0.8137),0.8378479480743408,0.8725757002830505,-0.4385082423686981,292.9486981753493,1.8165631294250488,0.305885761976242,-1.7535508871078491,292.9486981753493,1.6761398315429688,0.4217690825462341,-1.5069633722305298,292.9486981753493,1.7287876605987549,0.3336103856563568,-1.704277753829956,292.9486981753493,1.642052173614502,7.564332616039287,0.32921329140663147,48.84653091430664,9.7486029517313e-05,1.139074444770813,0.6835107339549465,0.004114410847989802,146.43649885161804,146.48821802398388,148.17264901337495,470.7712243439653,932.7647997321307,-4616.276861790939,0.004190325000934081,0.004152982841503672,0.12488393688872107,0.6161923395241432,0.0006893093814142048,0.18626321852207184,1.8078489303588867,22,1.37222702920306e-05,-2.95880775765417e-06,2.5498173398603715e-05,1105.0588578999802,5.190404724964358,2.795035254682678,0.3840666221351243,28.222222222222225,0.05073560179496782,25820584.14452479,5.745027627970816e-05,8670,1.7406011710833151,2.930266315659224,0.01557140156119169,0.004253889656808743,0.008925396486736363,0.6083746459592286,0.0004089640727498197,-8.818118956653326e-05,0.02264787449385592,866376.9261888446,0.0017121874357693327,0.01557140156119169,0.1267784422277911,0.2635340690612793,0.00028646824648603797,3.889845132827759,2.9704203605651855,0.6083998084068298,1.0,0.0,0.14311271368419443,0.16995680194430776,0.7877994534566711,0.006283717904903544,0.0073930447820217005,0.028566981912095918,,,,,,,,15,23,0.21904761904761905,1.0,0.29804267387341393,491.061396326914,0.00038320970696912617,0.35270480601639936,28,65,0.17195767195767195,1.0,0.2042419054532796,407.8806712524079,0.00027770221668189953,1.4695673394850797,0.08886392724926048,0.046497959259047796,0.25194986213238235,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0009999872418120503,0.007476883940398693,0.0014123049331828952,0.0006893093814142048,112
