,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_11,inflow_from_7,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,srcc,pearson,cosine,residual_norm_L2,residual_norm_Linf,kendall_tau_c,kendall_tau_b,abs_srcc,abs_pearson,abs_cosine,abs_residual_norm_L2,abs_residual_norm_Linf,abs_kendall_tau_c,abs_kendall_tau_b,weighted_jaccard,binary_jaccard,spec_L2,spec_Linf,degree_dist_L1,ged_approx,trim_srcc_w,trim_srcc,trim_tau_b,trim_rbo,trim_sign_agree_w,model_id,AC,ANE,EMD,acc,f1,l2
0,fog-1,7.519707007435118,0.0371860936284065,2.5224017394346987,2.5224017394346987,6.110817230364773e-05,1.197678804397583,1.430209422249341,137.46618138110088,137.46508753503494,138.72984469368114,268.43045951186167,543.4461537584889,4502.269200214806,0.00566204102698,0.00564964442502,0.1389183471259804,0.4113810088477302,0.0017167053883895,0.1651325821876526,1.7991472482681274,22,1.750835805565127e-05,-2.0371394397709622e-05,6.784827549816187e-05,1515.098832451882,5.597870014561572,2.852846321331805,0.3814249579216152,18.666666666666668,0.0310646991101897,23902493.173182417,7.49043347790504e-05,1.8111671072701463,3.0743940470434445,0.0162064825930372,0.0062633323779331,0.0086641275215122,0.610762545767873,0.0004295690689393,-0.0004998139175153,0.0408426565435331,974216.8103215204,0.001837784297988,0.0162064825930372,0.153671398936792,0.6054685711860657,6.735050419592881e-07,2.522401571273804,3.073914051055908,0.5140283107757568,1.0,0.0,0.2554160805610405,0.1240210595098859,0.8461030106493123,0.0041019399013279,0.0064926859644817,0.0192813039749921,0.9999999999206404,0.0,1.7514352119200546e-05,0.0062634891845863,0.0269547617761755,0.0311686305059505,0.0,0.3785379600591849,0.0,48462.65748887017,3.0711584376448897,0.0,0.6111035544544607,0.999999999999,0.0,0.0013899329222202,0.4970683338085424,0.0269547617782877,0.0311686305059505,0.0,0.3785379600591849,0.0,610.6712304766664,3.0711584376448897,0.0,0.6111035544546329,15,31,0.2952380952380952,1.0,0.3370453902227386,665.4105771650193,0.0004146470076561,0.2345337988353515,36,94,0.1492063492063492,1.0,0.2741995303502782,447.6334929080019,0.0002299639890241,1.6993808787901057,0.0330426611872715,0.0167988702831838,0.1408865645435963,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0018779733218252,0.0126008624210953,0.002416509669274,0.0017167053883895,141,0.9293466917489672,0.996237358752433,0.9962401027756792,0.0002150498139439,8.549811172997579e-05,0.8304266935545404,0.8304266967008035,0.912574076281248,0.9965132553895812,0.9965420733308724,0.0002062464470798,8.549811172997579e-05,0.7696993744377592,0.7696993788111366,0.8986586161170735,0.8311688311688312,0.1503099313275078,0.0821052346242454,0.2373046660695079,,0.904020078100918,0.8496326316244441,0.6910408171344866,46.6152769795584,0.99999999995932,0,0.9867838621139526,-0.0510168857872486,2.265501976013184,0.9847,0.9846923351287842,322.4446017662333
1,fog-2,7.501695989820297,0.0423560105264186,2.3480816286246804,2.3480816286246804,3.572677815100178e-05,1.255277156829834,1.3701944392840335,135.59281108128485,135.59130908106877,136.81194729135524,254.54203290042395,519.5903967921214,4409.3525572755125,0.0059214933944433,0.0059089136657535,0.1329359470948984,0.3850533719447228,0.0018032573862001,0.1817655116319656,1.7753760814666748,22,1.5221995447015394e-05,-6.591294879243492e-06,7.515041120799833e-05,1465.5012091949377,5.356955782610502,2.8656604503380194,0.4035768672617035,14.888888888888893,0.0347626347129739,22209150.622007266,8.441855385592666e-05,1.6993862724337556,3.0836262661634546,0.0170972644376899,0.0065483023673454,0.0090427962229667,0.5995053256972326,0.0003417300518665,-0.0001479729541848,0.0378751649004237,989282.588030988,0.0018951757551896,0.0170972644376899,0.1470077770973507,0.5964993834495544,7.289128234333475e-07,2.348081588745117,3.0784926414489746,0.4970934689044952,1.0,0.0,0.2680135379705163,0.121674231549619,0.8487406801837604,0.0035639608779003,0.0063063132593634,0.0197148141293568,0.9999999999260176,0.0,1.5224702970384706e-05,0.0065484539953105,0.0209585021909744,0.0348640192116561,0.0,0.4009335199599457,0.0,46705.23502933741,3.0807752761050136,0.0,0.5997167499390508,0.999999999999,0.0,0.0011263587292258,0.4844697683035103,0.020958502192504,0.0348640192116561,0.0,0.4009335199599457,0.0,631.3027209123491,3.080775276105013,0.0,0.5997167499392141,13,29,0.3717948717948718,1.0,0.487411997412102,544.2713741774126,0.0004863173405513,0.2729532421274177,35,94,0.1579831932773109,1.0,0.2522811110371463,439.34944091839054,0.0002669870196412,1.6720990016857402,0.027473878093421,0.0139282708544643,0.1006541555589801,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0019751712679862,0.0135167445987463,0.0025553086306899,0.0018032573862001,136,0.8021873047261727,0.98289266236035,0.982905512710202,0.000499163474624,0.0002413256079307,0.6743491445701219,0.6743491471246558,0.8123841398883761,0.9852739314585488,0.98539750658943,0.0004654710494608,0.0002413256079307,0.6383448712460608,0.6383448748727748,0.7767283380849154,0.6686746987951807,0.1214937270291349,0.0800567204555884,1.3668250238433834,,0.7623405151218213,0.6348030472964943,0.4659132566691961,42.83899596750466,0.9999999999639664,0,0.9842166900634766,-0.0588069930672645,2.273494005203247,0.981,0.9809994101524352,322.4446017662333
2,fog-3,7.494178921761371,0.047509279102087,2.4635525452214333,2.4635525452214333,3.247210042900406e-05,1.44769024848938,1.345498757012621,134.52572847230076,134.52399444835828,135.70499254815016,252.7339477331377,509.6309449552868,5165.004336285672,0.006181588683833,0.0061688457694772,0.1281914006607177,0.3622583702129635,0.0018954443512484,0.1924662292003631,1.7593005895614624,22,1.681909003876521e-05,-1.337195951732885e-05,8.651530666696619e-05,1661.882645636135,5.5547047153061415,2.9798504398771493,0.4483638408774624,28.222222222222214,0.0351682581747765,20769030.728276737,9.519426997717944e-05,1.6396017436122352,3.158905287302272,0.0215007541478129,0.0068413503633861,0.0102759052338884,0.5900834682122911,0.0003487899321931,-0.0002773042290094,0.0372062437647435,1001508.8388471628,0.0019741140939739,0.0215007541478129,0.1418741485443599,0.5919556617736816,7.98046698946564e-07,2.463552474975586,3.083748579025269,0.4833032190799713,1.0,0.0,0.2760741664086639,0.1217812937577919,0.8519340791676373,,0.0063233107773351,0.0199613162972355,0.9999999999353436,0.0,1.682726032332735e-05,0.0068420766446295,0.0227055378342243,0.0352962874517849,0.0,0.4444641818963744,0.0,44883.11482608565,3.1549050867318846,0.0,0.5906654462253935,0.999999999999,0.0,0.0010879920540068,0.4423848492997224,0.0227055378356696,0.0352962874517849,0.0,0.4444641818963745,0.0,694.1777327499013,3.1549050867318846,0.0,0.5906654462255213,15,41,0.3904761904761905,1.0,0.501518233280525,499.9172332663585,0.0006068288486719,0.3885695922392259,36,95,0.1507936507936507,1.0,0.2276128582940992,481.8746363823007,0.0002432407965246,1.5626785489817023,0.0243759293895358,0.0123383439957804,0.0627324676876121,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0020853963214904,0.0154663454741239,0.002738777315244,0.0018954443512484,150,0.7202562215506682,0.9680652376730896,0.9680895035528392,0.0007476998050939,0.0004087429479113,0.5908035828673168,0.5908035851057125,0.7669994387011505,0.972048143804492,0.9722847399981792,0.0007075765267636,0.0004087429479113,0.586726474472592,0.5867264778057142,0.6939130801906863,0.5989010989010989,0.1534340729540469,0.1009199311367762,1.059523679659239,,0.6812953098758124,0.5175792515105656,0.3671310178680851,39.97377346626948,0.999999999966908,0,0.981063961982727,-0.068290501832962,2.283437728881836,0.9749,0.9749046564102172,322.4446017662333
3,fog-4,7.48130058909315,0.0528452210128307,2.4649707311642297,2.4649707311642297,2.9400125640677288e-05,1.4374146461486816,1.2390750532960932,140.81587056948084,140.81383833722583,141.96362855658873,267.8632917930705,550.3046875809463,3671.3446097434703,0.0063622262845045,0.0063500663595975,0.1220081040759162,0.3417142221810425,0.0019823282491415,0.2019716054201126,1.736423373222351,22,1.2978639212774586e-05,-1.1712950609965187e-05,9.44598376410566e-05,1730.3880500544064,5.639988577308191,3.016221413802859,0.4671196322080532,20.22222222222222,0.0340495981113071,20752760.235009886,0.0001034535530455,1.531233431802671,3.1579027756558875,0.0186199095022624,0.007081838834014,0.0090548014077425,0.5882815219263333,0.0002488921577095,-0.0002246199617829,0.0347385193422441,1082165.836797139,0.0019839351043464,0.0186199095022624,0.1358088574824467,0.5709361433982849,8.555692261325021e-07,2.464970827102661,3.0843505859375,0.4740876257419586,1.0,0.0,0.2774619481886406,0.119974960354948,0.8542159827467548,,0.0059924560136778,0.0198166008846193,0.9999999999397547,0.0,1.2984843102197296e-05,0.0070826256608916,0.0188017192087019,0.0341838492666398,0.0,0.4631497805194704,0.0,45641.8088816976,3.1538914967617586,0.0,0.5889053495961899,0.999999999999,0.0,0.0007822758553446,0.4266949552915302,0.0188017192098158,0.0341838492666398,0.0,0.4631497805194704,0.0,757.5994109753683,3.1538914967617586,0.0,0.588905349596306,19,52,0.3040935672514619,1.0,0.4818214847638071,570.9913351756795,0.0003800683013318,0.4765101114491814,33,87,0.1647727272727272,1.0,0.2187942615387944,498.744992646789,0.0002593436128261,1.4804749588493975,0.0215074648507105,0.0108706322963647,0.0451353797830253,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0021858573891222,0.0165988020598888,0.0028898967429995,0.0019823282491415,153,0.6414670638948454,0.9497608215478794,0.9498006825112876,0.000997157441847,0.0005633025357383,0.5165822438909198,0.5165822458481107,0.7239120387796707,0.9567433847669218,0.9571121890129924,0.0009415793878551,0.0005633025357383,0.5431507399238935,0.5431507430100376,0.6238178323670428,0.53125,0.1894572694094541,0.1197049939540103,1.3542268900198102,,0.6383617152994939,0.4387382162660946,0.301119561128228,37.49146690992696,0.999999999969452,0,0.971522569656372,-0.0954369604587555,2.3020644187927246,0.9589,0.9590161442756652,322.4446017662333
4,fog-5,7.416008610810693,0.0615945160388946,2.4352687472744865,2.4352687472744865,0.0,1.4152940511703491,1.1526668181347028,144.89948563753305,144.89766169465474,145.8813844635185,283.3810165067266,597.2263143019424,2936.7612264398795,0.0064923766813222,0.0064809942821142,0.1088261754439493,0.3042572589491395,0.0021008730400353,0.213937446475029,1.7032099962234497,22,1.3498662457095588e-05,-1.473243419307249e-05,0.0001083795419286,1838.184233808192,6.597591230077994,3.1106620349364897,0.4941638793965267,38.888888888888886,0.0340222468232001,21532492.56255496,0.0001246722599095,2.2480391623043414,3.2266462518173133,0.0174194777968362,0.0072562404961248,0.00846621349766,0.5675254158603918,0.0002262672122826,-0.0002469479335575,0.0304515277821759,1284586.6856692843,0.0020897807277659,0.0174194777968362,0.1216305181790968,0.5463423132896423,9.406189747096504e-07,2.4352684020996094,3.096597909927368,0.4596320986747741,1.0,0.0,0.284335906773897,0.1093712220870632,0.8661190171349433,,0.0049547575390876,0.0195550032389057,0.9999999999472712,0.0,1.3642159154329192e-05,0.0072572495186332,0.0176212848517909,0.034269981368103,0.0,0.4908676018815395,0.0,41344.32984275746,3.2245366392671206,0.0,0.5669641728680351,0.999999999999,0.0,0.0007193362326263,0.3826668835120616,0.0176212848527024,0.034269981368103,0.0,0.4908676018815396,0.0,784.0921981431669,3.22453663926712,0.0,0.5669641728681274,24,68,0.2463768115942029,1.0,0.2688951381625247,617.82700647217,0.0002705795188438,0.5895600228466676,31,81,0.1741935483870967,1.0,0.200676110465252,513.1849000494294,0.0002691563963391,1.3664737544841723,0.0219831113345798,0.0111137126586477,0.0372873167831755,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0023385172244161,0.0189649276435375,0.0031310191843658,0.0021008730400353,165,0.5218442407026679,0.9150462285232466,0.9151172505623012,0.001402131454588,0.0008336323589901,0.4110367468328629,0.4110367480007957,0.6778638990343221,0.9268338032447524,0.9274650433657208,0.0013294545714658,0.0008336323589901,0.4984657857971542,0.4984657886291544,0.5246779683223052,0.4433962264150943,0.1995370610231534,0.1408690647849166,1.3689566110573863,,0.5514971836353133,0.3319294091264234,0.2236980199759967,34.75272330794162,0.9999999999731556,0,0.935340404510498,-0.2021896243095398,2.3387999534606934,0.8963,0.8975563049316406,322.4446017662333
5,frost-1,7.469288705743485,0.0385282151401042,2.7853261510713985,2.7853261510713985,8.81006162671838e-05,1.2196717262268066,1.1604555276303288,145.55724280123798,145.55436498166986,146.83690755922063,303.02580461951106,651.5841658251815,1257.433526715499,0.0055959605829123,0.0055840971322602,0.1367723204529505,0.4159661914052099,0.0017378969350829,0.1510021388530731,1.791210412979126,22,2.089400702820621e-05,-9.85494201345949e-06,6.886420026788062e-05,1644.2310640007202,5.245075353687764,2.903031563081089,0.3852655679850484,32.666666666666664,0.029839512459349,28154947.075362053,7.414079868556605e-05,1.5128752357157431,3.031348253262982,0.0149774229962909,0.0062370578797662,0.0078698427438455,0.610456283071674,0.0005106755873609,-0.000240867071571,0.0411377205958314,1151943.9627932657,0.0018120935824099,0.0149774229962909,0.152441470743517,0.6182458400726318,6.979849445087893e-07,2.7853262424468994,3.056595087051392,0.5031929612159729,1.0,0.0,0.2476628029668672,0.118993520760611,0.8530001362352297,0.0036682711186022,0.0059786979706003,0.0183593739149566,0.9999999999236052,0.0,2.093103964425845e-05,0.0062376702930205,0.0349654153971912,0.0299574176472969,0.0,0.3838285526208677,0.0,47476.21215919196,3.0270585163965533,0.0,0.6108482447058776,0.999999999999,0.0,0.0015990246337158,0.4765261843204047,0.0349654153998274,0.0299574176472969,0.0,0.3838285526208679,0.0,621.4578924616168,3.027058516396553,0.0,0.6108482447060322,18,40,0.261437908496732,1.0,0.5045497357619337,607.8783664833271,0.000317053887802,0.2903653032585355,36,92,0.146031746031746,1.0,0.2521117881329522,505.4607163421877,0.0002159716871306,1.6274790737119376,0.0410778115147635,0.0209695983619071,0.14146942163468,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0018913927488029,0.0130898794159293,0.0024378318339586,0.0017378969350829,152,0.6429406711800926,0.9807209260556352,0.9807377724786188,0.000489623490929,0.0001698143933026,0.5203018017868408,0.5203018037579877,0.7378779831400647,0.9870569135050788,0.9871636561433924,0.0004001007492088,0.0001538692595204,0.5595310690408235,0.559531072219452,0.775579751808922,0.6187845303867403,0.1814392843664577,0.1167262334498998,1.4041976527714517,,0.7240769230095785,0.5707542225769398,0.4108843537414965,43.38730842204142,0.999999999963071,0,0.983221173286438,-0.0612980723381042,2.274691104888916,0.9784,0.9783766865730286,322.4446017662333
6,frost-2,7.487871747161833,0.0435211025178432,2.989893677827633,2.989893677827633,8.935947698773816e-05,1.4281978607177734,0.8622562867808731,160.1922949575085,160.18787205114,161.50499446265948,336.8650071085601,749.9272538931749,1012.4118185175238,0.0053577107130067,0.005347423187537,0.1216577560539931,0.3853634356811247,0.0016995618352666,0.1605477035045623,1.7637754678726196,22,1.9873327575778048e-05,-6.071267575340428e-06,6.980088476878885e-05,1661.9183046915848,5.056794977270384,2.954740751800142,0.4314403912842887,20.22222222222222,0.0334637674143535,23552157.486575168,8.135795956472474e-05,1.3207551294299145,3.013901495930929,0.0158069381598793,0.0059852107016581,0.008180195154985,0.5958115460612461,0.0004512645970049,-0.0001378605703789,0.0359900370694953,1037217.9289326596,0.001847399102993,0.0158069381598793,0.1359064697881842,0.642406165599823,6.475007694461965e-07,2.989893913269043,3.040470600128174,0.505404531955719,1.0,0.0,0.2471936695328382,0.1137978917683967,0.8628673887034028,,0.0055516415334378,0.0177830779947625,0.9999999999279644,0.0,1.989208963155666e-05,0.0059853355692,0.0342837079465961,0.0336230340789908,0.0,0.4296317369160513,0.0,42495.06656955261,3.009768417282125,0.0,0.595821580311043,0.999999999999,0.0,0.0014329382400218,0.4311571270453148,0.0342837079490315,0.0336230340789908,0.0,0.4296317369160513,0.0,589.9177295230767,3.009768417282125,0.0,0.5958215803111871,17,39,0.2867647058823529,1.0,0.4650602796788772,513.3531558068214,0.0003546403384894,0.402250055538289,35,92,0.1546218487394958,1.0,0.2374785658027186,505.1444289706371,0.0002381387529325,1.5079619360733612,0.0448940041941747,0.0229624400367464,0.111607204464143,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0018667464610189,0.0138820279389619,0.0024652336724102,0.0016995618352666,150,0.5848632004686078,0.9526183134200036,0.9526605093052316,0.0007758376387403,0.0004033875156892,0.4682865805359201,0.4682865823101318,0.7161649767204011,0.9639852270430028,0.9642914927269975,0.0006747932726706,0.0004033875156892,0.5364560242429661,0.5364560272910713,0.7141518792321295,0.5901639344262295,0.1558828951537228,0.1193899118416836,1.3491292326955977,,0.676475852680604,0.488501582114643,0.3354663074289242,40.355392520502335,0.9999999999654474,0,0.977843165397644,-0.0792739391326904,2.28851580619812,0.9674,0.9673563241958618,322.4446017662333
7,frost-3,7.494615842603459,0.0514012463390827,3.294690616150435,3.294690616150435,7.189419557107612e-05,1.5775761604309082,0.6392074209039391,174.9507128336077,174.94510822891297,176.3643105439554,358.1228975009796,805.1885136011888,1199.2729116461835,0.0052310051745223,0.0052215696523205,0.1042904616775967,0.3474067199563041,0.001696559251286,0.176939383149147,1.7303248643875122,22,1.884273882188107e-05,-7.0735779626150685e-06,7.924841907219386e-05,1805.427715243716,5.113457230252296,3.0726937110206083,0.4847570784307208,42.888888888888886,0.0349887868439722,25452688.796588264,9.681510006188334e-05,1.317102328932503,3.0178800818176144,0.0181878306878306,0.0058724732160799,0.0088581230090664,0.5811278374708866,0.000375666567453,-0.0001410254940167,0.031499789443572,1276659.702286703,0.0019301969113883,0.0181878306878306,0.1170791515867083,0.6606041193008423,6.532762313327112e-07,3.2946908473968506,3.0137088298797607,0.5117114782333374,1.0,0.0,0.2366723327344302,0.1045189887750451,0.8725819778592075,,0.0055890489411576,0.0173099844245896,0.9999999999370772,0.0,1.8905951793029536e-05,0.005872590719412,0.0271634015555036,0.0352943646999459,0.0,0.4831772898819695,0.0,40617.59117935713,3.008329878840873,0.0,0.5798953715765154,0.999999999999,0.0,0.0011896181135393,0.3695206869083117,0.0271634015571857,0.0352943646999459,0.0,0.4831772898819694,0.0,645.5132214666738,3.008329878840873,0.0,0.5798953715766283,22,62,0.2683982683982684,1.0,0.5879465871526055,474.3023408090663,0.0003745392547121,0.6248294734476098,33,83,0.1571969696969697,1.0,0.2229878939251176,530.4581681594508,0.0002412919507523,1.2897752614531854,0.0426976325496024,0.0218145306824621,0.0683348567314063,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0019093642476946,0.0158924534916877,0.0026097402442246,0.001696559251286,164,0.5099759821111315,0.8970253792133203,0.8971186579070836,0.0011990482767131,0.0006617266844841,0.4040254706615663,0.404025472192204,0.6891552559724806,0.9155190507373616,0.9162547052187392,0.001086685437408,0.0006617266844841,0.5090893660963214,0.5090893689889312,0.6113442135975851,0.5099009900990099,0.2187586703926502,0.1504917256837881,1.256570486008716,,0.6180883890521455,0.400162014371568,0.2657197087060001,35.36040916082965,0.9999999999691797,0,0.9655441641807556,-0.115020602941513,2.3075268268585205,0.9427,0.942703127861023,322.4446017662333
8,frost-4,7.490376836301695,0.0519208684563636,3.357145249176739,3.357145249176739,7.513650598411914e-05,1.568335771560669,0.6545873286038588,161.8231914587135,161.8184088481024,163.11810439179928,335.80347225522365,744.4175063770185,1134.1063034424938,0.0052749576447013,0.0052651975839808,0.10487465392279,0.3455035518593767,0.0017076611984521,0.1783461570739746,1.7292181253433228,22,2.08465738272114e-05,-4.071987258146063e-06,7.957440051925145e-05,1812.83920734488,4.954014293771378,3.0564870124263543,0.481770123578452,32.888888888888886,0.0356457784051243,20736208.8925784,9.781958630450184e-05,1.2885319245602225,3.0027846595557297,0.0173240558923133,0.0059225671162292,0.0084390654993211,0.5777534665256856,0.0004144636687653,-8.095770370835726e-05,0.0314540753209723,1042983.843573317,0.0019448118828446,0.0173240558923133,0.1177502286825826,0.6544581651687622,6.605990847674548e-07,3.3571457862854004,3.018319129943848,0.5088279247283936,1.0,0.0,0.237450519727604,0.1047312876367043,0.8723738737026316,,0.0055432474901714,0.0173515911704925,0.9999999999370266,0.0,2.0884488870028964e-05,0.0059226872039735,0.0295365471983312,0.0359834649320815,0.0,0.4801326745589953,0.0,37846.94891291147,2.9930522465875726,0.0,0.5764440447460485,0.999999999999,0.0,0.0013151687757872,0.3729721770016191,0.0295365472001617,0.0359834649320815,0.0,0.4801326745589956,0.0,600.9982884995987,2.9930522465875726,0.0,0.5764440447461637,20,59,0.3105263157894737,1.0,0.6394572299876251,397.764670746012,0.0005985720038488,0.6218011359057323,32,80,0.1612903225806451,1.0,0.2205627974713476,529.8935094843644,0.000253718064299,1.2877942583444926,0.0452023028748875,0.0231237753867654,0.0726957547432663,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0019172290340065,0.0158797018229961,0.0026163989678025,0.0017076611984521,160,0.5118263962384754,0.9001204487841435,0.9002115371838966,0.0011846345796425,0.000632201663393,0.4057198874686877,0.4057198890058511,0.6898522994413562,0.9187547221918612,0.9194597840943084,0.0010697313958418,0.000632201663393,0.5097384650838808,0.5097384679789891,0.6029031339894747,0.4754901960784313,0.228223366578085,0.1569037735206354,1.422348091588442,,0.6016750738641397,0.3842472861911307,0.2540914940914941,35.53140176454524,0.9999999999692218,0,0.9640948176383972,-0.1189976409077644,2.308500051498413,0.9415,0.9415284395217896,322.4446017662333
9,frost-5,7.483394388351793,0.0594677664339542,3.467132489041229,3.467132489041229,6.711047171847895e-05,1.6171526908874512,0.553494530191353,162.7512956775487,162.74601815415832,164.0517256623429,351.3848719635446,797.9928855470426,1516.6202479547756,0.0053089225723681,0.0052986613402197,0.0915746285443146,0.3192822772526238,0.0017412590095773,0.1933136880397796,1.706276535987854,22,1.978528851744389e-05,-1.76891460469503e-05,8.986767913441893e-05,1849.657038688763,4.862756146363086,3.0620921260589133,0.4937448779431398,50.66666666666666,0.0398611444007816,13489083.109721716,0.0001148152358795,1.2297682310356963,2.95815751937655,0.0200238976256552,0.0059491795961898,0.0090437431576943,0.5642623916362206,0.0003412810653238,-0.0003051242287252,0.0267388757535718,782010.5682377465,0.0019804748348604,0.0200238976256552,0.1026187898519131,0.6494842767715454,7.037157274680794e-07,3.467132568359375,3.007866382598877,0.5093062520027161,1.0,0.0,0.2305206922700373,0.1006084946074028,0.8766769130392009,,0.0055938348281286,0.0171207575252675,0.9999999999423724,0.0,1.991570663801748e-05,0.0059492873590638,0.0193303872225741,0.0403831371606141,0.0,0.4915404347119771,0.0,30705.55301569512,2.945323834750023,0.0,0.5626907034753023,0.999999999999,0.0,0.0011476961428401,0.3428436800535483,0.0193303872236687,0.0403831371606141,0.0,0.4915404347119768,0.0,532.8263842600444,2.9453238347500226,0.0,0.5626907034754092,22,71,0.3073593073593073,1.0,0.6092967392894397,393.43319610934606,0.0005828387741007,0.7690072586678076,25,64,0.2133333333333333,1.0,0.2194135250171657,435.48179799968136,0.0004636865899782,1.1438667246311678,0.0435630083505122,0.022266502083353,0.0566483708176939,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0019976624753326,0.0173527691513299,0.0027789159212261,0.0017412590095773,155,0.4544718055142321,0.8592393870218169,0.8593695777896848,0.0014915495292149,0.0008164514947566,0.3572166541261843,0.3572166554794883,0.6684813300762521,0.8816655100134089,0.8827016809341953,0.001374067054427,0.0008164514947566,0.48940482256792,0.489404825348441,0.523685272183293,0.3896713615023474,0.2418484236750391,0.1653106828975611,1.2432866805496166,,0.5469507734114933,0.3205632923240076,0.2139032605298795,31.861648380488997,0.999999999972646,0,0.9504011869430542,-0.1595073044300079,2.318837881088257,0.9089,0.9094797372817992,322.4446017662333
