,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_11,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,inflow_from_6,model_id,AC,ANE,EMD,acc,f1,l2
0,time1_region0,7.646167921932184,4.499479109654203e-05,-0.1475128384852086,5.960133912128555,1.0750494311650982e-05,1.395842432975769,0.1541643576362349,20.441112118059127,20.440693684242728,21.576278890129988,44.02149283449994,97.8033663567214,-71.10083286402738,9.101558255508736e-05,-7.142660734871242e-05,0.0218076352460896,0.526206757085345,5.037943628849462e-05,0.2323971688747406,1.755825400352478,22,3.0672910794272525e-06,-8.425421443831219e-07,1.201253414954598e-07,1209.9875675218357,4.797222226273241,2.8982814955924088,0.263884052343373,3.0,0.0431486136158908,177180970.9677943,6.088836446976459e-06,0.6972131256822435,2.399406383236541,0.0101889338731443,0.0002627299992772,0.0061771561771561,0.4756304475090933,0.000734930612141,-0.0002018751974244,0.0068963185951126,739478.8093917909,0.0014589004397678,0.0101889338731443,0.062950763943243,,2.2661036935822662e-10,1.261508822441101,2.929006099700928,0.6827166676521301,0.461803155320727,0.538196844679273,0.1580210975069426,0.45658913634525,0.3340530586940495,0.0689553233437962,0.1404024816169041,0.441533209653521,0.5584667885993904,3.5150098585088675e-06,0.0002741811736113,0.2190659060737106,0.0102805578293996,0.0424321995617094,0.35624771520932,0.432767097264784,591571.2676312788,1.8864828491110572,2.4048467097219053,0.4795791749809489,0.4415332104244771,0.5584667895745227,0.0061410339274395,0.4790188241823565,0.2190659064562191,0.0102805578293996,0.0424321995617094,0.3562477152093201,0.4327670972647841,338.6040302502458,1.8864828491110568,2.4048467097219053,0.4795791749847553,22,29,0.1255411255411255,1.0,0.2029311670130937,399.2537654066867,0.0003142039641105,0.6604393362283328,9,8,0.2222222222222222,1.0,0.2018643332799267,511.45183326216255,0.000488804582839,0.0755036580738246,0.07356171327384,0.090872495966225,0.9742801229831028,16,27,0.225,1.0,0.3756276201220318,269.6992218903467,0.0007119345057685,0.7167487189428985,13,16,0.2051282051282051,1.0,0.1490382329659237,472.9929917470762,0.0005128198085013,0.228676034345862,0.085754412930701,0.0831615064965832,0.3750039359218614,-0.0765314845856044,,0,0.5578420758247375,-1.767037868499756,2.1540818214416504,0.5874787672894929,0.4716724753379822,322.474654710382
1,time1_region1,7.59786602639368,0.0005653364351019,0.1408714814927333,6.020424022794729,6.883913556521293e-06,1.3191943168640137,0.145298101563672,10.302963658480248,10.302794024510032,11.260783550758674,21.128676226365663,31.365437663255296,32.90620800988873,5.250850134075336e-05,7.462813158554127e-06,0.0133548274104479,0.0784119988273622,1.3599155863630584e-05,0.2244230955839157,1.7519922256469729,22,1.5235030682851933e-06,-1.9464828932174478e-06,4.7569160112844514e-08,1632.0758996665663,5.28506768543723,3.275293974479172,0.2988437129777201,7.25,0.1133008768463856,259652779.4286678,6.503669863636809e-06,1.0856937297937752,3.0278767404772284,0.0141414141414141,0.0001310205666989,0.0070348037660002,0.2817694027351189,0.0003874832267562,-0.0004950626559176,0.0030771213416897,1020900.474169663,0.0016541239874412,0.0141414141414141,0.0333233797681807,0.2928839921951294,8.467798684463901e-11,1.509873390197754,2.953920125961304,0.680874764919281,0.5397525841714309,0.4602474158285691,0.2754072551928465,0.1359675310215036,0.6063285374392839,,0.2577039315392124,0.5466500611202919,0.4533499367569942,3.3831009275534e-06,0.0001370981772694,0.3996345152728781,0.0382286995665864,0.0353745027037596,0.4343712889854104,0.4601821688657681,663015.5608577317,3.0576120116133176,2.62716154678203,0.2881760394005105,0.5466500622801269,0.4533499377188731,0.0071813552481077,0.2910202018572331,0.3996345161207881,0.0382286995665864,0.0353745027037596,0.4343712889854105,0.4601821688657679,312.3433504436585,3.0576120116133176,2.62716154678203,0.288176039402742,17,29,0.213235294117647,1.0,0.3533985943002939,360.8670467431516,0.0005061339868318,0.3817856435624296,20,29,0.1526315789473684,1.0,0.1082970059790135,384.5564696572316,0.0004280210126802,0.4192347167299096,0.1461398821345039,0.1542926693798504,0.3827799305675229,22,28,0.1212121212121212,0.9090909090909092,4.46268228178476e-16,509.36387235938383,0.0002898966426274,0.3876312345522315,12,11,0.1666666666666666,1.0,0.2124202493720751,396.832670775595,0.0004581734197006,0.1569171805426834,0.181075730171869,0.2495447971970316,1.153957326697023,-0.1067670573268813,,0,0.622281551361084,-1.5308566093444824,2.247918605804444,0.6590791515778582,0.5091391205787659,322.474654710382
2,time1_region2,7.482148925215139,0.0013867230154573,0.766727782736161,5.49495858183472,2.3098377823771443e-05,1.151134014129639,0.0791636461612794,16.39172926560215,16.3915603995924,17.418559164450514,44.67681339471825,95.37338767000628,132.4561460865321,0.0001500188158463,-9.634378497302976e-05,0.0132804612000926,0.6358952711220613,0.0001808775705285,0.2402438223361969,1.7001478672027588,22,6.463239848368991e-06,-6.745763870554792e-06,1.6224439180373929e-06,1692.7487869239935,4.474022623189043,2.9851571273654924,0.2300579349176584,13.6875,0.0537791467750549,64959894.12732586,1.931599940138712e-05,0.607709466676073,2.4416412459155894,0.0088794926004228,0.001006137837174,0.0047979797979797,0.4261842284172011,0.0005721651703735,-0.0005971759214653,0.0127148721690961,733794.0063849682,0.0017099693721522,0.0088794926004228,0.0890694221565356,,1.8555453840107814e-09,11.793105125427246,2.867254734039306,0.6574076414108276,0.5951233886080982,0.4048766113919017,0.1880978348698622,0.4176136002123428,0.3356372051480452,,0.2467491946396119,0.5328778876636583,0.4671221118622018,1.2711544312273626e-05,0.0010299779594085,0.1904409060522097,0.0181347356431172,0.0307899349376798,0.2529860230387411,0.3623270083223258,168467.464948128,2.1282616609959453,2.324320009753719,0.4366090164762193,0.532877887915778,0.4671221120832107,0.0059591461580414,0.4828515756146615,0.1904409061423127,0.0181347356431172,0.0307899349376798,0.2529860230387412,0.3623270083223259,359.36048371204345,2.1282616609959457,2.324320009753719,0.4366090164769677,28,56,0.1481481481481481,1.0,0.3763520446216518,370.9751978648704,0.0003498863144221,0.8790427426464512,9,6,0.1666666666666666,0.4444444444444444,0.0,367.30915717136696,0.0010101391978648,0.0604607484551043,0.0627557234698929,0.0626142644113542,1.037958097996301,23,40,0.1581027667984189,1.0,0.360099796802001,343.9895536008726,0.0003603591160431,0.7261613800358598,10,12,0.2666666666666666,1.0,0.1880159463842341,521.3407490117759,0.0005675449092121,0.1134639653988751,0.0476798582619615,0.0537355783143358,0.4202202707647852,0.136512752244441,,0,0.5629398822784424,-1.7441200017929075,1.951669692993164,0.4844333748443337,0.3933849334716797,322.474654710382
3,time1_region3,7.6830670582183425,0.000207634846447,1.337536226052484,5.469004969552919,4.951864298163855e-06,1.1183059215545654,0.0861145114705967,10.139445420523757,10.13925046956935,11.16179628382126,23.91559784520483,43.085338778134826,-16.829136908824587,3.210108522821997e-05,-6.975989219171197e-06,0.0125330462029762,-0.4333265517820417,3.619394192355685e-05,0.2138896584510803,1.7283804416656494,22,1.22836071793698e-06,-1.6595407177196036e-07,4.477645952385256e-08,1130.080657948599,4.775664264363898,2.9146157812394016,0.3193969278945093,2.25,0.03959882259407,471680827.601797,3.6373566406591152e-06,0.699653250176177,2.3330832876778884,0.0095630215195432,0.0001814580098534,0.0061657767607424,0.4489289445535975,0.0004795817962125,-6.479249209132508e-05,0.0068253245607268,1208123.8203821287,0.0014201122072608,0.0095630215195432,0.0708456065736632,2.1810503005981445,4.982335030656593e-11,10.691245079040527,2.920127868652344,0.6782690286636353,0.5501221722729297,0.4498778277270703,0.1501163308432667,0.3298202258502599,0.307098453609765,0.0989554890683467,0.1927424616845394,0.5625528667987457,0.4374471301306261,1.914480088702483e-06,0.0001891948358491,0.1671280008822365,0.0156915830560324,0.018417848460486,0.3432442731219406,0.3912685065252064,1043786.2491242028,1.905557644744419,2.3830431439620843,0.4571132311485908,0.562552868525574,0.437447131473426,0.0058786566044398,0.5809470037604672,0.1671280013952573,0.0156915830560324,0.018417848460486,0.3432442731219405,0.3912685065252063,339.92596017609253,1.905557644744419,2.383043143962084,0.457113231154745,17,22,0.1617647058823529,1.0,0.4623917223611539,276.6750248750644,0.000554918465509,0.6730218785166509,15,19,0.1809523809523809,1.0,0.1108281166591855,477.15509442480464,0.0004237117770957,0.2393421906976563,0.1063708339189827,0.1044146358309913,0.4444299335980981,17,23,0.1691176470588235,1.0,0.2103687677104653,339.37317899101055,0.0005276853292622,0.5607400374549496,13,18,0.2307692307692307,1.0,0.2141874226942311,477.2473609639917,0.0005736016795244,0.1826467302081588,0.0657537476423093,0.0812636944987112,0.3600050631477008,0.2359749311123818,0.0713833697870889,0,0.5687010288238525,-1.7188984155654907,2.2112808227539062,0.6054556537640963,0.4958254098892212,322.474654710382
4,time1_region4,7.636783265414829,0.0021908031776547,0.381997615427484,5.991813127333131,0.0,1.3836873769760132,0.0754365818285645,10.433926702227796,10.433809884254549,11.196333018799924,23.11155278168021,52.08933916068919,-28.14368888984304,8.662895003652693e-05,4.956586115412165e-05,0.0101601882050127,0.0904953273142017,5.5770320614101365e-05,0.2408083230257034,1.7558859586715698,22,2.7842400577156542e-06,-4.965359816102697e-06,5.928700396987308e-07,1620.8039230090455,5.00344811383332,3.0236187948811875,0.2784110385599957,9.6875,0.0604664348599787,90575434.00670215,1.3185188103808735e-05,0.8063440631103576,2.542475344020487,0.015044701942036,0.0005314517402398,0.0074624987415685,0.4413667508483264,0.0003265473131634,-0.0005823581527132,0.0081552706072495,772273.2440495398,0.0015464139684435,0.015044701942036,0.0623308819806882,0.6083751320838928,1.1294344348655727e-09,2.0141501426696777,2.9227468967437744,0.6868692636489868,0.4826109338516151,0.5173890661483849,0.2386391955293202,0.2684225265719185,0.7315774734280815,,,0.5962747327875974,0.4037252664773517,7.124685521709468e-06,0.0005494694590217,0.3307578787969907,0.0527765974108367,0.0301425828536445,0.3980869879625682,0.4336896106097229,282659.4335633015,2.6956020346598075,1.8806707282716808,0.440982197480048,0.5962747332252842,0.4037252667737005,0.0051583361108776,0.3978208081830312,0.3307578790397789,0.0527765974108367,0.0301425828536445,0.3980869879625681,0.4336896106097229,390.4087540236673,2.695602034659808,1.8806707282716808,0.4409821974812741,24,44,0.1594202898550724,0.9166666666666666,2.0630829034613982e-16,339.9827101314195,0.0004183081879871,0.7141405713332801,16,25,0.2083333333333333,1.0,0.1179068840754456,473.9258435921713,0.0005215579610144,0.2630960278287476,0.1062101806859121,0.0980299011095114,0.4036935926491662,21,31,0.1476190476190476,1.0,0.1152534564526965,460.5152020155593,0.00034295352365,0.557662519978814,5,4,0.4,1.0,0.2308670814010006,305.6149591504151,0.0016360455698567,0.0644572481178349,0.0941116356847492,0.1313983653716936,1.4600628855998123,0.0603955436325349,,0,0.6265124678611755,-1.5180373191833496,1.9301276206970213,0.7041847041847041,0.5999591946601868,322.474654710382
5,time2_region0,7.621317235528394,0.0006001323927193,-0.6647581320058126,6.00171829920528,5.778313607152086e-06,1.347602605819702,0.0861461432862666,12.25675370000542,12.25653962212578,13.394415023407294,29.819394449990835,57.59377185334878,-144.71370397766103,8.125866384744995e-05,-5.08863986752317e-05,0.0150441949302464,0.5688009839920376,8.490858454024419e-05,0.2264081388711929,1.7315205335617063,22,1.7479768424041346e-06,-3.7425881022658487e-06,3.074277016196979e-07,1174.2384169825395,4.524085086104668,2.778581948320339,0.2014558166005003,11.1875,0.0527745708921008,126977294.2678247,8.715752194737866e-06,0.5952285555283697,2.1214694573183825,0.0147536200167779,0.000452741273442,0.0079458170948579,0.4945446950771123,0.0003236200071457,-0.0006929018510192,0.0105376166766416,685845.6313742602,0.0016136322610863,0.0147536200167779,0.0838204114362592,,4.156495148066597e-10,3.84943413734436,2.871325731277466,0.6828334927558899,0.4301988650242491,0.5698011349757509,0.1518742279239267,0.4569030073649018,0.3975967740377979,0.1455002185973002,,0.4123525110966914,0.5876474877094345,5.543745283868288e-06,0.0004722377425387,0.2194576406666588,0.0100800006277236,0.0503363081870331,0.2881994863457382,0.2951653499622184,372332.3903491278,1.625610048259023,2.1475524766702305,0.4972470296118286,0.4123525115885699,0.587647488410415,0.006520171247147,0.5554134963015669,0.2194576409284408,0.0100800006277236,0.0503363081870331,0.2881994863457383,0.2951653499622184,316.57388353603983,1.625610048259023,2.1475524766702305,0.4972470296146003,23,35,0.1383399209486166,1.0,0.2143902657961838,408.1928140323511,0.0003335387291488,0.7199374409700181,7,5,0.238095238095238,0.7142857142857143,0.0,414.3907605834819,0.0010018886083943,0.0368803685643543,0.0352461944689024,0.0444991746762383,0.955689865392741,20,37,0.1947368421052631,1.0,0.3561949759984307,267.3560059572171,0.0005662642069272,0.8917285196310044,11,11,0.2,1.0,0.0692155125291848,604.8420014815664,0.0003374714021762,0.1339700232196123,0.0734956293386031,0.0668631905063915,0.548597571100845,-0.3517453867373945,,0,0.566825807094574,-1.7431105375289917,2.1754021644592285,0.5871448720531937,0.4706018567085266,322.474654710382
6,time2_region1,7.669822107590111,0.0004662228748202,0.8082882394947218,6.343255489356815,6.096561037338688e-06,1.1173396110534668,0.1272528460250674,12.731844793806957,12.731575052398076,13.665281463723522,22.907394460863397,34.3831263012198,606.8220633326528,4.891000403262069e-05,-1.5991092574552113e-05,0.0137241272131256,-2.315323880195222,2.226640935987234e-05,0.2242254614830017,1.7480398416519165,22,1.7254775256439766e-06,-1.4250306394105403e-06,5.9148814821304655e-08,1403.989699776729,4.410798996324513,2.9734785050515087,0.2422881400341739,9.6875,0.089653943808751,201068283.0244144,5.208631784666554e-06,0.7333313011540485,2.565586101111839,0.0130758288653025,0.0001730731062635,0.0069264219061789,0.3902958859584057,0.0004841670133497,-0.0003998619578387,0.0046571243218242,716568.4381655671,0.0014615361186783,0.0130758288653025,0.0485641152141824,1.018311858177185,1.1299008256804299e-10,19.469669342041016,2.9410057067871094,0.681906521320343,0.5783633075841739,0.4216366924158262,0.1910344190273115,0.5449454051329695,0.303908136393088,,0.1511464584739424,0.5207576285241887,0.4792423691632067,3.0654478338949887e-06,0.0001786293116782,0.2686683695631554,0.0269673166786379,0.0429264729992452,0.3965789626654587,0.349277453688475,673918.8300268779,2.2896888359713903,2.522154944693461,0.3892523812406628,0.5207576297279745,0.4792423702710254,0.0070891688119647,0.4130989708094085,0.2686683701842104,0.0269673166786379,0.0429264729992452,0.3965789626654588,0.349277453688475,291.4111756289768,2.2896888359713903,2.5221549446934617,0.3892523812445081,15,26,0.2476190476190476,1.0,0.4027314711581826,271.19289590557554,0.0007973364490799,0.5954342835598573,16,17,0.1416666666666666,0.875,8.330992184556106e-17,457.27171230797234,0.0003930736026221,0.1895013666269487,0.1282898046350921,0.1404798825500455,0.6769861712271591,16,24,0.2,1.0,0.3434180588932176,261.0203888588838,0.0007749759218982,0.5230898357958215,12,12,0.1818181818181818,0.6666666666666666,-1.1102230246251563e-16,338.66082491135546,0.0008217310822255,0.1914687229484434,0.1219630908993723,0.145797889332965,0.6369870181471531,0.0252812808507484,,0,0.5619016885757446,-1.7548518180847168,2.202733278274536,0.5768180266302493,0.4742394983768463,322.474654710382
7,time2_region2,7.564732346504748,0.0001980526576517,0.7546995551369267,5.745876104848603,1.2803292975149816e-05,1.2261371612548828,0.1388877808856382,29.295129879889384,29.29447557018094,30.108933706199323,69.58202642249739,167.57141899399488,-151.61070872971737,0.0001667868983332,-0.0001544534280952,0.0233803071993625,0.3634290093991341,0.0001072222585207,0.2259909659624099,1.7526601552963257,22,3.3925721031922253e-06,-4.130076668024121e-06,5.43978965118209e-07,1214.676710697012,4.0883356307154815,2.8067689825804973,0.2506402925560014,21.55555555555556,0.0575944129350984,75214336.29063557,1.252051730601919e-05,0.6229317593682526,2.22505827237085,0.0107893607893607,0.0005877066620866,0.0061405745368009,0.4834676662414465,0.0004755735875483,-0.0005789576387557,0.0106895494136432,536552.2043095711,0.0017551365760315,0.0107893607893607,0.0823852114356298,,1.048608422316022e-09,-71.4617691040039,2.8919026851654053,0.6620340943336487,0.6083294572607402,0.3916705427392598,0.1543166809865974,0.4950172598868649,0.2827302353972049,,0.2222525047159301,0.4945784653626671,0.5054215337784284,6.670491900784922e-06,0.0006185118454327,0.2161293378403003,0.0125177129460172,0.0530068227789505,0.3013892330394462,0.3940831581539843,263987.5164243758,1.6211673895679857,2.307498419302588,0.4946676220102984,0.4945784657869549,0.5054215342120183,0.0055802159669009,0.5174175648418204,0.2161293380257129,0.0125177129460172,0.0530068227789505,0.3013892330394461,0.3940831581539842,315.5660283870842,1.6211673895679857,2.307498419302588,0.4946676220123001,26,39,0.12,1.0,0.2294164784021864,437.6175843815672,0.0002481724011535,0.8577437914849313,0,0,0.0,0.0,0.0,,0.0,0.0,0.0658476602148329,0.0712952248460592,65847660214.83292,22,39,0.1688311688311688,1.0,0.3771095927897789,307.947770340465,0.0003948555564075,0.7716373184336702,9,9,0.25,0.7777777777777778,0.0,333.5042098336879,0.0010484731483456,0.1507807681471187,0.0440714007523068,0.0455994621047728,0.2922879442377283,0.1981117676126803,,0,0.4946613311767578,-1.975998878479004,2.085662603378296,0.3536444273042807,0.4317357540130615,322.474654710382
8,time2_region3,7.658561668295203,0.0001825093786465,0.3816293839735891,5.488436111082458,3.69130293620401e-06,1.1910101175308228,0.0764887221039987,10.695775755171672,10.69564918262161,11.763843857538957,26.43267599235034,38.90516997771271,-45.47209261916292,3.24536130609232e-05,-1.728029914893625e-05,0.0125395872456938,0.4640185870841232,4.914921373710968e-05,0.2113813161849975,1.7328609228134155,22,1.70267061781098e-06,-6.103699302340035e-07,6.263656889343491e-08,1138.518844626235,4.109018904436966,2.679294959653087,0.2583726849930888,53.25,0.0373643812884168,267487958.1413241,3.618054731122748e-06,0.4780530961039347,2.1097961007606125,0.0091077920025288,0.0002141242247916,0.0056009957325746,0.4853620324067406,0.0006578871752294,-0.0002358380769812,0.0093512465762933,692282.6606657745,0.0013979637550235,0.0091077920025288,0.082734486914033,,7.810848495770628e-11,138.30145263671875,2.8972973823547363,0.6748378872871399,0.4031575782577301,0.5968424217422699,0.1433754384471122,0.2055252585482679,0.3186902178993273,0.1330290177371654,0.3427555058152394,0.5014034425532472,0.4985965545698786,2.271810951429909e-06,0.0002212766569258,0.2061435159486857,0.0084235881942215,0.0186404733050509,0.3353766729129186,0.3337350174377222,924045.1956069606,1.6509724703899245,2.187410050548056,0.4981926523298435,0.5014034439952116,0.4985965560037711,0.0064252300314531,0.6258238258975255,0.206143516541525,0.0084235881942215,0.0186404733050509,0.3353766729129186,0.3337350174377222,326.720753143417,1.650972470389925,2.187410050548056,0.4981926523367317,19,26,0.1520467836257309,1.0,0.2145859711733398,381.4044632811794,0.0004124210854369,0.7322702174464152,8,7,0.25,1.0,0.1212531087130969,420.218899646275,0.000679917742764,0.0970210773591519,0.0867340717998097,0.0946852292106608,0.8939714354927041,19,29,0.1695906432748538,1.0,0.3433638734798063,317.8854628379962,0.0004751889435581,0.6641073193018768,10,12,0.2666666666666666,1.0,0.116852271405893,438.8037286044097,0.0006258028958635,0.1433139078035551,0.0949096672446905,0.1051827747880077,0.662250221903,-0.0450089581280741,,0,0.5655853152275085,-1.7331734895706177,2.2323360443115234,0.5793868394815553,0.4788525998592376,322.474654710382
9,time2_region4,7.638051570764851,0.0025385778862982,1.4395634567211326,5.667851106207094,3.12662239139172e-05,1.2079213857650757,0.080859557076145,12.231264719600558,12.231072989111142,12.974023763339032,36.225184411039,68.66978742585441,-107.38613394981776,7.485783357452647e-05,5.360207735094491e-05,0.0103054691524743,0.0923693463476492,9.144294017460196e-05,0.2377362996339798,1.7545384168624878,22,2.635799274381692e-06,-4.025167007076572e-06,4.239788659879887e-07,1596.0623391427262,4.319250207004091,2.983932689056966,0.2531818053954523,32.666666666666664,0.0620418732482135,135090644.0296966,1.1145153548752224e-05,0.7540960090526241,2.57572092750974,0.0129903688043222,0.0004699302699586,0.0066636514397708,0.4196085451124207,0.0003628639592205,-0.0005541347446751,0.0080353942569315,981281.8766297316,0.0015343256676016,0.0129903688043222,0.0646941348130642,0.485289454460144,7.654306632964847e-10,5.192491054534912,2.93498158454895,0.6850548982620239,0.5502313704378218,0.4497686295621781,0.1974092357838437,0.3854429258647484,0.6145570741352516,,,0.6386197423327381,0.361380256776095,6.619122791095148e-06,0.0004873041647457,0.2839345399249756,0.0315150019477622,0.0200763987804312,0.3215343600155869,0.3587796977837418,325361.1230153182,2.6207368812245475,2.0159276991675634,0.4212075630005184,0.6386197429012163,0.3613802570977837,0.0058987435013451,0.4342693685694125,0.2839345401777247,0.0315150019477622,0.0200763987804312,0.3215343600155868,0.3587796977837417,365.0955875935082,2.6207368812245475,2.0159276991675634,0.4212075630019173,21,40,0.1904761904761904,1.0,0.5012244388851755,302.04415800740503,0.0005392594759633,0.7199424114794745,18,28,0.1830065359477124,1.0,0.1339936597820362,408.6262668602157,0.0004643258147403,0.323742656276355,0.11677720902394,0.1006299053063504,0.3607099860336478,16,25,0.2083333333333333,1.0,0.303080775855042,313.44952999194504,0.0005816822514281,0.5523830841886253,6,5,0.3333333333333333,1.0,0.4279168611512031,389.3332631552624,0.0010273974454643,0.0565881481747977,0.0568946409164335,0.0854445965764659,1.005416200238415,0.3448029610329242,,0,0.6153092384338379,-1.5588840246200562,1.9282857179641724,0.6471471471471472,0.4788254797458648,322.474654710382
