,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,srcc,pearson,cosine,residual_norm_L2,residual_norm_Linf,abs_srcc,abs_pearson,abs_cosine,abs_residual_norm_L2,abs_residual_norm_Linf,weighted_jaccard,binary_jaccard,spec_L2,spec_Linf,degree_dist_L1,ged_approx,model_id,AC,ANE,EMD,acc,f1,l2
0,time1_region0,6.431660444335556,0.0049135037697851,3.1758489850966964,3.1758489850966964,5.754623771281331e-06,1.3335537910461426,0.0661331731326369,1.1139165631126695,1.1139165591953812,1.535124714692646,1.7328679205585773,4.64901528730625,1.1863172619480278,8.43288824796673e-05,8.394048383308927e-05,0.0386318193987237,0.0659048841307072,0.000295017438475,0.1358872652053833,2.008997201919556,15,2.7380879786573623e-06,-1.279052169824252e-07,9.453375848164516e-07,1838.200654557848,3.526408467900898,2.4344850073657365,0.3863016250706694,6.888888888888888,0.0147424810710082,106717220.48390494,3.2422337805150026e-06,0.7322121479638495,1.8516917093134655,0.0114193404634581,0.0008644444652589,0.0060106951871657,0.7546822270026248,0.001254395966699,-5.859701106456839e-05,0.198409013952101,232941.710997282,0.0014853594771651,0.0114193404634581,0.3960265785377103,0.4117307662963867,1.468297838869148e-08,3.175848484039306,2.2911176681518555,0.3253547847270965,1.0,0.0,0.1165336318427416,0.0387045739944327,0.0660726955644936,0.0856414100899066,0.0888102187817955,0.0707763183128767,0.0777522192978675,0.0818856130077318,0.0994127749760996,0.0866440356742513,0.1085515967923001,0.0981932211910998,0.0975553223171444,0.9999999991953532,0.0,2.770332617506449e-06,0.0009261919763956,0.0022021215221663,0.0148165463560947,0.0,0.37319597928334,0.0,358835.2261536809,1.7831692674601394,0.0,0.7585785719027541,0.999999999999,0.0,0.002229138961928,0.745257305119915,0.0022021215239361,0.0148165463560947,0.0,0.3731959792833398,0.0,445.9537733188415,1.7831692674601392,0.0,0.7585785719051926,27,73,0.2079772079772079,1.0,0.2402938987694833,497.9846315207623,0.0002968105345762,1.6150350345168327,7,19,0.9047619047619048,1.0,0.9630152599525394,131.94196556198378,0.0036517623194686,0.1892029288350493,0.0978810183240591,0.051458935674895,0.5173335261072708,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003045872435905,0.0012427815236151,0.0003489163937047,0.000295017438475,134,0.7724109296055067,0.9703798796766911,0.9703847599986312,9.655460241243805e-05,6.09540002187714e-05,0.9296259499426824,0.9905238914773196,0.9905266926036148,6.144495422393795e-05,3.567311796359718e-05,0.7738129343898751,0.7756410256410257,0.1430550540862716,0.0962853285876549,1.0047701243134128,,1,0.1767876595258712,-3.3748550415039062,2.122859001159668,0.1846639165251152,0.053380511701107,231.32723526655963
1,time1_region1,6.26353605945557,0.0060888733714818,3.2995618194631304,3.2995618194631304,6.48890153343018e-06,0.9866929650306702,0.0641747848273921,1.0148774301047785,1.0148774225355164,1.425027359695674,1.415119647542764,3.153367955456882,1.040868340515568,9.59455655404895e-05,9.559211000720325e-05,0.0383996389730853,0.0607509007948668,0.0003039715520571,0.133093774318695,2.004082441329956,13,1.212174014989547e-06,-4.6699491779310514e-07,1.180822482219251e-06,2030.05616433988,3.494928736712765,2.53660445670685,0.3802863588955175,42.0,0.0191729231695578,255996431.6016712,3.699861805614348e-06,0.8027409896308277,2.0295454775516646,0.0111353077816492,0.0009326049768137,0.0055804814408222,0.7456993813789061,0.0004851774732827,-0.0001869165611752,0.1891715918397851,639584.9815507905,0.0014808843872032,0.0111353077816492,0.3732788469022492,0.4472660720348358,2.1254255244684828e-08,3.2995619773864746,2.2772531509399414,0.3260023295879364,1.0,0.0,0.1212892008452696,0.0525395634852103,0.0677053021739146,0.0754610057293897,0.0779878696852005,0.0641124729878204,0.0801849694519878,0.088286500753688,0.093597374806917,0.1029655753730655,0.1015438554357498,0.1006616169856393,0.0949538931314167,0.9999999993332752,0.0,1.2121935224572545e-06,0.0010287206092557,0.0008035407283149,0.0187756351063097,0.0,0.3727456248582012,0.0,584893.407656122,1.940410382344638,0.0,0.7547688458013366,0.999999999999,0.0,0.0008081994137503,0.6858734829963715,0.0008035407288499,0.0187756351063097,0.0,0.3727456248582013,0.0,877.263690156172,1.940410382344638,0.0,0.7547688458030573,35,89,0.1495798319327731,1.0,0.2351995164215228,1002.4227201873424,0.0001018555051438,1.6082733464774903,7,18,0.8571428571428571,1.0,0.9545779959236824,137.5980192792378,0.0033975370430243,0.181085584162516,0.1053205346799965,0.0555875210597737,0.5816063999079912,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003178053011652,0.0014998692786321,0.0003751523036044,0.0003039715520571,154,0.7945458542604699,0.9493908233432524,0.9494051851659464,0.0001231794982192,7.180762986536138e-05,0.9343524957675686,0.9598722501044322,0.9599092617574936,0.0001096553793214,7.180762986536138e-05,0.6987856399615735,0.7470588235294118,0.0923218448943176,0.0771932655981748,1.0471632481270563,,1,0.201863944530487,-3.276573419570923,2.19686222076416,0.2154681841696844,0.0561092793941497,231.32723526655963
2,time1_region2,6.590662989544877,0.0056257951073348,3.1058659060859437,3.1058659060859437,9.89666853001836e-06,1.0853627920150757,0.052131637778853,0.8909855362028142,0.8909855359723164,1.195297931152122,1.2863277759711338,3.04337635700084,0.9641540504875308,8.405153361223938e-05,8.07808658862541e-05,0.0308292987243126,0.0524803123251444,0.000321713683661,0.1404743790626526,2.021153688430786,15,1.5676527953234315e-06,-5.882719558594801e-08,1.5313708903570942e-06,1932.057040056638,3.741817081624839,2.5189776922663287,0.3859577635684798,100.0,0.0157370656690764,194325977.3175642,3.065200882719392e-06,0.6628290497426956,1.7946869690048444,0.0114203778677462,0.0011052320784309,0.0057646190739715,0.7677777430573733,0.0005750475713061,-2.157904354201188e-05,0.2060573762621676,529757.3237318606,0.0011243792736562,0.0114203778677462,0.4054220543105934,0.3780862092971802,2.5645116252803746e-08,3.105865955352783,2.253694534301758,0.3288631439208984,1.0,0.0,0.1083893199665128,0.0528455734900615,0.0779717162563253,0.0696564530119173,0.0858682454330075,0.0703156713303803,0.0891496912397315,0.0849648879053347,0.1084442006561787,0.0804140742030047,0.1165997613688134,0.0808673121844808,0.0829024129207638,0.999999999383432,0.0,1.5676548235108527e-06,0.0011804102791657,0.0376148721725868,0.0158794732226241,0.0,0.3784201110861921,0.0,533721.224437639,1.7337055945580686,0.0,0.7718977111101128,0.999999999999,0.0,0.0009665660561629,0.7278033984753811,0.0376148721957413,0.0158794732226241,0.0,0.3784201110861923,0.0,865.6321485374822,1.7337055945580686,0.0,0.7718977111118219,33,86,0.1628787878787878,1.0,0.2072695953746157,1054.5394021534682,9.659132978788625e-05,1.6550158117909892,7,15,0.7142857142857143,1.0,0.9319150504552736,165.85570432811284,0.0027110035584271,0.1493655521142657,0.0978093180473728,0.0514193024786401,0.6548318314556759,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003375670057721,0.0016218805685639,0.0004064075474161,0.000321713683661,149,0.5930409569858445,0.8500494096355913,0.8501068240167905,0.0002212753725858,0.0001521133926871,0.8845820697238482,0.9438751203385426,0.9439310565641368,0.0001368799143822,7.862427082727663e-05,0.6571786762090035,0.6590909090909091,0.1377588874418139,0.081426509006294,0.9862467683505548,,1,0.2236313074827194,-3.2212331295013428,1.910813331604004,0.1955168119551681,0.0365253202617168,231.32723526655963
3,time1_region3,6.277131756270265,0.0053164176642894,3.0434870847579325,3.0434870847579325,5.418343789642677e-06,1.3310842514038086,0.0554734724927771,1.0182672093784324,1.0182672080448183,1.3958008909471542,1.4978833887199372,3.646702529153016,1.0780983878905337,8.224989060856558e-05,8.175667470489145e-05,0.0342871551647289,0.0533136694535783,0.0003689306904561,0.1277917027473449,2.0082666873931885,15,2.278719161411949e-06,-7.726869889006731e-07,1.2538890556615522e-06,1843.2755499807668,3.416138322375957,2.4190888840832807,0.3622825647103849,20.222222222222225,0.0174735998085096,107690479.2380373,3.873226912119896e-06,0.740902712302317,1.900206815522476,0.0125031830914183,0.0009963306543123,0.0063984648977701,0.7476339661963326,0.0009499979376804,-0.0003221332071406,0.2179329208814293,258312.51174985492,0.0016147481960424,0.0125031830914183,0.4153702199372252,0.4078359007835388,2.6239499462121785e-08,3.0434865951538086,2.194209575653076,0.2991576492786407,1.0,0.0,0.116058045876156,0.0487267513361235,0.0720151472540061,0.0808716020532222,0.0856763394116338,0.068753699904921,0.0785378804119172,0.0824325554802502,0.102893284131296,0.0871244670639747,0.106099187818455,0.0953164562963472,0.0915526288378526,0.9999999993144658,0.0,2.2790018129213685e-06,0.001104595311599,0.0015373202318399,0.018543535471525,0.0,0.3519840714412675,0.0,401481.65511015145,1.7850063839064398,0.0,0.7559267694725269,0.999999999999,0.0,0.0015623335428492,0.7572377945469841,0.0015373202328923,0.018543535471525,0.0,0.3519840714412676,0.0,585.647939288341,1.7850063839064398,0.0,0.7559267694745643,28,74,0.1957671957671957,1.0,0.2456988202977192,667.172509695414,0.0002435734104638,1.6488120566108069,7,18,0.8571428571428571,1.0,0.9402344205339508,153.49756467175465,0.003126103973727,0.163712493984049,0.0937377247025723,0.0491735717153332,0.5725752654632793,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003753839118871,0.0014587165787816,0.0004157773219048,0.0003689306904561,138,0.8703393375791671,0.9933086371989794,0.993305289027962,6.050196537000326e-05,3.824013401754201e-05,0.9616353053423424,0.993387837206757,0.9933870503581018,6.027755844216168e-05,3.824013401754201e-05,0.8215218201220174,0.8609271523178808,0.0499893718390854,0.0348854093665251,0.9829142850706792,,1,0.1712253242731094,-3.3728578090667725,2.1771342754364014,0.178451691557452,0.0492309965193271,231.32723526655963
4,time1_region4,6.312394014951664,0.0059369802474975,3.1430577308264502,3.1430577308264502,6.34340091210106e-06,1.319507360458374,0.0592404158380752,1.0203381233094058,1.0203381228434856,1.3896106973449067,1.5095727631963485,3.332649798002004,1.0684189216909814,9.141877530538522e-05,9.10229109152283e-05,0.0347803993778635,0.0543498416226081,0.0003623959782999,0.1304023116827011,1.9866565465927124,11,1.6684977276547708e-06,-5.297414014607907e-07,1.378193898315568e-06,1736.0713227405051,3.327322028838131,2.4377591691369043,0.3312558429997684,24.666666666666668,0.0206677175089291,132110623.56546783,4.977240733671987e-06,0.7629235785622832,1.9501213813551717,0.0115079365079365,0.0010234309698822,0.0061333333333333,0.7325069545929466,0.0006348326407034,-0.0002015568647011,0.1995159259751322,347219.5062217552,0.0018937483752822,0.0115079365079365,0.3893966190836491,0.4387765824794769,2.8752900504969148e-08,3.1430578231811523,2.2391674518585205,0.3128155469894409,1.0,0.0,0.1214965922788018,0.0542191493636431,0.0666732487034904,0.072982510206356,0.0873231532803703,0.0748116065207814,0.0850305603377243,0.0779155681495633,0.1103828617926644,0.0908432971780453,0.0941370558276204,0.0868532289667668,0.0988277596729738,0.9999999993585142,0.0,1.6733149922686129e-06,0.001130447926068,0.0010597308056532,0.0215635426551851,0.0,0.3285570540506526,0.0,400103.5394214226,1.839035636237119,0.0,0.7400361754134791,0.999999999999,0.0,0.0010734077292348,0.7251662400357883,0.001059730806332,0.0215635426551851,0.0,0.3285570540506526,0.0,623.7138346775464,1.839035636237119,0.0,0.7400361754153751,29,70,0.1724137931034483,1.0,0.2654084503688417,702.1256635209572,0.0001809810362637,1.643985974998725,7,18,0.8571428571428571,1.0,0.936588170144452,157.54797381559098,0.0030871003947527,0.1607806876367583,0.0976166686822581,0.051312828006457,0.6071417538827629,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003745711001101,0.0015588811365887,0.0004253829247318,0.0003623959782999,136,0.735766418405907,0.9882048286817992,0.9882037390210208,8.097907953469338e-05,4.58882004750194e-05,0.9195923255823636,0.9884782550635176,0.9884850622211576,8.03843845813453e-05,4.58882004750194e-05,0.7429636272836835,0.8,0.0900373260528213,0.0637143795533061,1.017026172626903,,1,0.1746233701705932,-3.323049783706665,1.882732629776001,0.1919191919191919,0.0503072775900363,231.32723526655963
5,time2_region0,6.432975415176671,0.0048768064007163,3.4763657129316274,3.4763657129316274,7.252038983551756e-06,1.342098355293274,0.0688980069317514,1.1158066073354462,1.11580660411247,1.5350211063565449,1.7265371822846571,4.529572185577076,1.1911166901673875,8.431717671353312e-05,8.38525096815701e-05,0.0395308335359727,0.0674815233212945,0.0002773330488707,0.1379184424877166,2.0232670307159424,15,1.893561707568953e-06,-1.4866398690806417e-07,7.628264891845651e-07,1961.2248961139544,3.5155314809115654,2.44928810970035,0.3930325036122499,6.222222222222221,0.0138551622189587,140578385.3240193,2.6246259683815147e-06,0.7894663870019488,1.9593631589613552,0.0105169340463458,0.0007629366648141,0.0055102957213419,0.7486295408585756,0.0008878049009481,-6.970178807575909e-05,0.1676879746945369,299833.7211611075,0.0012305676594705,0.0105169340463458,0.3577062782158322,0.4156926870346069,1.3543957955164389e-08,3.476365327835083,2.308286190032959,0.3318342268466949,1.0,0.0,0.1300178129277645,0.0390067465418076,0.0659409791479214,0.0849511961672889,0.0891451054778327,0.0689198337455588,0.076801379569602,0.0890390038827257,0.0947792827948601,0.0862506732143222,0.1090175273777056,0.0985929468076464,0.0975553252727281,0.9999999991073838,0.0,1.8963753894755928e-06,0.0008067561308364,0.0106734659598623,0.0136061443031867,0.0,0.3902795160398205,0.0,503589.02111143706,1.9075025605669065,0.0,0.7547941198207192,0.999999999999,0.0,0.0016927354303232,0.7201236073175179,0.010673465969379,0.0136061443031867,0.0,0.3902795160398206,0.0,564.1719366997869,1.9075025605669065,0.0,0.7547941198232877,28,74,0.1957671957671957,1.0,0.2430804658229856,650.4615601617801,0.0002231947707721,1.5655087372120735,7,19,0.9047619047619048,1.0,0.963119752544282,117.94390874491116,0.0040413575934585,0.2106060791705921,0.1119425918086667,0.0592898241986732,0.5315259286413695,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002851473400369,0.0011203023605048,0.0003215752367395,0.0002773330488707,139,0.7441474702574025,0.9556683184403594,0.9556793665192876,0.0001188446505385,7.005056977504864e-05,0.9219709515986172,0.9841358669572972,0.984144881533852,8.137667362211074e-05,5.3357507567852736e-05,0.6986878244233379,0.7300613496932515,0.0897129113216369,0.0706841521568105,0.9836382780898492,,1,0.1738366782665252,-3.3858203887939453,2.145021915435791,0.156760024178924,0.0488462373614311,231.32723526655963
6,time2_region1,6.26520287703757,0.0056899636983871,3.19142386474946,3.19142386474946,4.820552135242906e-06,1.3285609483718872,0.0643948740287322,1.085902576657272,1.085902573914202,1.4893836349071867,1.568041673046858,3.7171886171916766,1.130305457063261,9.13585444930476e-05,9.085584545509562e-05,0.0375917514710898,0.0598917644295027,0.0003088438825216,0.1311765611171722,2.0050978660583496,15,1.1688921784983954e-06,-3.242837654022105e-07,1.1228338150615344e-06,1876.8631471388017,3.4300986293966407,2.519144397273052,0.3601851459239228,29.55555555555556,0.0178344216490448,210150557.0428868,3.867756607160817e-06,0.7869955055212519,2.008444654247011,0.0107118758434547,0.0009175946395916,0.0056616133258469,0.734545158176099,0.0004810076954724,-0.0001334451362074,0.1901387305824162,510684.861005441,0.0015916101435999,0.0107118758434547,0.3775968992520864,0.4386588931083679,2.1182579246215028e-08,3.1914241313934326,2.2708418369293213,0.3190664649009704,1.0,0.0,0.1212477797440059,0.04623622281553,0.0663606757897395,0.0816153759908484,0.0824521177427633,0.063138250060366,0.0757134224914499,0.085827360981533,0.0971638164800798,0.1016021479455079,0.1070151346238088,0.0954522853342013,0.0974231897441717,0.99999999930496,0.0,1.1689080936745395e-06,0.0010096736803232,0.0008078936700196,0.0176350173764757,0.0,0.35825942014261,0.0,534568.7642369587,1.9168575889771933,0.0,0.7464910890455979,0.999999999999,0.0,0.0008124380381649,0.7017637301577486,0.0008078936705803,0.0176350173764757,0.0,0.3582594201426098,0.0,769.1192753031776,1.916857588977194,0.0,0.7464910890474887,33,83,0.1571969696969697,1.0,0.2525846832669952,877.0932273105468,0.0001216613198407,1.618616156436126,7,18,0.8571428571428571,1.0,0.9575866559346388,137.53133032244074,0.0034231988609093,0.1807180083361543,0.10033291761386,0.052816053162238,0.555190479009875,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003203078813385,0.0014387657865881,0.0003701601817738,0.0003088438825216,146,0.8865258114452771,0.97717702738925,0.9771793313242212,8.261467234958899e-05,5.014561247662641e-05,0.9560533109893088,0.9771943781697904,0.9772119847371648,8.255574986634149e-05,5.014561247662641e-05,0.7681027218977238,0.8291139240506329,0.0355988964741582,0.0219637595159328,0.851317183847385,,1,0.1776099503040313,-3.350341558456421,2.164884328842163,0.1474906111300785,0.0535211637616157,231.32723526655963
7,time2_region2,6.541645967282934,0.004929959308356,2.783807711624358,2.783807711624358,4.542311387467635e-06,1.315239667892456,0.0485742355374527,1.0991669371324326,1.0991669370652286,1.4548644030733628,1.5820622084700264,4.227612610567311,1.186421591402129,8.010998943319692e-05,7.86488306374622e-05,0.031600765288062,0.0540531702764483,0.0002776818582788,0.1199651807546615,2.013747453689575,15,1.5882761236338252e-06,-4.419463200200307e-07,1.4770196404551674e-06,1838.1934526532596,3.5012505828556613,2.3991222970061257,0.3580442397689133,49.0,0.0162515406899358,113409718.1170119,3.0259923147499123e-06,0.5905122875852636,1.5534269856673932,0.0131740196078431,0.0011119084056443,0.006566844919786,0.7881072990282681,0.000626579369475,-0.0001743490723391,0.2298721895966346,287475.0689395785,0.0011937624101283,0.0131740196078431,0.4386509699914898,0.321852445602417,2.8531825790878432e-08,2.783807277679444,2.1080007553100586,0.2924515902996063,1.0,0.0,0.0876011248837295,0.0442884900311201,0.0718147086087551,0.0837937902412002,0.0913635744168544,0.0672367060431751,0.0738111473200393,0.0867717460477665,0.1067581833838901,0.0866775675585661,0.1085577010608592,0.0835048591638131,0.0954215261239602,0.9999999993433404,0.0,1.5883455648291917e-06,0.0012124991877569,0.001026895191403,0.0160553546047246,0.0,0.3482684788915022,0.0,472156.0474483873,1.4771672910905354,0.0,0.7939570235942048,0.999999999999,0.0,0.0010430021285457,0.7961990524564775,0.0010268951920763,0.0160553546047246,0.0,0.3482684788915022,0.0,719.0272611596395,1.4771672910905354,0.0,0.7939570235962868,27,75,0.2136752136752136,1.0,0.2245692377009621,830.3639241770098,0.0002157031779008,1.689239759246698,7,17,0.8095238095238095,1.0,0.9479372191626882,165.18980414451394,0.0027995007669638,0.148501876395963,0.0811291821786693,0.0422796477100958,0.546317556031062,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003156147431582,0.0015228594420477,0.0003974837018176,0.0002776818582788,136,0.6968512041607956,0.7237074789119317,0.7238127462597433,0.0002982239927831,0.0002233657469332,0.9073269071924108,0.8507614079334117,0.8509236627441612,0.0002196675917006,0.0001334171211055,0.5735867055933265,0.6909090909090909,0.0757359982339625,0.0480900976385419,1.016227983087475,,1,0.1682232171297073,-3.375201463699341,2.0662553310394287,0.1276513690705746,0.0437045320868492,231.32723526655963
8,time2_region3,6.306523374360053,0.0052266204729676,3.0367058431907905,3.0367058431907905,5.2520113626997045e-06,1.33271062374115,0.0551064412451978,1.0274222450318038,1.0274222319478463,1.411324315116282,1.4985075010153044,3.668591879401276,1.093213518484443,8.154402131221872e-05,8.116955419357197e-05,0.0343653856092834,0.0540914511749504,0.0003613926819525,0.1277611702680587,2.00996994972229,15,2.315145489747629e-06,-6.478254586796073e-07,1.2250763664630868e-06,1785.6767983440984,3.4297416203193265,2.414197240367901,0.3617336369042832,14.22222222222222,0.0188803650099486,110315531.42936778,4.146770657718983e-06,0.7296719105287963,1.8734778013799784,0.0126814362108479,0.0009883676941218,0.0065478991596638,0.7488557139623669,0.0009757574922229,-0.0002730370613333,0.2176157658940449,261741.78411189,0.0017477270962666,0.0126814362108479,0.4165643866273469,0.4021608531475067,2.558632239413328e-08,3.036705493927002,2.191852569580078,0.3015774190425873,1.0,0.0,0.1118287587689228,0.047850161790054,0.0706632486088609,0.0782830262126107,0.0862959917359891,0.0683788548190518,0.0767298499624639,0.08452824122709,0.1027440393316704,0.0885782876115716,0.107934859117553,0.095235832098843,0.0927776074842411,0.9999999993026216,0.0,2.315315414661638e-06,0.0010957474221145,0.0015923233114658,0.0201286328521003,0.0,0.3534971110445175,0.0,410868.3597821351,1.7595994934444632,0.0,0.7583897248202999,0.999999999999,0.0,0.001614650980008,0.7641505938045825,0.0015923233125747,0.0201286328521003,0.0,0.3534971110445176,0.0,589.1612853668053,1.7595994934444632,0.0,0.7583897248224121,28,72,0.1904761904761904,1.0,0.2427093006230197,673.0250333914832,0.0002360992570101,1.6485338943017434,7,18,0.8571428571428571,1.0,0.9436004373562698,152.20735695925563,0.0031243357943498,0.1645549468561198,0.0934555794210685,0.0490183068447417,0.5679293221295999,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003682606038637,0.0014339417684823,0.0004090808506589,0.0003613926819525,136,0.8810856099444141,0.9927015439144354,0.9926982918511298,5.763154779911981e-05,3.6651019399869256e-05,0.9625089026387946,0.9928886266069168,0.9928886307466462,5.7090915283233743e-05,3.6651019399869256e-05,0.8236853999692783,0.86,0.0656748173699458,0.0435018905044796,0.97313891757606,,1,0.1708848029375076,-3.3754570484161377,2.1995348930358887,0.1655034895314057,0.0452848151326179,231.32723526655963
9,time2_region4,6.325826347109491,0.0059575671330094,3.0225708133341804,3.0225708133341804,6.694045850963448e-06,1.3123648166656494,0.0565513773967405,0.965011051609028,0.9650110514695152,1.3348693361442907,1.361597551273676,2.956017586543433,1.0447786429251025,9.000793076907598e-05,8.911384809451306e-05,0.0336619562067512,0.0538528485502671,0.000336800556397,0.1327922344207763,1.9905647039413448,15,1.6572486679154256e-06,-1.890750498975412e-07,1.497901442878148e-06,1826.9838362101607,3.340561844250196,2.484956595610339,0.3418332017195923,22.222222222222214,0.0213945029404223,160318051.40206978,4.573120642541377e-06,0.6470599849717491,1.9183537953150056,0.0112612612612612,0.0010665785702231,0.0058847308847308,0.744452021687999,0.0006198374388231,-7.071707917537435e-05,0.2095383409512675,428639.6082282275,0.001710420088675,0.0112612612612612,0.3989174058705388,0.440763920545578,2.8081618808073472e-08,3.022571086883545,2.24293065071106,0.3155105113983154,1.0,0.0,0.1064910490945309,0.0604576541338599,0.0706719174815066,0.0763178242337787,0.0835053262571259,0.0727835586968034,0.069667275952971,0.0772979651148701,0.1053518537944951,0.0988276641418823,0.1034319737241295,0.0921175131033821,0.0895694733651947,0.9999999994041718,0.0,1.6600712664620924e-06,0.0012009155344619,0.0009836635276735,0.0226529340341928,0.0,0.3271869371562048,0.0,440039.18815039145,1.802677967450186,0.0,0.751874151172366,0.999999999999,0.0,0.0009891172209614,0.7155393024709973,0.0009836635282586,0.0226529340341928,0.0,0.3271869371562046,0.0,738.5337115612093,1.802677967450186,0.0,0.7518741511740861,30,76,0.1747126436781609,1.0,0.2643673922582312,843.0646855905419,0.0001466719917267,1.657294415574592,7,18,0.8571428571428571,1.0,0.9529803905522028,162.19484197343633,0.0029706669958785,0.1553211929907593,0.0936921957173244,0.0491485139529079,0.6032157873194968,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0003508799127303,0.0016783361788839,0.0004154046473558,0.000336800556397,141,0.6945382546258662,0.9683967810483028,0.9684036554331752,0.0001059204601395,5.372577470552642e-05,0.9112421676033884,0.973971957232842,0.97399355490762,9.694638955724974e-05,5.372577470552642e-05,0.7392526672003223,0.7861635220125787,0.0700020740066475,0.0405215939873473,0.8688692521089488,,1,0.1906004250049591,-3.29850697517395,1.8772187232971191,0.1846846846846846,0.0611134581267833,231.32723526655963
