,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_11,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0,inflow_from_8,inflow_from_6,inflow_from_7,model_id,AC,ANE,EMD,acc,f1,l2
0,location_7,7.632711150656051,0.0036152012180536,4.957606749501862,4.957606749501862,8.428209184785374e-06,1.4793788194656372,0.155935055419842,22.16682149028244,22.166819963272957,22.60245469434829,55.24560313037623,127.59449499726564,130.16305213439142,0.0001903873131148,0.0001853200038688,0.0228498420045251,0.2056680506775338,7.892995927250013e-05,0.2041345685720443,1.7563035488128662,22,3.0047398781361523e-06,-2.983136350842987e-06,2.969516806414821e-07,1237.6686268197718,5.211017920460122,3.0698367012071883,0.4211795457987323,6.0,0.0584457637962921,136032695.24350712,1.1498776079218196e-05,0.9831900949476484,2.739818578018776,0.0187455954897815,0.0004126372609476,0.0102893340181475,0.4577171864898653,0.0003606218007662,-0.0003580290079642,0.0042773617695646,1133439.1322140691,0.0013800560239222,0.0187455954897815,0.0495237517397224,0.6811829209327698,1.699274609912038e-09,4.957606315612793,2.925143003463745,0.6778588891029358,1.0,0.0,0.1979329599300475,0.1113674090640652,0.8381105172559383,0.0505220736799964,0.9999999989826396,0.0,3.061040462881156e-06,0.0004234784327599,0.0763886941658252,0.0599155624160573,0.0,0.4158320629825228,0.0,345695.8253449623,2.720103455024992,0.0,0.4576407680160733,0.999999999999,0.0,0.0031141812615098,0.4308301755388874,0.0763886942434636,0.0599155624160573,0.0,0.4158320629825227,0.0,339.7968263147759,2.720103455024992,0.0,0.4576407680180442,17,38,0.2794117647058823,1.0,0.5980330758207822,269.20986304171174,0.0008650145982635,0.8564086958134368,28,57,0.1507936507936507,1.0,0.1316419267718385,369.3159937385503,0.0004023094041125,0.8018985202010751,0.170846391992744,0.0934018833874045,0.2130523846706994,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001054603999364,0.000982935889624,0.0001511543814558,7.892995927250013e-05,122,,,,0,0.8820235133171082,-0.6367361545562744,1.5515415668487549,0.875,0.449999988079071,322.5422227635375
#1,location_21,7.62834435606902,0.0124689973890781,5.413457528497466,5.413457528497466,3.6344230466056615e-05,1.3375579118728638,0.0994229935919461,20.351311229258,20.35131018697222,21.246711512152444,47.326338458880194,73.62553776897667,396.956292358914,0.000369051398553,0.0003436036553479,0.0194684155582917,0.135889377019957,0.0005887925508432,0.2070430070161819,1.780132293701172,22,8.327671169221522e-06,-4.561053277758515e-06,3.6076233119535553e-06,1295.198447924968,5.416061749842357,2.803600811495601,0.3439910114205733,20.1875,0.0138940232000505,48900970.50586181,2.463718689855648e-05,0.6713018234588839,2.389318659896566,0.0136806849796072,0.0016942964682934,0.0075923944666554,0.518530597007703,0.0004393066516771,-0.000240607606013,0.0100394428080867,926986.2001108368,0.0012996766850899,0.0136806849796072,0.0893786145083661,0.4811405539512634,2.3987203334741025e-08,5.413456916809082,2.855928897857666,0.6824442148208618,1.0,0.0,0.1444372926540527,0.220578063775873,0.7323900683135766,0.0470318679105503,0.9999999996381692,0.0,8.4777724189482e-06,0.001792380360871,0.0879945592586891,0.0147798687531591,0.0,0.3285834344614881,0.0,138263.7976262049,2.313865450620539,0.0,0.5274183985903645,0.999999999999,0.0,0.003067520309912,0.6485386594915841,0.0879945592904403,0.0147798687531591,0.0,0.3285834344614883,0.0,382.12265661840286,2.313865450620539,0.0,0.5274183985911709,25,55,0.1833333333333333,1.0,0.4406742390647677,320.39476290066744,0.000449072912886,1.3020521362023048,18,34,0.2222222222222222,1.0,0.187506620810348,414.2556757960773,0.0004807038288585,0.4086774866932524,0.1446351885522215,0.0779551210952199,0.3539103407004718,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0005988775519654,0.0027637218590825,0.0006620186613872,0.0005887925508432,131,,,,0,0.2487837523221969,-3.7035374641418457,0.6746662855148315,0.2857142857142857,0.2000000029802322,322.5422227635375
2,location_24,7.540374249154695,0.0030443994328379,3.515314739668713,3.515314739668713,2.398180640739156e-06,1.623874306678772,0.3536395403960751,64.03652935435771,64.03650537743391,65.24631936402635,117.8830384884924,212.42911469535105,492.20103936929456,0.0002363397043456,0.0002291267554657,0.0474229141420402,0.2343827894432208,7.052217551972717e-05,0.1913235485553741,1.7829632759094238,22,1.459856805487012e-06,-2.031549033874137e-06,2.1226294487436e-07,1622.3807285334262,6.77575072930684,3.312429558037681,0.5058170298370215,24.666666666666668,0.0450204149689547,353888898.8958773,8.929637724988405e-06,1.747367545020231,3.1802283979158905,0.0139733099551918,0.0002775120769087,0.0077249022164276,0.4672498175821423,0.000292928881146,-0.0004076422971788,0.0085462982997572,1763660.5761339518,0.0017917844962452,0.0139733099551918,0.0556844348232513,0.5853866338729858,1.6179224626711175e-09,3.5153145790100098,2.999651908874512,0.6127483248710632,1.0,0.0,0.2409943355021721,0.1155593779947822,0.8447723168036687,0.039668305201549,0.999999998926598,0.0,1.4617151168595003e-06,0.0002817132701636,0.0612912035325341,0.0451550844498063,0.0,0.5056851763484659,0.0,546072.2740626566,3.1704073983111978,0.0,0.4671744928507542,0.999999999999,0.0,0.0015690081638733,0.3023916327197001,0.0612912035982629,0.0451550844498063,0.0,0.505685176348466,0.0,508.7303662746455,3.1704073983111978,0.0,0.4671744928523598,30,67,0.1540229885057471,1.0,0.4269918788016031,431.9184885863838,0.0003018885904253,0.8409420820175648,29,64,0.1576354679802955,1.0,0.1745910337492872,358.01266111241523,0.0003929287198035,0.9989343765090934,0.0800617707366709,0.041700180514344,0.095204857086696,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,8.988317131297663e-05,0.0009316172800026,0.0001308785431319,7.052217551972717e-05,158,,,,0,0.692689061164856,-1.4910889863967896,1.8530603647232056,0.7777777777777778,0.5591727495193481,322.5422227635375
3,location_29,7.668968227294692,0.0069721136242151,4.893380090974725,4.893380090974725,3.93487016481231e-06,1.219598650932312,0.1404886388643204,42.19768844528184,42.19767964008725,43.26609844124493,94.59076334115048,188.6832291940841,393.1537437410521,0.0002848709460514,0.0002766452835438,0.0253004046196918,0.1830251151410016,0.0002609358343761,0.2058764100074768,1.76978862285614,22,3.855602166729098e-06,-5.08003997232118e-06,1.1176271757033392e-06,1208.8975035278893,5.312941753993532,2.834229804167249,0.3386439177898517,12.1875,0.0250070737006716,88293527.29161204,1.5395814795525742e-05,0.891364938665423,2.3782633690506865,0.0157199578640304,0.000895090699059,0.008640788016553,0.5335970798284566,0.0003424311994662,-0.0004511783438991,0.0088157482246227,994140.470633666,0.0013673628996843,0.0157199578640304,0.079496527300511,0.709156334400177,6.996500268030559e-09,4.893380641937256,2.869354486465454,0.6881154179573059,1.0,0.0,0.1432803070052306,0.140413688769427,0.7222388189328053,0.112090026016427,0.9999999993661414,0.0,3.8632433781653605e-06,0.0009174585169935,0.0581485526649455,0.0257416463303087,0.0,0.3320803936986062,0.0,247484.6465615217,2.3537478672802163,0.0,0.530766215053847,0.999999999999,0.0,0.0024487500489384,0.5815389734658525,0.0581485527017453,0.0257416463303087,0.0,0.3320803936986063,0.0,390.4414100740377,2.3537478672802163,0.0,0.5307662150553202,25,60,0.2,1.0,0.6430844319143296,279.8477708511388,0.0004816805527985,1.353034573750178,18,31,0.2026143790849673,1.0,0.2511320120182999,373.88038424892005,0.0005227031868312,0.451302801293624,0.0978313124780993,0.0514314598488904,0.2167753273360448,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002730014675762,0.0015776387881487,0.0003287432773504,0.0002609358343761,119,0.0252574662813405,,,0,0.4042130708694458,-3.032593011856079,1.2198209762573242,0.2608695652173913,0.2555555701255798,322.5422227635375
4,location_49,7.604271371145695,0.0030571105889976,5.508701518618742,5.508701518618742,3.693039820973354e-05,1.4516005516052246,0.1562004159441906,35.963870468305885,35.963860416339344,36.947521388827695,77.0731895453088,113.31435498899998,455.50591146219006,0.0001657570742077,0.0001597300153344,0.0246913150952831,0.1871587346871422,0.0001616819499759,0.2435474097728729,1.7648307085037231,22,2.338557843278636e-06,-1.0124071078496726e-06,3.284158870684282e-07,1287.344465860518,5.398448888081466,2.929969939331655,0.3808552294709126,5.359999999999999,0.0156333379905995,159530349.96158403,8.572167838125446e-06,0.9102322552023976,2.606137746414266,0.0121564482029598,0.0004825955719549,0.0069998401051752,0.5119548246615642,0.0003483519499716,-0.0001508083135153,0.0072872624259348,1070959.8672310223,0.0012769114644078,0.0121564482029598,0.0718875133698228,0.5786982178688049,2.267195320371229e-09,5.508701324462891,2.9111809730529785,0.691042959690094,1.0,0.0,0.1802986230945647,0.1451759271889965,0.7995952688312098,0.0552288039797937,0.9999999989045808,0.0,2.3434258298474826e-06,0.0004906143455688,0.0741904146478984,0.0159622741301441,0.0,0.3710000654223637,0.0,387359.0329587808,2.604737077348052,0.0,0.510533909404615,0.999999999999,0.0,0.0025670334725472,0.5374283372428981,0.0741904147290938,0.0159622741301441,0.0,0.3710000654223638,0.0,353.6171900242534,2.604737077348052,0.0,0.5105339094069626,20,49,0.2578947368421053,1.0,0.5075774447902316,332.19561199590714,0.0005465380911955,1.046472934159269,23,37,0.1462450592885375,1.0,0.1183333350954683,448.0468093421115,0.0003308603396388,0.5390489085571346,0.2072390786417983,0.1155977220235218,0.3844532014664727,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001649639598326,0.0009128925739787,0.0001900097122415,0.0001616819499759,126,,,,0,0.7659409642219543,-1.2966710329055786,1.806889295578003,0.8445378151260504,0.4772243499755859,322.5422227635375
5,location_56,7.61186987052843,0.0056395125575363,5.499544900107706,5.499544900107706,3.29983727169747e-05,1.598127841949463,0.1461774268701858,20.74449274956601,20.74449210824421,21.288859015911918,36.92274278618896,55.93984536312508,429.1035442893366,0.0003628467026253,0.0003492693076516,0.0259119932424387,0.2129732438165441,0.0001277145638596,0.2259504199028015,1.7669442892074585,22,4.217979082660557e-06,-5.08938325018521e-06,9.420023760682248e-07,1270.0448367861163,5.693045980254537,3.1695861258137805,0.4243675757922905,4.25,0.0647932803711581,100206439.58583944,2.0463095187347344e-05,0.9610942319075988,2.764796266974882,0.0176275510204081,0.0007614026556493,0.0096922578555231,0.448691901060189,0.0003012190676354,-0.0003634487451009,0.0048040560209589,1403193.5977878298,0.0014613335778965,0.0176275510204081,0.0543741420072899,0.6358250379562378,4.437288314562693e-09,5.499544620513916,2.829629898071289,0.723067045211792,1.0,0.0,0.2150372344640548,0.1017179036740495,0.8519353648322779,0.0463467314936725,0.9999999994342808,0.0,4.230723173610248e-06,0.0007832662318783,0.0540434945631888,0.0654475696654912,0.0,0.418942903635169,0.0,199999.04642277048,2.74033853008346,0.0,0.4480934572337425,0.999999999999,0.0,0.0023934017161453,0.4431088177241065,0.0540434945937082,0.0654475696654912,0.0,0.4189429036351689,0.0,353.53053968870785,2.74033853008346,0.0,0.4480934572347467,22,47,0.2034632034632034,1.0,0.5217873543275486,264.6365422809854,0.0006177997537074,0.945196914763231,28,53,0.1402116402116402,1.0,0.1467195652061169,386.3536880033524,0.000343114174549,0.7483059385034259,0.1532485733666715,0.0829827832574345,0.2047940093501876,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001698551059234,0.0017676611896604,0.0002511121274437,0.0001277145638596,129,,,,0,0.66497802734375,-1.6144155263900757,1.7922054529190063,0.7857142857142857,0.6151345372200012,322.5422227635375
6,location_58,7.517864198298977,0.0048688063398003,5.405038312692903,5.405038312692903,1.0608521733956875e-05,1.3853193521499634,0.095637553120102,32.173433122803885,32.17341431811382,33.173161962073706,47.99637656002691,84.41337183476446,95.27559265802232,0.0002516270290708,0.0002385165266343,0.0187489713010958,0.1868468494485586,0.0001575102796778,0.1896379441022873,1.7973800897598269,22,4.271236995747347e-06,-8.576785582431262e-07,1.3309881594243652e-06,862.0162408571131,5.675435569777847,2.831707405691009,0.3621173146508059,23.1875,0.0450873592112122,81498724.22586259,2.050495219320022e-05,0.8553031414230097,2.260016575149153,0.0151188242651657,0.0008729294700686,0.0095809548521017,0.5592004742625319,0.0003182537974587,-6.390641747474279e-05,0.0073894824696261,1093782.307554969,0.0015278428120371,0.0151188242651657,0.0650427760795031,0.8309135437011719,3.534726289444734e-09,5.405038356781006,2.783530712127685,0.7073575258255005,1.0,0.0,0.2107720967326174,0.2651625570300024,0.5309743770028025,0.2038630659671951,0.999999999450617,0.0,4.2712873215490494e-06,0.0009197262237713,0.0891262811373937,0.0457048354645861,0.0,0.3586954989725054,0.0,197005.0039036124,2.223401501601361,0.0,0.5672205631420935,0.999999999999,0.0,0.0023465724636614,0.5052819134692175,0.089126281186269,0.0457048354645861,0.0,0.3586954989725054,0.0,358.5932198924029,2.223401501601361,0.0,0.567220563143748,23,45,0.1778656126482213,1.0,0.4472108174079426,301.2970383610769,0.0004063209193605,1.3172361508519037,16,30,0.25,1.0,0.1948466876520259,381.2508243802016,0.0006181972666124,0.4428044100601759,0.1199797195439601,0.0638183113188845,0.2709542109746722,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002261277695652,0.0018202238716185,0.0003290040767751,0.0001575102796778,98,,,,0,0.841793417930603,-0.8050669431686401,1.92280912399292,0.8697183098591549,0.4743886291980743,322.5422227635375
7,location_59,7.642501705677571,0.0020663363393396,4.481729061182086,4.481729061182086,8.235615268858965e-06,1.693777084350586,0.1710268245670048,41.04013965531389,41.04013863453439,41.83715589433261,74.9395295322085,104.02706114962754,-4728.907932390704,9.748715312785096e-05,9.331682569158062e-05,0.0297890215147639,0.1883994797218317,7.28620943846181e-05,0.2055255621671676,1.7463297843933103,22,1.3858415694637288e-06,-9.41882877906553e-07,8.131613611623e-08,1482.8828642750336,5.62256613058265,3.073699757504901,0.4461830292519237,17.555555555555557,0.0243838294931018,310311524.0327019,4.653865637584952e-06,0.9253231225756344,2.750618952299776,0.01754548257786,0.0002322567692928,0.008910800885824,0.4762048335129942,0.0004234716165411,-0.0002878111618955,0.0075927339232358,1015516.9687428512,0.0014220817412713,0.01754548257786,0.070970703036649,0.5886486768722534,4.3342973654603156e-10,4.481729507446289,2.9053637981414795,0.6673086285591125,1.0,0.0,0.1881151535868621,0.1283989328110532,0.8144830591973352,0.0571180079916115,0.9999999979649294,0.0,1.4248147364316749e-06,0.0002356928435993,0.0704738847626358,0.0251773621593265,0.0,0.4406584234355985,0.0,797636.1781319558,2.7449198274024496,0.0,0.4726744304910826,0.999999999999,0.0,0.0028995985510978,0.4796515717660182,0.0704738849059846,0.0251773621593265,0.0,0.4406584234355984,0.0,391.94521616902784,2.7449198274024496,0.0,0.4726744304947244,22,62,0.2683982683982684,1.0,0.6041486121552238,267.4873859261252,0.0007427786196727,1.119565812908816,24,47,0.1702898550724637,1.0,0.1168258479058554,390.01993541159305,0.00041441970012,0.6981758570318864,0.0911291650296487,0.0477398278396684,0.1305246580955416,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,7.453181751770899e-05,0.0004913834272883,8.831544982967898e-05,7.28620943846181e-05,139,,,,0,0.907185196876526,-0.5685675144195557,1.8792016506195068,0.9088050314465408,0.388454407453537,322.5422227635375
8,location_62,7.663748433423901,0.0050759809091687,7.15654385126381,7.15654385126381,8.726009900783538e-05,1.3515052795410156,0.094433608763746,17.958986730204906,17.9589833773536,18.354154875438507,38.95168013573688,65.5397396009433,89.1107418120709,0.0002954915783206,0.000285267048369,0.018941434586934,0.2069397446176289,0.0002126933977706,0.1984456330537796,1.7482542991638184,22,9.55925958970053e-06,-1.114214952377163e-06,1.2737074422902306e-06,1053.221443728405,4.223706627182914,2.750710319993583,0.2898042757769753,6.6875,0.0378938507418276,38812490.07310194,1.6876075938134896e-05,0.5941301045021675,2.183887749093282,0.0164247517188693,0.0009592956508366,0.0091386554621848,0.5315474845648316,0.0006127622343374,-7.142277015428867e-05,0.0052336558896949,605485.5297742483,0.0010817806484929,0.0164247517188693,0.0614922260945797,0.7409308552742004,3.921248659111143e-09,7.156543731689453,2.79214859008789,0.7448068857192993,1.0,0.0,0.1677814199980489,0.1553914999112962,0.73814047063423,0.0722725451032523,0.9999999993978766,0.0,9.71386774308988e-06,0.0009899433279396,0.0799938314705757,0.0383406604901156,0.0,0.2822990840320392,0.0,147131.4776353344,2.1528771214676654,0.0,0.5344124832049991,0.999999999999,0.0,0.0058489461166092,0.5960679449990054,0.0799938315186618,0.0383406604901156,0.0,0.2822990840320397,0.0,244.35439925433352,2.1528771214676654,0.0,0.5344124832066723,17,37,0.2720588235294117,1.0,0.6248641860987229,194.54951961977957,0.0010689885013955,1.0361595295262545,18,31,0.2026143790849673,1.0,0.128154008441908,335.0542414150259,0.0005119658022998,0.4690267296587583,0.2474068704074935,0.1411661761249845,0.5274899163795954,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002430659515084,0.0016607893630862,0.0003210424038115,0.0002126933977706,100,,0.0341954843512214,,0,0.8909373879432678,-0.614162266254425,1.75765061378479,0.8636363636363636,0.3061224520206451,322.5422227635375
9,location_69,7.6110205752291,0.0028612718451768,4.505556177427582,4.505556177427582,7.74338707287825e-06,1.401304841041565,0.1505059406755253,37.81489590755721,37.814895468295525,38.64053022247973,78.46849448199124,120.7874105323538,-166.15008295160456,0.000116240843802,0.0001119800759923,0.0276661925960416,0.1503236686399832,0.0001059207352227,0.1984431445598602,1.7605725526809692,22,1.5178827849801695e-06,-1.2142516068015862e-06,1.995130432843616e-07,1487.7396783102192,5.415936359486914,2.985894325051236,0.3922044722473664,11.6875,0.0202318382923915,293538546.1811412,6.005299479004113e-06,1.018090972568654,2.545223333574013,0.0144105514546244,0.0003770354633615,0.0078262786596119,0.5199192075543952,0.0003612679754065,-0.0002890013979385,0.0113019596646994,1233314.6988992866,0.0014293082486325,0.0144105514546244,0.0897373894038467,0.6494589447975159,1.530032878171994e-09,4.505556106567383,2.901965618133545,0.6592338681221008,1.0,0.0,0.2015892150740751,0.1513160646735344,0.7984228927367912,0.0502610425896743,0.9999999986076766,0.0,1.608548556515585e-06,0.0003823092158925,0.065460941275756,0.0207162904503415,0.0,0.3913596472060763,0.0,668332.417547823,2.548436090950072,0.0,0.5181469641531752,0.999999999999,0.0,0.0022396198158364,0.5322980722102719,0.0654609413668333,0.0207162904503415,0.0,0.3913596472060762,0.0,480.0123386645415,2.548436090950072,0.0,0.5181469641558453,24,58,0.2101449275362318,1.0,0.5153621111693284,370.5096146880415,0.0003922272693531,1.224220744213526,25,50,0.1666666666666666,1.0,0.1296542830897966,458.749182650379,0.0003638571485759,0.5783365894069147,0.0987213331897799,0.0519236527044217,0.1706987505165786,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0001124338814406,0.0007182239787653,0.0001372990373056,0.0001059207352227,143,,,,0,0.77065110206604,-1.1682888269424438,1.8373619318008425,0.7508196721311475,0.5211718082427979,322.5422227635375
