,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_10,inflow_from_7,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,inflow_from_11,inflow_from_6,model_id,AC,ANE,EMD,acc,f1,l2
0,location_7,7.640006902260336,-0.0007088811835274,1.504095649162354,7.189887187101348,2.105497151205782e-05,1.1707161664962769,0.1012204241531341,12.189485186083266,12.189435843362237,13.420375223272965,26.195146875300008,62.825970493088136,-121.14341184530848,0.0001423888099054,-0.0001119078058025,0.0156184038097204,0.4917449198532468,4.951503433403559e-05,0.2032738178968429,1.7735437154769895,22,7.796579782965481e-06,-4.624639736207624e-07,3.039322000301064e-07,1073.770205079717,4.050771092467291,2.9486316568915747,0.2151376486384349,5.25,0.1017695770651675,76100248.04022896,1.2703138642997304e-05,0.6149034800896509,2.404590308544345,0.0087324166271534,0.0004492419469666,0.0057110262946636,0.3621305836661209,0.0008551900847233,-5.0726675936348846e-05,0.0036567373643718,693789.2183170561,0.0013933799728094,0.0087324166271534,0.0492763837408944,,2.2815958844457637e-10,19.318822860717773,2.8866124153137207,0.7076737284660339,0.5845618215093652,0.4154381784906348,0.1130856302806947,0.4511376521166675,0.0885160597992787,0.140118788089538,0.3202274999945157,0.5404794376759046,0.4595205612115386,7.729671777091767e-06,0.0004504748031807,0.2316199824747595,0.0247888393685145,0.0375056538504211,0.2970007615047849,0.4730055454579685,262601.1555018777,1.892779597766309,2.592541649248961,0.3639026989896574,0.5404794382766567,0.4595205617223035,0.0082701535867845,0.4819733510965684,0.2316199827322091,0.0247888393685145,0.0375056538504211,0.2970007615047849,0.4730055454579684,245.43930400012565,1.8927795977663089,2.592541649248961,0.3639026989916599,16,19,0.1583333333333333,1.0,0.2263017003787446,232.70770927115228,0.0007232093143019,0.5720549050805545,12,12,0.1818181818181818,0.8333333333333334,-1.465585131831413e-18,364.5215764267601,0.0006775775000884,0.1469577408736322,0.1794219177564641,0.1997050480954656,1.220908246750661,15,18,0.1714285714285714,1.0,0.1484887258246581,325.4505777045653,0.0005549387122692,0.4065789158288044,11,14,0.2545454545454545,1.0,0.155570744013835,290.4629063952114,0.0009789445506897,0.263542872728745,0.1260108649876678,0.1582787295892654,0.4781418054790887,0.1748700721937238,,,0,0.8820235133171082,-0.6367361545562744,1.5515415668487549,0.875,0.449999988079071,322.5422227635375
1,location_21,7.655964172535251,0.0081448666751384,1.612596588790176,6.119882365836448,1.105639967136085e-05,0.939344048500061,0.0522017192627202,10.877403913165884,10.877375004617951,11.564335553370064,25.627810216096,40.66513841120395,170.1438428360343,0.0001882287393186,4.6375843680834805e-05,0.0101263872382413,0.0331275510048038,0.0004784903721883,0.2071637511253357,1.7658588886260986,22,1.129973526654575e-05,-7.401203863619249e-06,4.503753839898613e-06,1322.9571684025952,4.105384604266177,2.802373672137762,0.2026808910707009,15.1875,0.0373574194083446,48683454.36123961,2.9709715118136077e-05,0.5353674348303795,2.2649095932845524,0.0083157152924594,0.0018094455197382,0.0049511508527901,0.473984622289049,0.0006079098137391,-0.0003981742915975,0.0130351610647507,904920.6618398196,0.0015983407427098,0.0083157152924594,0.0973456139352047,0.4561415612697601,1.4437130602118486e-08,5.740528583526611,2.8334803581237797,0.6974268555641174,0.634630698328607,0.365369301671393,0.1845228643642181,,,,0.3955150866966092,0.6413120063874297,0.3586879932943126,1.6410242545179416e-05,0.0019298655685552,0.1620355841034653,0.0135490511450059,0.0318185268332655,0.3088270623135037,0.3725353449354745,98016.34223849492,2.040387457044554,2.096485422635197,0.4861848151343098,0.641312006590887,0.3586879934081069,0.0051910908598036,0.6104789424041728,0.1620355841548713,0.0135490511450059,0.0318185268332655,0.3088270623135036,0.3725353449354744,309.8523976877288,2.0403874570445546,2.0964854226351965,0.486184815134942,22,35,0.1515151515151515,1.0,0.3349229880482355,353.83007806048494,0.0003881241307353,0.8753094186562126,13,17,0.2179487179487179,1.0,0.2451416719971836,498.8662174522057,0.0004393338121086,0.1609676023201814,0.1223186125611306,0.1055748951751671,0.7598958473508601,19,29,0.1695906432748538,1.0,0.2918247455643823,350.18194445369,0.0004571905854892,0.4646073531154823,7,4,0.1904761904761904,0.4285714285714285,0.0,253.20799429243536,0.0018887255673447,0.0484447437974771,0.1030168284941925,0.16721640103193,2.126481025988155,0.085658003803313,0.6044849133033907,,0,0.2487837523221969,-3.7035374641418457,0.6746662855148315,0.2857142857142857,0.2000000029802322,322.5422227635375
2,location_24,7.607811533288256,-0.0012796745868399,-1.1752841316859244,5.864336009750375,1.296690288654645e-05,1.3130828142166138,0.1533544493922869,26.713908861724928,26.71364078327672,29.279797914534928,38.10716618192848,84.26697924471593,577.5345299990333,0.0001275753875091,-6.810105507781827e-05,0.0207321104605212,0.4508166607355993,1.502204941061791e-05,0.1971693634986877,1.7835959196090698,22,3.3598751096502427e-06,-8.992209528964552e-07,1.320004066087409e-07,1216.0798913891915,4.850663142190671,3.160048610049424,0.3753788307742881,12.666666666666666,0.1078923550998382,127068663.11754204,1.0352595076040476e-05,0.8534919029448664,2.858872156205823,0.012979094076655,0.0002513782011754,0.0074979700492327,0.3096810746117771,0.0005460084622323,-0.0001461311040095,0.0034860028900003,781919.8218596159,0.0016823852965857,0.012979094076655,0.0408511088427042,,3.0353525248827395e-10,7.946084022521973,2.9391603469848637,0.6761564612388611,0.3811143332622509,0.618885666737749,0.2098840664655198,0.193799785245153,0.0431572307158033,0.0799683928142579,0.2372110680996344,0.4244274933889224,0.5755725052326366,4.644237818660502e-06,0.0002658421231126,0.2267295222671968,0.0384569376076437,0.0439435472224386,0.4804278263034193,0.4231344012641875,382630.30735413166,2.72463303675036,2.544614934679933,0.3252349036179578,0.4244274939735371,0.5755725060254411,0.0062646742893123,0.3585979828570075,0.2267295225794984,0.0384569376076437,0.0439435472224386,0.4804278263034193,0.4231344012641875,283.6581858711133,2.72463303675036,2.544614934679933,0.3252349036199402,17,22,0.1617647058823529,1.0,0.3206045136233647,259.64597024106064,0.0006153973992432,0.4087951157107192,11,14,0.2545454545454545,1.0,0.2274808086587537,277.6872651905276,0.0009664230763468,0.2560134258334373,0.0936420647173461,0.1234649480721223,0.3657701326112083,17,23,0.1691176470588235,1.0,0.3331517254052308,278.6643612383209,0.0006238335211645,0.4907667860731152,17,23,0.1691176470588235,1.0,0.2003276242270029,311.99731366321595,0.0005529971400695,0.4047851712698259,0.126177685839105,0.1234942009181027,0.3117151881905185,-0.1480104541989441,0.4458635231251512,,0,0.692689061164856,-1.4910889863967896,1.8530603647232056,0.7777777777777778,0.5591727495193481,322.5422227635375
3,location_29,7.643543840151204,0.0026480704545974,1.3944514495416276,6.395646312645935,1.503330895502586e-05,1.0821983814239502,0.0382768299809561,8.416435035500328,8.416392330345024,9.463133101664145,14.520617800479766,23.79196941616441,-136.5046637787258,8.157990104251667e-05,-2.0582527490375924e-05,0.007064668227417,-0.0537572790785261,0.0001506336557213,0.2047713696956634,1.748341679573059,22,3.453821734283703e-06,-7.57328446989861e-06,9.127864229175244e-07,1174.224854854872,4.149634958778394,2.8255935817642235,0.17093979624864,12.1875,0.0548273740898431,66632631.2056278,1.7131812242821026e-05,0.5413698247693222,2.2158285581229515,0.00798774482985,0.0007851082442654,0.0050323508267433,0.4293162668874756,0.00029909416636,-0.0006558315417198,0.0068451854932921,769447.3991982404,0.0014835812394003,0.00798774482985,0.067988828995687,1.081740140914917,2.381734143241942e-09,6.110189437866211,2.8269567489624023,0.7204391360282898,0.594107706073387,0.4058922939266129,0.1401669580096406,1.0,,,,0.6225444034968249,0.3774555957920258,1.0323053558844945e-05,0.0007616567110263,0.1848571258436299,0.0268234480512886,0.0295775256724492,0.2047935286953715,0.3979421769333267,189788.80315218223,1.7654738891460624,2.552920582051845,0.4254958726596475,0.6225444039388782,0.3774555960600478,0.0068358751453423,0.5043653169587083,0.1848571259748923,0.0268234480512886,0.0295775256724492,0.2047935286953714,0.3979421769333265,286.60558277515804,1.7654738891460626,2.552920582051845,0.4254958726610592,24,39,0.1413043478260869,1.0,0.4672838477569228,265.54371614489,0.0004485806034956,0.9937878315847934,5,4,0.4,1.0,0.4252377330527739,376.6421303472616,0.0013275201038688,0.0395059754950534,0.0974617664792472,0.0861917188455528,2.467013287431682,21,27,0.1285714285714285,1.0,0.1340693514629578,358.22232876396987,0.0004306229023688,0.4567998941091724,9,8,0.2222222222222222,0.7777777777777778,1.1102230246251563e-16,365.17253277467705,0.0009296783745286,0.0947158737326356,0.1101334460599252,0.1664529236126047,1.1627770691406,-0.0610403266322284,,,0,0.4042130708694458,-3.032593011856079,1.2198209762573242,0.2608695652173913,0.2555555701255798,322.5422227635375
4,location_49,7.590195679837629,-0.001266959356144,0.2936930150871163,5.962331601465731,2.189754286519019e-05,1.3571112155914309,0.1557915094455983,27.696671978774432,27.69648107183077,29.59324022454581,60.11043668306524,134.27198350191628,589.328809058489,0.0001765189310241,-0.0001374977958228,0.02240184544844,0.4996471895012352,5.137977132108063e-05,0.2281126677989959,1.7966244220733645,22,4.90597853612431e-06,-3.9391582100030994e-06,2.86238173122254e-07,1202.0279191746122,4.228956737359965,3.0486897521133907,0.3140814152297396,20.222222222222225,0.1303780591172166,91453670.24443732,1.2598930639220138e-05,0.788526293521722,2.641476747346257,0.014571607254534,0.0003945011025927,0.0081575477916941,0.3695841747332488,0.0006226118296022,-0.0004999138114079,0.0046101069569445,720625.151020046,0.0015989151230669,0.014571607254534,0.0500656600553031,,5.78726344624414e-10,-7.075465202331543,2.926529884338379,0.6986534595489502,0.3966914080396836,0.6033085919603163,0.2057340263650731,0.227373425142612,,0.0493659079332376,0.1820529944305766,0.4792456688348521,0.5207543301410585,8.596071264029639e-06,0.0004116446482804,0.2757734323426866,0.0274921771642993,0.0711767683623772,0.3166530357073929,0.4814507530995547,261633.7758197578,1.887067272677278,2.8017678378566764,0.3713760412842626,0.4792456693251632,0.5207543306738367,0.0088031451084286,0.4215609038845778,0.2757734326248274,0.0274921771642993,0.0711767683623772,0.3166530357073927,0.4814507530995546,255.47943994135048,1.887067272677278,2.8017678378566764,0.3713760412859741,19,27,0.1578947368421052,1.0,0.4108536899473343,217.17338301385996,0.0006554398137455,0.5929072873898686,9,6,0.1666666666666666,0.4444444444444444,-8.818209528065402e-17,274.23199226144794,0.0015601163024221,0.0921118967968512,0.1367360772322826,0.1663951344785642,1.4844562101880074,19,23,0.1345029239766081,0.8421052631578947,-5.767355263650599e-23,354.99240788283066,0.0004416892059369,0.3731305725590849,14,23,0.2527472527472527,1.0,0.1495380409582698,278.92488903621006,0.000861661119933,0.4491191371654718,0.109629475812079,0.1176434429629924,0.2938099525326871,0.1100259394434195,0.5412076724935736,,0,0.7659409642219543,-1.2966710329055786,1.806889295578003,0.8445378151260504,0.4772243499755859,322.5422227635375
5,location_56,7.622033616727621,0.0013154378393664,0.9244907766584056,7.678459415494545,5.098552992421901e-05,1.235102295875549,0.0614211952914969,8.475448406771367,8.47542692874516,9.231181121773654,14.39746561434233,22.921239186522893,238.3493278877506,0.0001524167369382,5.204149701398819e-05,0.0108929769830721,0.1017764378082838,0.0001245479070348,0.2321668416261673,1.7458467483520508,22,8.147182402864292e-06,-5.906751346869677e-06,7.191766222750424e-07,1111.0807847046278,4.593171124801029,2.9450534305756437,0.2474599750075492,6.5,0.0600113595458172,39121937.12310302,1.982786586975433e-05,0.5767992302041923,2.354184896496704,0.0108076563958916,0.0007149027649515,0.0064285714285714,0.3585485418957473,0.0005822666465578,-0.0004221464629753,0.0036733684427496,547401.3708666627,0.0014170671951779,0.0108076563958916,0.0510930042240088,0.8358079195022583,6.075371317137979e-10,4.556336402893066,2.803133010864258,0.7442037463188171,0.5864601092626168,0.4135398907373832,0.1426216028839035,,,0.1193797571375213,0.1763918577808093,0.6064552899224539,0.3935447093348467,1.1375765967279724e-05,0.0006990164945695,0.1277541473226344,0.0260337136861655,0.0331304946000203,0.3891615032912036,0.3634975600827501,155034.27935678072,2.2798032297436945,2.2061289456645907,0.3666797242199828,0.6064552903722316,0.3935447096267191,0.0080516186268515,0.4947547483255947,0.1277541474173833,0.0260337136861655,0.0331304946000203,0.3891615032912036,0.3634975600827499,219.0408861377288,2.2798032297436945,2.2061289456645907,0.3666797242213425,17,27,0.1985294117647058,1.0,0.3986311341382769,224.94674168740093,0.0007453740770349,0.732203257266085,13,12,0.1538461538461538,0.8461538461538461,-7.081841412908659e-17,322.0346912201174,0.0006198776136738,0.2014742669541987,0.1346123344813157,0.1260073128887732,0.6681366137538413,20,29,0.1526315789473684,1.0,0.2989848264083649,283.26387779536583,0.0006163160616486,0.5187627963564968,6,6,0.4,1.0,0.2465530647894077,304.6071361748947,0.0014699903552326,0.0804736148572532,0.0989306978016672,0.1417005993610658,1.2293557084164028,0.1527839915875256,0.7042283850816693,,0,0.66497802734375,-1.6144155263900757,1.7922054529190063,0.7857142857142857,0.6151345372200012,322.5422227635375
6,location_58,7.554685815385681,0.0005447312141768,1.2752034156623109,6.815493587791737,1.4620540241594426e-05,1.3512052297592163,0.0634926572220891,20.269747161138543,20.26964296090501,21.5894878329657,26.135053117487725,46.03105574691817,-28.962928814818213,0.000159316506739,-5.871128442436202e-05,0.0117861473696217,-0.3969704588737096,0.0001220455451402,0.198737546801567,1.7483913898468018,22,6.531582289231477e-06,-9.105940842275127e-06,1.3506630266272636e-06,974.1966639408148,4.416184011371182,2.808846208101471,0.2633827155906221,14.75,0.0909823302831975,30374561.76145487,2.5461478120642547e-05,0.5279889345281478,2.108716693378316,0.0102217023172905,0.0008995932965961,0.0063563887093298,0.4498374459250609,0.0004832006812212,-0.0006736494050592,0.0073920563740949,410582.9305920045,0.0018836176113674,0.0102217023172905,0.06655111578125,2.0103635787963867,1.798127202690125e-09,4.5739850997924805,2.7858269214630127,0.7176977396011353,0.5735695326038914,0.4264304673961085,0.1548481337109209,0.2576257017316551,,,0.3047294104763412,0.6393974228929742,0.3606025765818861,1.4512836452929436e-05,0.0010092173819721,0.1890300333664351,0.0425117071814076,0.0520888397065584,0.3878558480318391,0.3415452645060981,112953.13360063972,2.0492160841012503,1.620380638823692,0.4642018589949723,0.6393974232281077,0.3606025767708923,0.0076212664111711,0.5299801013909808,0.1890300334655132,0.0425117071814076,0.0520888397065584,0.3878558480318392,0.341545264506098,215.09159585198933,2.0492160841012503,1.620380638823692,0.4642018589963089,16,30,0.25,1.0,0.3409749954792939,174.79902518652105,0.0012146822863952,0.9732649880068917,10,12,0.2666666666666666,1.0,0.156858916735125,450.33761842224624,0.0006693642183264,0.1358153982808418,0.0848572300848804,0.0710734203539806,0.6247983009217477,21,26,0.1238095238095238,1.0,0.2575822344592099,323.02317377878444,0.0003881988685711,0.5304471362363276,4,3,0.5,1.0,0.6119325100786207,352.43454245450334,0.001891604216839,0.0289415893287608,0.0809082139887086,0.1263604571421051,2.795569139954098,0.0238229150728099,0.4376448877920036,,0,0.841793417930603,-0.8050669431686401,1.92280912399292,0.8697183098591549,0.4743886291980743,322.5422227635375
7,location_59,7.616017399197592,-0.0022577312774956,-1.6947157204248235,5.312222901081591,1.7139850797320832e-05,1.4637880325317385,0.2423410071286535,39.39331846670388,39.39299189710958,41.97088467267812,77.75034271741576,118.55262264934204,332.4768568030632,0.0002147969905337,-0.0002039109849363,0.0373107938971054,0.3219700042965278,1.879281808214728e-05,0.2041535079479217,1.8185101747512815,22,3.763001877222762e-06,-1.6032691338641251e-06,1.4894452639409432e-07,1155.9840660306957,4.370559269787482,3.011040175182764,0.3722704586740337,26.0,0.1199507818228211,83535663.58271955,1.082181682877923e-05,0.8876847231426146,2.658296068689713,0.0206115779645191,0.0002733830003738,0.0104964207905384,0.4033141217807512,0.0006536408308205,-0.0002784910119317,0.0044940097509854,480913.748994835,0.001879770857779,0.0206115779645191,0.0474871642791462,,7.684863301271604e-10,3.9065465927124015,2.9341652393341064,0.6827497482299805,0.2496979350375431,0.7503020649624569,0.21545846239256,0.2432328202949852,0.0275995934616355,0.0582073653491894,0.2123877356426159,0.2803911114428041,0.7196088871484343,5.840744904458898e-06,0.0002851002737381,0.2784397601747013,0.0288528570317469,0.0941764186037757,0.298500770439456,0.4852846905301741,332914.25169502635,1.9225626178906927,2.6755103341095627,0.4060191738866263,0.2803911118375244,0.7196088881614632,0.008126988608446,0.3966971190894085,0.2784397605666746,0.0288528570317469,0.0941764186037757,0.2985007704394559,0.485284690530174,239.26048292828764,1.9225626178906927,2.675510334109563,0.4060191738894282,15,25,0.238095238095238,1.0,0.3544083594391647,238.5019671663252,0.0009509710185279,0.4580012402130671,0,0,0.0,0.0,0.0,,0.0,0.0,0.0540922599282916,0.1056296553527041,54092259928.291695,17,27,0.1985294117647058,1.0,0.1163159434158031,453.7526855204051,0.0004329941782538,0.6006800442057176,15,27,0.2571428571428571,1.0,0.2190565960672094,205.4360470307769,0.0012633114845891,0.626446551901989,0.1033438219113212,0.0776746483887951,0.1720447065092255,-0.3128352878675189,0.4585724852515738,,0,0.907185196876526,-0.5685675144195557,1.8792016506195068,0.9088050314465408,0.388454407453537,322.5422227635375
8,location_62,7.678195658455076,0.0007519092177972,3.166799911259524,7.803957124465941,4.039452323922888e-05,1.0987565517425537,0.0361577910273813,6.6693403499098896,6.669321970940062,7.3673262257588,14.406085156952484,27.20206423222718,-1.8007676463820848,0.000121305169884,-1.196076274823099e-05,0.0076513999687196,-0.0478686263937539,0.0001238610857399,0.1984881460666656,1.7079026699066162,22,8.065458336242049e-06,-1.630830395801017e-06,1.5449799709662969e-06,864.9943901451192,3.406927729186381,2.682509046643524,0.1695170179336133,12.6875,0.1097070169077143,40294308.8523315,2.3587734957639923e-05,0.4160352478181331,1.843060605177156,0.0065189712248535,0.0010776922598924,0.0047039505457355,0.4500096325666704,0.0005087314051979,-0.0001028651490918,0.0061466972423391,638828.4145228378,0.0014878040087651,0.0065189712248535,0.0679757876123028,1.4165116548538208,8.278696062014034e-10,8.891159057617188,2.7687432765960693,0.757681667804718,0.6674400510254829,0.3325599489745171,0.1492834706719286,,,,0.3065632894114038,0.6796135920371758,0.3203864074015619,7.700442596208536e-06,0.0011468257911375,0.1992248296742103,0.026822128089637,0.0507290850641872,0.2210175720007742,0.3790801608183433,139075.40275227226,1.5631676427716024,1.8325559308440889,0.465195538527392,0.679613592417932,0.3203864075810594,0.0042852345233299,0.6381993516641984,0.1992248297858268,0.026822128089637,0.0507290850641872,0.2210175720007742,0.3790801608183431,249.9144795011707,1.5631676427716024,1.8325559308440889,0.4651955385288899,20,32,0.1684210526315789,1.0,0.3855316608890159,204.01642934607167,0.0007359246918795,0.9619485269552372,5,3,0.3,0.6,5.9283678832092795e-18,263.7151027942945,0.0028257055880475,0.0313552910862982,0.1814350900657264,0.1544471616744647,5.786426589578395,17,21,0.1544117647058823,1.0,0.1900349757912699,294.6505086730136,0.000569292694023,0.450912301236381,5,3,0.3,0.6,4.894838195902605e-17,290.1071880840633,0.0028540897997941,0.0349891639922324,0.0789622682991992,0.1397899415599696,2.256763503029932,0.3935248130394624,0.3625709710443888,0.3308657395442073,0,0.8909373879432678,-0.614162266254425,1.75765061378479,0.8636363636363636,0.3061224520206451,322.5422227635375
9,location_69,7.639523065865066,-0.0014628047356382,-1.0371732478740474,6.1370790529679065,1.868595131782058e-05,1.3060548305511477,0.2088346175355362,30.749923632729708,30.749703087674696,32.94518149577949,53.672834276634624,72.36551929888385,143.2483568221405,0.0001947765740091,-0.0001852477351143,0.0315072175069911,0.4827804568784587,3.20616272801999e-05,0.2046480923891067,1.8138164281845093,22,3.945714148430788e-06,-2.2706578429108106e-06,1.7888312322424085e-07,1182.7199113316672,4.215129255599791,3.0314358375886394,0.338332902227855,36.22222222222223,0.1388297234578406,89575275.13953917,1.0122233955825586e-05,0.8146149262239725,2.594288264156829,0.0157262525683578,0.0003175246926328,0.0085818191577873,0.3892427722647997,0.0006382637944932,-0.0003673045143076,0.0046807835076185,553749.7662274904,0.0016373856011615,0.0157262525683578,0.0513632028804993,,6.63115840016104e-10,5.757419586181641,2.9317636489868164,0.6998819708824158,0.2939872181554259,0.7060127818445741,0.1694544619840864,0.2334424074052627,,0.0558417044018041,0.2101707813779212,0.4099272530586236,0.5900727456519228,6.624518418516475e-06,0.0003367868736668,0.2389590934866731,0.0467529961424592,0.0914359660526671,0.2855685831917515,0.4339919096184095,291195.7092247361,1.8637925177883288,2.6935740381855293,0.3970642333296196,0.4099272535867957,0.5900727464122043,0.0085420088928,0.4342710349781398,0.2389590937945608,0.0467529961424592,0.0914359660526671,0.2855685831917515,0.4339919096184095,225.8287673732336,1.863792517788329,2.6935740381855293,0.3970642333320327,15,24,0.2285714285714285,1.0,0.3047366176723844,169.95033601112428,0.0011605147575819,0.6195438966345267,6,3,0.2,0.3333333333333333,0.0,182.1344764408949,0.0030257710362463,0.0279330756072654,0.0861887674663097,0.1174768873637209,3.085545203761661,15,18,0.1714285714285714,1.0,0.1141684189608454,456.16369998397175,0.0003852487674018,0.2828304854386222,17,29,0.213235294117647,1.0,0.154905680800274,253.93422389240664,0.0008255148536506,0.5895791204861243,0.1538679434504209,0.1499281978292334,0.5440288489828026,-0.2819299478263176,0.5005451068150119,,0,0.77065110206604,-1.1682888269424438,1.8373619318008425,0.7508196721311475,0.5211718082427979,322.5422227635375
