,domain,middle_layer_entropy,weighted_shortcut_score,shortcut_drift,shortcut_reliance,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,mass_pos_frac,mass_neg_frac,signed_algebraic_connectivity,signed_spectral_radius,frustration_mass_frac,avg_clustering_pos,avg_clustering_neg,modularity_pos,modularity_neg,avg_path_length_abs,node_importance_entropy_pos,node_importance_entropy_neg,edge_score_gini_abs,normed_mass_pos_frac,normed_mass_neg_frac,normed_signed_algebraic_connectivity,normed_signed_spectral_radius,normed_frustration_mass_frac,normed_avg_clustering_pos,normed_avg_clustering_neg,normed_modularity_pos,normed_modularity_neg,normed_avg_path_length_abs,normed_node_importance_entropy_pos,normed_node_importance_entropy_neg,normed_edge_score_gini_abs,model_id,AC,ANE,EMD,acc,f1,l2
#0,location_7,6.421286100710729,-0.0037666165735572,-3.3298146862782088,3.861725872217887,5.805904038425069e-06,1.0072927474975586,0.1406893767923709,1.0952397534337903,1.0952397508675658,1.5025111586064517,1.7029302443086172,4.522857542977516,1.3458586744205716,6.16683253156225e-05,-5.569923970938362e-05,0.0332801280783709,0.0660398706519079,1.3269223018141927e-05,0.2028346806764602,1.9253355264663696,15,2.452926163631037e-06,-1.7933914541411032e-08,2.5530399344555065e-07,2501.926416419296,3.2024993492246088,2.9537528334272203,0.3331526618970017,1.5555555555555556,0.0473983426684587,198629065.7611601,3.8178024244394615e-06,0.9962256662746825,2.7668113533912404,0.0085622450908894,0.0003127921886121,0.0042878751046646,0.5661086717261131,0.0013238180830448,-9.678745958781884e-06,0.0743610109930466,368043.33806397166,0.0020604272698416,0.0085622450908894,0.1688106095100189,,1.580873876250166e-09,4.282893657684326,2.7233705520629883,0.4864068329334259,0.0,1.0,0.2259783426457108,0.0351331399584119,0.0574737695105443,0.0702389931351695,0.082215766796504,0.0921059262812662,0.059369599181456,0.0778900226757048,0.0863556564358766,0.1264610036569525,0.1270570092571769,0.0986341277611427,0.0870649853497941,0.104280408457096,0.89571959045528,2.4585208128590023e-06,0.0003242582152745,0.2974016207165154,0.0282758212529947,0.0332144725052238,0.3368243283463332,0.3785904573043471,530579.4638416801,1.633100373898472,2.729326766395333,0.5737802632980465,0.1042804085704078,0.8957195914285743,0.0026267445133991,0.3464455063557432,0.2974016210396737,0.0282758212529947,0.0332144725052238,0.3368243283463331,0.378590457304347,496.5997446939946,1.633100373898472,2.7293267663953333,0.5737802632999472,9,0.863845944404602,-0.8518951535224915,1.370468020439148,0.825,0.2260273993015289,231.40927519748715
#1,location_21,6.869163403869438,-0.0014021875103935,-1.4719762824596834,3.0768271212679053,4.7987247171477065e-06,1.2316361665725708,0.0924385116795801,1.137024971047949,1.1370249671655004,1.5698446098786996,2.2454575189678985,4.90844634169181,-2.7801090111288045,4.155269834171804e-05,-2.180251738792549e-05,0.019896850699036,0.1002458626011845,3.1448442314285785e-05,0.2131229937076568,1.724822998046875,15,2.578467639833671e-06,-6.484033194623926e-07,1.0974390964150225e-07,1841.6249494181504,3.908146448275096,3.030801671131262,0.3063518323540861,2.6666666666666665,0.0755517414960062,132156167.18604116,4.503763766227482e-06,0.795733348276293,2.7096953863681774,0.0126381442170915,0.0002359789988184,0.0063447942473865,0.4765133119080044,0.0012346950644251,-0.0003104868466542,0.0251638133427962,275987.5030489479,0.002156619948832,0.0126381442170915,0.1129981593843246,,3.8763670051622507e-10,7.18961238861084,2.686668634414673,0.5304743647575378,0.0987874152907739,0.901212584709226,0.185425148463025,,,0.0830733832529961,0.0634340446961859,0.0631734031005055,0.0814224464203284,0.1242409367102039,0.0822662756608896,0.1145762076316774,0.2473844866129239,0.0706383447138706,0.0697904712004182,0.3891526533323892,0.6108473449639084,3.2273995224662543e-06,0.0002406471078227,0.2096430523684317,0.0261286107754396,0.033295910661125,0.3467486601887282,0.3863692904751923,536499.472210024,2.484939946911912,2.5329894322113367,0.4868405858162654,0.389152653994968,0.6108473460039492,0.0050779273714888,0.3786294591594934,0.2096430527253741,0.0261286107754396,0.033295910661125,0.3467486601887282,0.3863692904751922,340.9852118279448,2.484939946911911,2.5329894322113367,0.4868405858193582,9,0.879935085773468,-0.7701789140701294,0.8434082865715027,0.0,0.0,231.40927519748715
2,location_24,6.695677395962502,-0.0019717551767826,-2.5897614388937598,3.321330728104472,2.2842363023301004e-06,1.0423669815063477,0.107214514023877,1.5197336301300153,1.5197336230299892,1.9730899451684047,2.9718925721171736,9.01736863936252,2.175390670924049,3.7294132662069046e-05,-3.537820481192e-05,0.030604520994773,0.1025177524257688,1.6305089957313612e-05,0.1959869116544723,1.854527235031128,15,7.164734686334347e-07,-1.1102876552792117e-06,7.315140392786944e-08,2142.8439375228318,3.402208542921757,2.974898826427304,0.3430644196097542,24.0,0.0715704273450067,318705886.156064,3.150974581052615e-06,0.882267446945669,2.607278562164872,0.0107288037166085,0.000197581779854,0.0053929539295392,0.5396355277968373,0.0005879879785725,-0.000911179301063,0.0492673659216143,388348.6025040421,0.002585908983489,0.0107288037166085,0.1621493576485199,,2.123935610720551e-10,5.428318023681641,2.6540589332580566,0.488561749458313,0.0090735813939058,0.9909264186060942,0.1384926010888208,0.0190266599524409,0.0328350662453517,0.1112384995697743,0.1073570012349236,0.0804915156989936,0.0451178697162163,0.0774699281957721,0.0959360780884315,0.1088992173480303,0.1334278308806084,0.0814248348965108,0.106775498172946,0.2481498030245895,0.7518501949147725,1.784709670193408e-06,0.0002248061116008,0.2131435622625508,0.0270404074632169,0.0318328086974828,0.2902516321252452,0.369775513792541,815018.3177665811,1.7374333399975264,2.5516108079567448,0.563504881107375,0.2481498035356744,0.7518501964632698,0.0034833045819421,0.4387650112876986,0.2131435627015375,0.0270404074632169,0.0318328086974828,0.2902516321252451,0.369775513792541,417.5836591044694,1.7374333399975264,2.5516108079567448,0.5635048811112435,9,0.3215245604515075,-2.9952783584594727,1.7795376777648926,0.0861111111111111,0.0354630835354328,231.40927519748715
#3,location_29,6.9149743864363815,0.0003508070658426,0.6263057671364672,2.15862017641087,0.0,0.9337013363838196,0.0346658244355099,0.8320764798152239,0.8320764763386865,1.317743182279274,0.7304176352387592,2.626712272596704,1.962436413081864,2.885565776544752e-05,7.622143352037369e-06,0.0129604148407103,0.0204200296409096,4.858101237914525e-05,0.2098995149135589,1.6301954984664917,14,2.9015971451476336e-06,-2.675377064809768e-07,3.046529610070619e-07,2212.3395987017093,3.8963512091394175,2.9007747330804734,0.2265759623949473,43.55555555555557,0.0755382760235838,167271705.2412493,4.36201695848577e-06,0.5691043009944603,2.343458375109376,0.0109609382865196,0.0004382671131245,0.0054039952295766,0.5657548586313426,0.0013033079879002,-0.00012016969544,0.0614646316594877,372402.46257071546,0.001959283539856,0.0109609382865196,0.1968560750840142,0.4829649925231933,9.456381233619027e-10,1.5513341426849363,2.5203423500061035,0.4635966718196869,0.7393394030726395,0.2606605969273606,0.1919186751312412,0.0598999818473852,0.204525422208886,,,0.0898150827697114,,,,0.0840418888341545,0.0953741969653828,0.2892970289811619,0.1770463983933179,0.7165665776062176,0.2834334212078363,3.1023404634780585e-06,0.0004396390209424,0.4455380752205428,0.04932942422272,0.0263131731214429,0.3305596862728939,0.2141545121052351,468478.8578640729,2.3763105699535343,1.8503032506188573,0.5713862479318054,0.7165665784552582,0.283433421543669,0.0034293673412378,0.4859826695692972,0.4455380757484489,0.04932942422272,0.0263131731214429,0.3305596862728939,0.214154512105235,423.8043850126354,2.376310569953534,1.850303250618858,0.5713862479339753,9,0.387643426656723,-2.6760947704315186,1.1832070350646973,0.0434782608695652,0.0444444455206394,231.40927519748715
4,location_49,6.776900485158814,-0.003106135642156,-2.996296009978871,3.674488487918226,2.8809173500121688e-06,1.050817847251892,0.1313903031046011,1.34398870127688,1.3439886972609638,1.7382640089140575,2.4129433465113297,5.9700995639811785,1.725983532975493,5.389220078200197e-05,-5.169914465597003e-05,0.0307457357704748,0.0947924077099741,1.4717109479533974e-05,0.2059857100248336,1.848459362983704,15,2.2949310979146227e-06,-6.919908973635126e-08,1.326658999524417e-07,2089.1129777505703,3.725587250457052,3.063254718369377,0.3137705924828365,8.75,0.0654761304584166,248689494.7848671,3.945046089011772e-06,0.8603332178661568,2.7608058303265626,0.0096179183135704,0.0002529423132021,0.0050522050802555,0.5047396290058461,0.0013093595000371,-3.948116462161697e-05,0.0431854858285755,435881.2517197452,0.0022508229415836,0.0096179183135704,0.1443147548294604,,9.774030473863604e-10,5.122994422912598,2.683079242706299,0.5292741060256958,0.0,1.0,0.1552309548222117,0.0301329497804374,0.036260112286338,0.0976959302644096,0.1034823715760137,0.0772339200956745,0.0565251665764413,0.0802317195750047,0.1062597467540511,0.0922258609510289,0.1441845547520134,0.0725760008509041,0.1031916665376828,0.1954244398927197,0.8045755585887062,2.324706066881828e-06,0.0002660045705974,0.2365693687744996,0.0084880973570041,0.0485475458583107,0.4703549252567695,0.3278188679010336,568851.3815822955,2.5221813279198235,2.5636843518208803,0.507427277393406,0.1954244401892826,0.8045755598096759,0.0033895319474063,0.3878473081138724,0.2365693691335013,0.0084880973570041,0.0485475458583107,0.4703549252567696,0.3278188679010337,390.1459783939712,2.522181327919823,2.5636843518208803,0.50742727739589,9,0.8042769432067871,-1.1451730728149414,1.7588369846343994,0.4915966386554621,0.0732394382357597,231.40927519748715
5,location_56,6.558125864349776,-0.0021053457166999,-2.8358287983445654,3.587886057104884,1.6050759086283506e-06,0.9994537234306335,0.118939219531839,1.290392932535187,1.2903929275338966,1.8008390858370196,2.182406172582747,5.292344610506784,1.71402472677309,4.529716803958195e-05,-4.119361844701075e-05,0.0334739210015615,0.0908227909891671,2.7931817385251637e-05,0.2079277038574218,1.901578664779663,13,2.512211362202342e-06,-1.8146456094253936e-07,9.117325505134277e-08,2191.0068727338758,3.5486187413925667,3.079308925443622,0.3559828058337736,18.666666666666668,0.0842269384402663,251535320.21393672,3.3169423658699712e-06,0.8610973735254642,2.7522539628290428,0.0099600657740192,0.0002086891456535,0.005021553110725,0.4977146093093996,0.0018565667292012,-0.0001341053944922,0.0497939120086985,340364.75617848046,0.0024512765939098,0.0099600657740192,0.1542248150697204,,5.720369733452911e-10,4.355367660522461,2.705880641937256,0.4796726703643799,0.0164894386591224,0.9835105613408776,0.180354339307269,0.038732109502869,0.0469890940553857,0.0794415935326116,0.0960246185630384,0.0844262929774982,0.0416346242192933,0.0902181852880109,0.0763429587863372,0.1244693998907619,0.1132876057507963,0.1155562584113259,0.092877259022071,0.1606800140308818,0.8393199842214569,2.712668451177102e-06,0.0002313499270328,0.4690992946190211,0.0065692241929234,0.0544172339640768,0.3436561503356142,0.3908083237869166,608950.0544434907,2.0036498901010056,2.6577269185514734,0.5058893974252444,0.1606800143115287,0.8393199856874289,0.0045485156754499,0.3879201563193862,0.4690992954383589,0.0065692241929234,0.0544172339640769,0.3436561503356146,0.3908083237869164,363.16893661535846,2.0036498901010056,2.6577269185514734,0.5058893974280584,9,0.3155803680419922,-2.9812252521514893,1.7346689701080322,0.0607142857142857,0.010939510539174,231.40927519748715
6,location_58,6.829779902663344,-0.0018939662259072,-1.3418571436385047,2.5059436132711554,0.0,0.8884025812149048,0.0598472998330483,1.263463125040343,1.263463119989659,1.6552226989609429,1.6952724065658338,3.6330366939058494,1.5952110044823062,4.0337451174821126e-05,-2.9306114633698144e-05,0.0208676082377511,0.1711748294125123,4.523698589764536e-05,0.1712702810764312,1.7907322645187378,15,2.240710550743897e-06,-3.610702526193356e-07,3.0687692648937384e-07,2170.759419062164,4.008131742302064,2.9263132156820806,0.2325144860671688,14.888888888888888,0.0496345301967598,212407756.3111421,3.845008614842185e-06,0.6277478475040618,2.364598436495821,0.0098704435660957,0.0004598819463431,0.0050327157096557,0.6029055272268995,0.0011592290842102,-0.0001867992972155,0.0821355682586705,410569.6654397788,0.0019892108906172,0.0098704435660957,0.2379194117208598,,1.0535013139634229e-10,12.395707130432127,2.4561221599578857,0.4497425854206085,0.0,1.0,0.1172983581211994,0.0625614944718286,0.042995550748753,0.097365436512822,0.1148302997859116,0.0496599028027709,0.0506272832918806,0.0668048821351445,0.0950206346219944,0.0715096694145038,0.1639826543635753,0.0774572984034242,0.1071848934473907,0.4436927542567795,0.5563072445675782,2.5604420135950096e-06,0.000471138378452,0.1937605204010985,0.0069715910282674,0.0312190561467144,0.2332756515562542,0.328275946177934,566711.9091923502,1.8556950712442477,2.3939443892341865,0.6062478954043935,0.443692754777942,0.5563072452210176,0.0028935496900005,0.5324324088101882,0.19376052062869,0.0069715910282674,0.0312190561467144,0.2332756515562543,0.3282759461779342,501.4715962594928,1.8556950712442477,2.3939443892341856,0.6062478954066468,9,0.1688464730978012,-3.3105685710906982,1.848863124847412,0.3151408450704225,0.1576293706893921,231.40927519748715
7,location_59,6.890483549920721,-0.0025798664428293,-2.291177583908362,3.4234147813407896,1.7955078419618076e-06,0.9745521545410156,0.1125573124882269,1.272468951935266,1.272468948412678,1.652485529729034,2.1696713319657674,4.664552362941766,1.819080135215298,5.111253841505459e-05,-4.286773312855985e-05,0.0242080750054481,0.1014261896115076,1.22669280244736e-05,0.2141679525375366,1.7980079650878906,15,2.3639388930755667e-06,-1.6355342636069105e-07,1.46052411133205e-07,1955.795999678154,3.762114128586167,3.0398592504288624,0.2800118382364303,37.55555555555556,0.0768116443759721,177295308.56880233,4.710548540434368e-06,0.770741929954742,2.7805045149088885,0.0103854360802744,0.0002683336916604,0.0054798182304196,0.4771148426588397,0.0011196756234535,-7.746680277010234e-05,0.0327657918272619,374318.4869517641,0.0022311432065095,0.0103854360802744,0.12709579282685,,8.951896446340867e-10,5.613892555236816,2.654921531677246,0.5411486625671387,0.0,1.0,0.1769076253424394,0.0347272532258348,0.0277695423042187,0.1095189789606896,0.1038200360420587,0.0626127296600485,0.0514017485859346,0.0746077570008579,0.1138818483095237,0.0891439861958081,0.1737245488388884,0.0590514689300998,0.0997401019460367,0.286422722875094,0.7135772756079679,2.402399582800002e-06,0.0002718541092708,0.2920644980385437,0.0409401083613696,0.0631489367964447,0.40369026074539,0.3324533605664149,505205.3580737994,2.721196350728304,2.5008078810766787,0.4754436775599464,0.2864227233092797,0.7135772766896735,0.0034819517577318,0.394015591910456,0.2920644984812817,0.0409401083613696,0.0631489367964447,0.4036902607453899,0.3324533605664149,348.57034959480336,2.721196350728304,2.5008078810766787,0.4754436775624315,9,0.7957680225372314,-1.1862698793411257,1.7927260398864746,0.7861635220125787,0.1257545202970504,231.40927519748715
#8,location_62,6.645643855558746,-0.0036563088651746,-2.2526789721952456,3.011593964374333,6.3799432155065006e-06,1.0299912691116333,0.0843947368114781,1.0985949858857995,1.098594983475207,1.4718222537826766,1.691011369910078,4.537912173930802,1.4408038785385897,6.424809450145119e-05,-5.956308680943323e-05,0.0246504589594046,0.0738921871110755,7.566986460005865e-05,0.1842081844806671,1.9115914106369016,15,4.103203105562761e-06,-9.568186688140795e-08,6.393063288429211e-07,2229.3924999130954,3.3502568035366345,2.8341587130331347,0.2955020145452586,4.666666666666667,0.0580824805587886,121319188.36339028,5.234607402740615e-06,0.8243230601120324,2.540947916799786,0.0104239256678281,0.000550290659854,0.005272027510191,0.6245638359743292,0.0015744051286299,-3.671327866288992e-05,0.094123049873652,316181.1729615797,0.0020085266883496,0.0104239256678281,0.2111473504698435,,1.834162710601106e-09,4.02825403213501,2.5736818313598637,0.4550938606262207,0.0065059354713876,0.9934940645286124,0.1878815838146828,0.0263940561319829,0.0575776090477614,0.1012387912591807,0.0956313019078312,0.0718639598112109,0.0554960712398464,0.0705052569500602,0.1035361216761972,0.0854738037577156,0.1646431403535396,0.0776270886005015,0.0900127992641718,0.2125374599881789,0.787462539205851,4.178506039341183e-06,0.0005568634256778,0.2718245473952337,0.026698278767086,0.0261836016526231,0.14286336963136,0.3522744610177581,331377.81557485164,0.9673931894252078,2.68432780218684,0.6241403974983418,0.2125374601592592,0.7874625398397127,0.0032757528011358,0.436554813931061,0.2718245476140367,0.026698278767086,0.0261836016526231,0.1428633696313599,0.3522744610177583,422.7010668213676,0.967393189425208,2.68432780218684,0.6241403974999836,9,0.7100960612297058,-1.5433988571166992,1.4705709218978882,0.696969696969697,0.1381381452083587,231.40927519748715
9,location_69,6.854117656854158,-0.0028445136267691,-2.78690468073431,3.5862600062335264,1.778403884600266e-06,0.9984710216522216,0.1257757045234321,1.3463229774324506,1.3463229736090878,1.723517169765434,2.3525827755994526,5.76402194816924,1.7805939220180451,5.1443337822476565e-05,-4.766822523727399e-05,0.0284081843430277,0.0996433821083546,1.412977962900186e-05,0.2080598026514053,1.8318620920181277,15,2.7651027988766484e-06,-4.6234275560421146e-08,1.3201703752073392e-07,2108.0714666109543,3.734851805937077,3.0567326971259106,0.2859826221604706,38.0,0.0773940611022911,211221403.9201829,4.441306149408664e-06,0.7833932662846399,2.766384986880525,0.009748649283533,0.0002541418724832,0.0051390528663255,0.5003670166648062,0.0015270463657644,-2.5533215342497632e-05,0.0402635331720616,382469.6467229595,0.0024527408302564,0.009748649283533,0.1403515372223854,,9.295554326271828e-10,5.339989185333252,2.6705563068389893,0.5334017872810364,0.0,1.0,0.1481716792449702,0.0310677033844489,0.0337018398634102,0.1012145048976429,0.1073562002610774,0.0682314300566273,0.0597638895984878,0.0814512347863791,0.1099848494633375,0.0898975668713359,0.1481101653350582,0.0654076365309004,0.1038129789512939,0.2274089249405871,0.7725910735001468,2.785285225852021e-06,0.0002631997605237,0.4214288290573131,0.0130284586155737,0.0602428427596028,0.446825315433051,0.3161753180283939,531298.4145788932,2.6295334754466384,2.5364347001439707,0.498013095499437,0.2274089252949405,0.7725910747040149,0.0041574788443558,0.3928672819790908,0.4214288297139925,0.0130284586155737,0.0602428427596028,0.4468253154330509,0.316175318028394,355.9411075907641,2.6295334754466384,2.5364347001439707,0.4980130955019564,9,0.7239638566970825,-1.557816505432129,1.766460657119751,0.6688524590163935,0.1603143364191055,231.40927519748715
