,domain,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,model_id,AC,ANE,EMD,acc,f1,l2
0,0.1,6.952213978929677,0.0431851334869861,5.8093791007995605,1.896620779007208e-05,1.1542266607284546,0.0944996034961171,0.6091906748057251,0.6091906747445982,0.7318371849296721,1.180916622196848,3.587748184278338,0.5124433811272966,0.0006662482532533,0.0004569954385829,0.0314758405273056,0.0614762385890747,0.0009244756074622,0.1865279376506805,1.7237340211868286,5,1.9917085510804965e-05,-3.8757126102796833e-07,2.560584632948811e-05,1607.9225118447014,3.539974740035808,2.645654207635429,0.3399595008457829,81.0,0.0296565848233044,33704517.20400815,3.060202093836752e-05,0.8614660491814342,2.216094764768377,0.0102562166515654,0.0041171674757586,0.0057146036338202,0.6763506093233597,0.0009409902161884,-1.8310948781340933e-05,0.0571554685870545,713392.908141377,0.0014458040272224,0.0102562166515654,0.1945171336720368,0.4938121438026428,2.039913056250953e-07,4.3607048988342285,2.6537516117095947,0.5001728534698486,0,0.6888235211372375,-0.5840824246406555,1.903653860092163,0.405,0.4031946659088135,231.28527769476872
1,0.15,6.950432771385661,0.0441720224916935,5.781682014465332,1.9465312107058708e-05,1.1526482105255127,0.0962069200441236,0.6140874483014849,0.6140874482420529,0.7379320860981881,1.1996029286209862,3.6651134258462568,0.5113530696467984,0.0006807345708352,0.0004668026503509,0.0318479332704816,0.0610999184708015,0.0009322461555711,0.1871088743209839,1.7246309518814087,5,1.992927185063552e-05,-8.667204968561414e-07,2.629984502048424e-05,1571.9227087816732,3.3929974014209034,2.633194142131832,0.3369919724640847,72.25,0.0306850246871995,31329566.84554575,3.122381094464864e-05,0.8489201107657434,2.201685153666424,0.0100883234745968,0.0041684396469647,0.0056989522105801,0.6762265562421802,0.0009324254396484,-4.055098917722557e-05,0.0575703043910447,669625.0940943046,0.0014608599296987,0.0100883234745968,0.195027649364685,0.4926290214061737,2.1794946292175157e-07,4.345333576202393,2.65826153755188,0.5006635785102844,0,0.691985011100769,-0.5807166695594788,1.9037368297576904,0.42875,0.4272456169128418,231.28527769476872
2,0.2,6.95242538182969,0.0440901815891265,5.785037994384766,1.9527176846168004e-05,1.1517964601516724,0.0972673323464953,0.6192328671974511,0.6192328671405049,0.7388710884567813,1.2001039864422247,3.585805314383,0.5209256835329541,0.0006840132887404,0.0004658352780992,0.0317676492688535,0.0611221374455143,0.0009341011755168,0.1870543956756591,1.722561597824097,5,2.004958731584103e-05,-8.371594229843783e-07,2.6203208417207795e-05,1619.8301943271913,3.551243423867498,2.656447520757767,0.3387482138059134,90.25,0.0285423193901505,35540989.55304844,3.15567855766564e-05,0.8601451993495525,2.236550628888465,0.0097956307258632,0.0041495052268589,0.0054919566030677,0.6743893051135705,0.0009312092166408,-3.888213012442584e-05,0.0565246836983281,765222.4160808746,0.0014656645687405,0.0097956307258632,0.1927250436185637,0.4934265315532684,2.1774792458018053e-07,4.382800102233887,2.657792568206787,0.5018172860145569,0,0.6912605166435242,-0.5809697508811951,1.9038158655166624,0.44625,0.4446455538272857,231.28527769476872
3,0.25,6.9562413043243225,0.0443504154682159,5.800810813903809,1.9467943275230937e-05,1.153373956680298,0.097845680525791,0.6176917435633218,0.6176917435069589,0.7373726451302867,1.203399775779998,3.620656712942568,0.5147448816242624,0.0006890034229627,0.0004667206465001,0.0317198051985668,0.0610448613562836,0.0009371990454383,0.1871042251586914,1.7205078601837158,5,1.9629949599458628e-05,-1.3749228480461472e-06,2.597879082569748e-05,1583.8312749285387,3.458410860477124,2.6466173057499445,0.3352457576938511,81.0,0.0287285166679591,33745635.23555527,3.185530819270808e-05,0.8414625028333761,2.217509315421136,0.0095263263867915,0.004134252551857,0.0054415721699019,0.6728434969471127,0.0009037404455942,-6.329991025356995e-05,0.0550640348660425,732981.5855649973,0.0014665820151919,0.0095263263867915,0.1903362693845516,0.4839147329330444,2.2196779525529567e-07,4.385602951049805,2.6595981121063232,0.5037946105003357,0,0.6921898126602173,-0.5801677107810974,1.903836369514465,0.46375,0.4615617394447326,231.28527769476872
4,0.3,6.957800565023327,0.0447808876633644,5.796554088592529,1.9846010218316223e-05,1.1521836519241333,0.0976763099233378,0.605216417365845,0.6052164173119,0.7229765295843278,1.161547850351753,3.3861526165152656,0.4964657189427902,0.0006910386917695,0.0004659636007033,0.0315667411415661,0.0603154709219424,0.0009488205541856,0.1874558627605438,1.7175860404968262,5,1.925658015142154e-05,-2.0746264752261277e-06,2.6480121654980117e-05,1595.919324488479,3.4826243443894693,2.656998251255647,0.3357245652056836,90.25,0.0284846321105341,36176523.47613532,3.21203284007847e-05,0.8412830404472533,2.2231296263483413,0.0091026544514916,0.0041773698554979,0.0052427257651138,0.6726983718055815,0.0008796805460398,-9.477324762061892e-05,0.0552600930761939,791919.4422382789,0.0014673232518646,0.0091026544514916,0.1908309209653127,0.4739021360874176,2.3366243340205986e-07,4.406840801239014,2.6612606048583984,0.505036473274231,0,0.6944072246551514,-0.5776526927947998,1.9040433168411253,0.48375,0.4816433787345886,231.28527769476872
5,0.35,6.957724936898317,0.0454130284488201,5.777517795562744,1.1153598279634023e-05,0.8370667695999146,0.1018747608037722,0.6129814017510563,0.6129814017011669,0.7337464587443155,1.1795674059290937,3.3746959025513803,0.5026365442857774,0.0007045158338279,0.0004781487152776,0.0324979469673,0.0608308367008758,0.0009344738791696,0.1884734183549881,1.7218377590179443,5,1.8900857814562206e-05,-2.7438614566524157e-06,2.6109105289560555e-05,1670.148562706614,3.365357957846305,2.652333092042648,0.3315762950699298,72.25,0.0302176806055824,30235121.82873161,3.0788531537349634e-05,0.8348709778221562,2.229675378311159,0.0100072927639575,0.0041207179226229,0.0054420588089453,0.6710097021102586,0.0008718964330563,-0.0001265743121629,0.0555595556492824,655433.0544034058,0.0014202747285324,0.0100072927639575,0.1900886886344465,0.4752188324928283,2.4292390321534185e-07,4.437047481536865,2.671295404434204,0.5068320631980896,0,0.6960257887840271,-0.5752761960029602,1.9042202234268188,0.50125,0.4993718564510345,231.28527769476872
6,0.4,6.950913640649356,0.0464352816343307,5.778814315795898,1.1538679245859385e-05,0.8342443704605103,0.1075119120890254,0.6127009601534371,0.6127009601100962,0.7366812946369491,1.1808996926742708,3.384470386660149,0.5034713567494558,0.0007145284994152,0.0004864549273548,0.0330420727326458,0.0605389568715902,0.0009018936543725,0.1914398819208145,1.7230485677719116,5,1.9892518823055805e-05,-2.169118171015683e-06,2.535946236779522e-05,1645.313437817554,3.346621150178384,2.664593343886604,0.3327735915231186,72.25,0.0294692032876717,29706250.555034127,3.124922553625027e-05,0.8532700473882892,2.2615599168730487,0.0094400777894822,0.0040178221892902,0.0053206104963405,0.6631652078537265,0.000919929901455,-0.0001003108952367,0.0542337901373988,642366.492451112,0.0014451210233828,0.0094400777894822,0.1858042605829936,0.4795098304748535,2.525208913084498e-07,4.509646892547607,2.6909544467926025,0.5134540796279907,0,0.6984065175056458,-0.5728626847267151,1.9043505191802976,0.51375,0.5114408135414124,231.28527769476872
7,0.45,6.952221342992228,0.0472909025847911,5.778110504150391,1.1607872693275569e-05,0.8378620147705078,0.1114168000504252,0.6114561083821571,0.6114561083431899,0.7334945485201065,1.1693981036185304,3.254283395261909,0.4979140610110322,0.0007290552198924,0.0004913873203236,0.033275680856543,0.0600391653159904,0.0009016552357934,0.1927001923322677,1.7194976806640625,5,2.00864840007513e-05,-3.045950110845798e-06,2.540798743768033e-05,1681.277895150985,3.39475405910619,2.684232598461631,0.3311487644482888,64.0,0.0295443851382652,30961162.71047071,3.145746241834998e-05,0.8638650478710357,2.292848486797659,0.0096395852209805,0.00399339222646,0.0052854122621564,0.6584544140171736,0.0009168300812691,-0.0001390297540522,0.0529346599805093,678316.4189163414,0.0014358485027658,0.0096395852209805,0.1822749125725489,0.4739801585674286,2.6755412818602053e-07,4.550691604614258,2.699500322341919,0.5174554586410522,0,0.7000959515571594,-0.5698763132095337,1.904762983322144,0.53125,0.5294848084449768,231.28527769476872
8,0.5,6.95139791081774,0.0474158525466918,5.760793685913086,1.185544806503458e-05,0.8368449211120605,0.1131925088615145,0.6059369385414624,0.6059369385065541,0.7244283066582758,1.1589367139936737,3.160490824467658,0.4891034385379656,0.0007244534563142,0.0004836902442093,0.0331364059128025,0.0587656383597552,0.0008895179489627,0.1937911510467529,1.717545747756958,5,2.0202334508913835e-05,-3.612743618842486e-06,2.487792708801662e-05,1670.1495422757826,3.42377126584057,2.6759842340937343,0.3248183293549416,56.25,0.0288413408926259,29321805.741904013,3.175602767538578e-05,0.8503749806828586,2.2756514414491025,0.0099802825270777,0.0039520309872708,0.0054503231351547,0.6568417521011709,0.0009240895056948,-0.0001652530409136,0.0520522057524012,641029.8296994843,0.0014525752608454,0.0099802825270777,0.1807726873278567,0.469295859336853,2.7854002837557346e-07,4.531179428100586,2.704716205596924,0.5208754539489746,0,0.7012797594070435,-0.5678472518920898,1.904971718788147,0.5525,0.5508831739425659,231.28527769476872
9,0.55,6.9500300054919375,0.0479396842420101,5.755655288696289,1.1954401998082176e-05,0.8326278924942017,0.1143967431704078,0.610507238041664,0.6105072380082921,0.7313135579629975,1.175958285663969,3.233649291735098,0.494103286626302,0.0007359622576927,0.0004906600136678,0.0332842752105731,0.0589090452913453,0.0008933636709116,0.1940367966890335,1.7166361808776855,5,2.05804581555612e-05,-3.886060703753015e-06,2.5157198890031567e-05,1670.1483532914187,3.371825203710119,2.677863179974466,0.3265871410810966,56.25,0.0317235620186246,28630696.57037748,3.1487171007891406e-05,0.776077546035681,2.280963654887109,0.0093995624341625,0.0039690586092739,0.0052147898381844,0.6551094791934725,0.0009308027554392,-0.0001757568284727,0.0514597325353234,633037.2983810423,0.0014240861389345,0.0093995624341625,0.1795106145953888,0.4699903130531311,2.850205760296376e-07,4.568104267120361,2.706700325012207,0.5226871371269226,0,0.7027995586395264,-0.5662868022918701,1.905034184455872,0.57375,0.5723970532417297,231.28527769476872
