model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_id_acc,train_acc,train_f1,val_AC,val_ANE,val_l2,val_EMD,test_AC_ood,test_ANE_ood,test_l2_ood,test_EMD_ood,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0
0,False,0.0,ViT-B_16-scratch,False,0.01,0.7449186991869918,0.7448868155479431,0.5525000095367432,tensor(0.7334),0.7330359220504761,0.7102949619293213,-0.5603998303413391,231.28527769476872,1.935229539871216,0.7012797594070435,-0.5678472518920898,231.28527769476872,1.904971718788147,6.9511142743522045,0.2057623416185379,24.116798400878906,1.861222608567914e-05,0.8418859243392944,0.11115469179355905,-0.0003802119673501636,0.6233304005281353,0.6233365750157775,0.7558696320363208,1.2060051073489533,3.1218116897318295,0.5198657464745602,0.0007629906743460424,0.0005269528929403577,0.03450646903930522,0.06176230370190491,0.0009534364799037576,0.1881376951932907,1.7257428169250488,5,2.0173771466054086e-05,-4.343831005122e-06,2.730049504282289e-05,1684.4822123524702,3.242596838725364,2.6498077516333574,0.31888909470262583,49.0,0.029679654109988608,26971195.662740875,3.1245195042469314e-05,9312,0.6976135744592674,2.2154141923530117,0.009277003484320558,0.004204761877690475,0.005204649253796512,0.6626538220997046,0.0009124072513047612,-0.00019646018403294662,0.05584364789430036,596346.3555097834,0.0014131389651001343,0.009277003484320558,0.1901704501747985,0.46958261728286743,0.0006165453814901412,4.46828031539917,2.6837642192840576,0.514546811580658,1.0,0.0,0.1090518876671581,0.07600625331966632,0.1171238340145567,0.06258017070709038,0.046655923380779764,0.22353385224685074,0.14344844325300027,0.12556807412996213,0.05866932235673323,0.0775318691189762,0.025121965781469597,0.010781688814109132,0.03297860287680558,35,84,0.1411764705882353,1.0,0.37903271296154867,656.537921278436,0.00013560435989524208,1.5554162079547749,7,11,0.5238095238095238,1.0,0.7032620304675855,326.6950462525504,0.001665337975114938,0.11549317022983036,0.16454531090769742,0.08964825548979959,1.4247189732540353,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0011385155376046896,0.007644320838153362,0.0015333453193306923,0.0009534364799037576,138
1,False,0.01,ViT-B_16-scratch,False,0.01,0.7296747967479674,0.7291814088821411,0.5637499690055847,tensor(0.6881),0.6852744221687317,0.7506618499755859,-0.5170402526855469,203.72713461765056,1.9359790086746216,0.7494242191314697,-0.5206993222236633,203.72713461765056,1.9052796363830569,6.881174262021058,0.2774238884449005,22.428129196166992,2.002542169066146e-05,1.0178498029708862,0.0845681385627603,-0.0002720328344558709,0.7671471660717589,0.767153731576624,1.1051863776332984,0.9409105109236412,1.692009502977889,0.5644299863127272,0.0012911823167485181,0.0008538090329750503,0.03632385769994614,0.06902582431390716,0.0012200390920042992,0.17215770483016968,1.711676001548767,18,2.7038162309141443e-05,-5.861259713106663e-06,6.908711199121118e-05,1443.7595402641077,3.9490262262634466,2.6727369429548187,0.3102692316534504,224.2222222222222,0.036366157360059284,28693113.610139005,6.439190521515e-05,6208,0.5751039727942672,2.086635477172427,0.007924446374294397,0.007209253636084828,0.004689657818014424,0.6701326368857798,0.0007606776529201063,-0.00016489765160275375,0.054681955383375495,1019891.9948062936,0.0018115685415483116,0.007924446374294397,0.20282141323776748,0.34331780672073364,0.0005990668432787061,3.798645257949829,2.589367151260376,0.49621134996414185,1.0,0.0,0.06503319038054192,0.11231445229765222,0.082509848542618,,0.03609422761033243,0.08496898840127741,0.18767884766595427,0.031840654571381764,0.06902945820298965,0.1405501981476637,0.08225465696769929,0.1029753222757161,0.06978334531671516,41,85,0.10365853658536585,1.0,0.2802578268601347,808.284662087533,8.453870109227786e-05,1.611292364935404,7,9,0.42857142857142855,1.0,0.844197000660328,200.50068896871454,0.0019694234295997786,0.14686365226302517,0.12092199140078529,0.06435176764743701,0.8233622788041542,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0017010397277772427,0.011742830276489258,0.0023651989176869392,0.0012200390920042992,139
2,False,0.0,ViT-B_16-scratch,False,0.01,0.7317073170731707,0.7315964102745056,0.5600000023841858,tensor(0.6995),0.6993241310119629,0.6857717037200928,-0.5903381705284119,231.28486690192733,1.9331145286560056,0.6801548600196838,-0.5942506194114685,231.28486690192733,1.9027323722839355,6.934058284727074,0.1531684398651123,24.529220581054688,0.0,0.991077721118927,0.1854615378568736,-0.00039523873866187387,0.5527884529210358,0.5527947069927036,0.7476144961738719,0.6599860300142046,1.0063745505641941,0.33412175942825695,0.0006607395212938627,0.00030763909333586525,0.043219065145870546,0.049266800005926786,0.0002673618437256664,0.21244680881500244,1.6615983247756958,18,1.5809356842184325e-05,-9.7669330512607e-07,8.353551930496055e-06,1509.7790224240212,3.2472895276590235,2.8716258603504063,0.29024329354822503,101.55555555555556,0.08796991245071346,53067302.860871896,3.296165870274834e-05,5042,0.6531635908820671,2.476940833990934,0.00800586191923578,0.0021900726872266137,0.004604966986794717,0.5603101211877903,0.0010341362457349417,-6.388837334730057e-05,0.03574359977494643,811266.3369368392,0.0021561184662614386,0.00800586191923578,0.14325905578690878,0.40995511412620544,0.0007898799376562238,5.735145568847656,2.803164005279541,0.6201595664024353,1.0,0.0,0.0845025962010769,0.20357563286379832,0.09480262721782652,,,0.1861226679776391,0.1838734399950932,0.044267759409561395,0.0679481901338171,0.10441078295663228,0.033382299073242555,0.023691487677840142,0.057925112694549426,44,86,0.09090909090909091,1.0,0.3732650361993099,583.0027498172358,0.00011183743895328268,1.4533582747526135,5,6,0.6,1.0,0.9048045766567043,178.94701627906153,0.003581362563394708,0.09402415370812386,0.22630878576963157,0.12759198667386437,2.40692180513695,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.00042644338100217283,0.004609572235494852,0.0006716763018630445,0.0002673618437256664,141
3,False,0.01,ViT-B_16-scratch,False,0.01,0.7357723577235772,0.734974205493927,0.5537499785423279,tensor(0.6861),0.681964099407196,0.7191938757896423,-0.5545588135719299,199.6544265365956,1.9340711832046509,0.7190436720848083,-0.5579954385757446,199.6544265365956,1.9031436443328855,6.932977342904634,0.22040274739265442,19.695114135742188,1.2600211448443588e-05,1.2587931156158447,0.05760675634880554,-0.0003349143626678597,0.6392346320009612,0.6392415166951672,0.9736480052737975,0.9200450053061342,2.1341233945304228,0.6560697837255445,0.000903897530974973,0.0007625450684827229,0.032481836155851825,0.0681411979415616,0.00126190937589854,0.16391627490520477,1.6338565349578857,6,3.1663451403958996e-05,-2.671120862468378e-06,6.225805161729963e-05,1424.4840503934772,3.61187701754271,2.5331627595295014,0.25494415583182833,121.0,0.045079813548416135,24473630.27559115,5.190034464978391e-05,8023,0.4661341248960583,1.7174697732098334,0.008168642951251647,0.007092242800860295,0.00503094806763285,0.6907092026912164,0.0011379094930529833,-9.599382806561559e-05,0.08040711672738035,681002.8280332362,0.001865175588209416,0.008168642951251647,0.25487842669919536,0.3957671821117401,0.000717624556273222,3.0849456787109375,2.427936315536499,0.43154004216194153,1.0,0.0,0.10957795184746401,0.039169673154812415,0.1709883568301755,,0.045911867308733444,0.19246727606220057,0.28824255472540505,,0.03871215885581521,,0.060869890701246016,0.11713248452574737,0.046505737835864425,41,91,0.11097560975609756,1.0,0.3164758257347234,644.669838946446,0.0001280156537568246,1.77507619077389,5,4,0.4,1.0,0.9999999999999994,274.5391937975463,0.0018212335844794358,0.05378031039632396,0.08557174941489297,0.044698331937349796,1.5911352832344763,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0017252789111807942,0.009751654230058193,0.0022854036651551723,0.00126190937589854,132
4,False,0.0,ViT-B_16-scratch,False,0.03,0.7134146341463414,0.7124154567718506,0.5562499761581421,tensor(0.6848),0.6828805208206177,0.7353507280349731,-0.5278000831604004,231.28430991704343,1.937056064605713,0.7256338596343994,-0.5362104177474976,231.28430991704343,1.9063628911972048,6.918619689319964,0.23249772191047668,22.786354064941406,3.08913940898492e-05,1.0188822746276855,0.14519015739370997,-0.0003465583652584314,0.6345470006131241,0.6345536912451877,1.0380657926346806,0.9640751935512839,3.374584589810497,0.3302326942915093,0.0009844137881600545,0.000654590334193017,0.04970616749940902,0.06415428440031953,0.0005526856984943151,0.20397117733955383,1.658393144607544,16,2.5136473505781508e-05,-3.1016700110563133e-06,1.6325194998501013e-05,1404.7384010936203,3.556103645604876,2.7955199874169367,0.31123375957322297,30.25,0.08073708493012313,20334152.87293167,4.577249166309562e-05,7560,0.6190236328682954,2.3057614361395715,0.011522826766729206,0.0032629898865891484,0.006620934959349594,0.5543881477425915,0.0012692573753373176,-0.00015661772162026285,0.041624504523571686,402699.17410031153,0.002311265846805238,0.011522826766729206,0.16476352618316875,0.3592626452445984,0.0011171175865456462,4.354407787322998,2.793470621109009,0.5458917021751404,1.0,0.0,0.13246331059228703,0.051723935279689236,0.19843567468780515,,,0.11217286676911571,0.2491859220491812,0.141571537284735,,0.034468178207329954,0.05842840672035579,0.10322582497991058,0.050787654021877376,35,83,0.13949579831932774,1.0,0.38458655561549837,432.43562809726893,0.00020921965206479576,1.568816644856033,6,8,0.5333333333333333,1.0,0.5729075483608124,286.6091515280407,0.00175022542906069,0.1155166238624782,0.15783336564074427,0.0856781154847276,1.3663259915615598,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0007174877100624144,0.006305782124400139,0.0010447935201227665,0.0005526856984943151,126
5,False,0.01,ViT-B_16-scratch,False,0.03,0.7083333333333334,0.7066290378570557,0.5475000143051147,tensor(0.6840),0.6831762790679932,0.6801583170890808,-0.59432452917099,229.69664016827085,1.9365196228027344,0.6880428791046143,-0.588176429271698,229.69664016827085,1.906085968017578,6.865602894640866,0.15281251072883606,19.428760528564453,4.4885444367537275e-05,1.0218751430511475,0.1644001037756838,-0.00034876039743814147,0.6810849708101899,0.681091198049997,0.9691543107733369,0.8463155286193326,1.5679165774968606,0.5922228031039093,0.001059872419736152,0.0004850719480682386,0.03647063470294127,0.06167283825568033,0.0007279935525730252,0.22043703496456146,1.728362798690796,6,2.5788197300232122e-05,-8.44993287594706e-06,2.0976530261939823e-05,1420.2916552990312,3.6130375032703475,2.902500594068374,0.29285403765813034,62.88888888888889,0.05650888125905222,19762319.65179162,5.665592451388171e-05,9580,0.7653008517393004,2.4711383112366003,0.009677338165710259,0.0035412941460328633,0.005471458773784355,0.5305934638877038,0.0008874033806983219,-0.000290772532697095,0.024838985000298075,574298.6904959797,0.0019495995953013572,0.009677338165710259,0.12186025968476127,0.49327147006988525,0.0004648333415389061,4.943280220031738,2.7796263694763184,0.6158356070518494,1.0,0.0,0.12392764945092485,0.1426953790881514,0.08655393259914966,0.03801566132545247,0.05496992047560322,0.07690975535616357,0.16827242272672313,0.030314329157585418,0.04044916807435611,0.16082161405043605,0.039618448080950754,0.08663217400886902,0.07474719505655922,37,78,0.11711711711711711,1.0,0.39898962265121857,407.8338437833228,0.0001942778944155476,1.4548991387513268,7,13,0.6190476190476191,1.0,0.7022231469421075,154.96085564791065,0.0034258673756828125,0.1909038706335388,0.17709849530756694,0.0971519826231356,0.9276841518186248,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0008087991154752672,0.0074399495497345924,0.0011402991367504,0.0007279935525730252,131
6,False,0.0,ViT-B_16-scratch,False,0.03,0.7083333333333334,0.7030707001686096,0.5587499737739563,tensor(0.6894),0.683937132358551,0.6484299302101135,-0.6243373155593872,231.2849348677661,1.9317476749420168,0.6500718593597412,-0.6228492259979248,231.2849348677661,1.9013181924819944,6.920114678748099,0.0997435674071312,25.971477508544922,0.0,0.7265255451202393,0.11404274225389809,-0.0004687944126118282,0.2830994643096835,0.283103793110353,0.409954931978052,0.34410814908512405,0.6037827267503555,0.10234987495055262,0.00026807867038769473,0.00010627366765447732,0.03945922668702191,0.02767186196302402,0.0001807900407584384,0.20982980728149414,1.6264748573303223,6,1.0603107073514887e-05,-2.2669852506449225e-06,3.5271277312869354e-06,1692.7332340982837,2.596957369832153,2.7555223706212884,0.2394792952561975,30.25,0.06551759932590921,65036727.59536172,1.3394449397861591e-05,2537,0.5704215950058915,2.297240705501976,0.005637773079633546,0.001441000415157209,0.0033560240081979215,0.59677883059839,0.0015607935798402726,-0.00033370369074423403,0.07642682682134089,441821.00792791555,0.0019716834181430515,0.005637773079633546,0.2121174641331875,0.377990186214447,0.0020622077863663435,6.284921169281006,2.6676602363586426,0.5794355869293213,1.0,0.0,0.08539488842480222,0.244262776077839,0.1827105438138125,,,0.2216399313972609,0.14867953584154622,0.022690788401071953,0.05556764097187514,0.03877477600673128,0.03310720854989423,0.028302180951503483,0.02426461798846526,40,89,0.1141025641025641,1.0,0.54748581982677,610.1617865791172,0.00012179383777318246,1.4537241375136098,5,5,0.5,1.0,0.9366606552758753,205.2195746231292,0.002604833835423696,0.06727713199804358,0.23949936524417348,0.1360404878680381,3.559892613304891,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002619953593239188,0.002817329717800021,0.00041812125709839165,0.0001807900407584384,149
7,False,0.01,ViT-B_16-scratch,False,0.03,0.7052845528455285,0.6997158527374268,0.5374999642372131,tensor(0.6782),0.6723775863647461,0.7058697938919067,-0.5653998851776123,147.60812303116165,1.9340429306030276,0.7125440239906311,-0.5578117966651917,147.60812303116165,1.90374755859375,6.90832885683424,0.16204334795475006,19.18980598449707,0.0,0.9873110055923462,0.029334870582170013,-0.0008106908017118108,0.14241403676120645,0.14241554312424984,0.25314507030855543,0.16520122443684235,0.37947141559484127,0.11400426216032879,0.000239302821555043,0.00020919116228412804,0.02308064236016357,0.024773250072292672,0.0008726303349249065,0.15155375003814697,1.6507678031921387,5,1.6141512849775268e-05,-5.00052697183438e-07,2.7892653734062462e-05,1925.1619001986414,2.6560285881907095,2.6297054551275245,0.22615367862935792,49.0,0.049566481376439375,42313949.00009086,2.039835329285663e-05,7337,0.4670198156264062,1.8389537635800608,0.007641458526056122,0.004558164200379565,0.004537607316162747,0.6909058125911164,0.0015569479644324312,-4.823317438924497e-05,0.2595072942276604,438685.9121445906,0.001967546393372802,0.007641458526056122,0.43966291237341104,0.3713383972644806,0.005741799250245094,4.156510829925537,2.159698009490967,0.3571460247039795,1.0,0.0,0.1065943877991166,0.15047435302993703,0.22467307431793865,,,0.2473602600352551,0.14739685371601685,0.06562449290903707,0.056066480279737596,0.03523198274742134,0.028974854787135622,0.04419764817752074,,44,113,0.11945031712473574,1.0,0.44120688613637327,809.6598691642633,9.712604734311796e-05,1.6878783119697842,4,3,0.5,1.0,0.9999999999999997,279.4203637614642,0.0023858914851166216,0.03317914100715421,0.13947127351153113,0.07496324648250223,4.203583012636096,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0009800400584936142,0.006898812483996153,0.0013253239449113607,0.0008726303349249065,157
8,False,0.0,ViT-B_16-scratch,False,0.009,0.7266260162601627,0.7234774231910706,0.5575000047683716,tensor(0.6927),0.6848256587982178,0.7295786738395691,-0.5412492156028748,231.2851264559212,1.9341135025024412,0.7259124517440796,-0.5457219481468201,231.2851264559212,1.9036359786987305,6.8735667745846865,0.2263077199459076,22.015050888061523,0.0,1.1121437549591064,0.1258237884617818,-0.00023342969030792915,0.7375348334836,0.7375431251289725,1.1526633629638237,1.123708804356767,3.780994196275065,0.5179664761461642,0.001025181196474989,0.0007648052234330294,0.04242576927709751,0.07439959454124227,0.0006163258221931756,0.2049018144607544,1.6858512163162231,6,3.256861932906493e-05,-6.341693171313167e-06,2.0456236920535916e-05,1464.2284801255337,3.4235681221770644,2.7740584599642464,0.2800557640381984,49.0,0.0594635153761437,18490385.36450708,4.6139078170280693e-05,4480,0.6078666786177883,2.25026446500802,0.009538327526132404,0.003763971402981252,0.005558989921696451,0.5649808044353647,0.001347888338043374,-0.00026245792475728747,0.03503764261538658,446777.6081714046,0.0019095167792137198,0.009538327526132404,0.15577611980582862,0.391693115234375,0.000662506150547415,4.153312683105469,2.726271152496338,0.5601629018783569,1.0,0.0,0.11948889041944594,0.03240143824254201,0.20404373158722805,,,0.13977300899461373,0.17052756272516856,0.04571941662586396,0.025178933166801802,0.07881819475974912,0.06916792272038941,0.17785199416685152,0.056517797010791834,36,83,0.13174603174603175,1.0,0.433900460977449,414.9489391436158,0.0002239433398144357,1.6096729536565482,6,8,0.5333333333333333,1.0,0.8588598049266833,153.62334494281995,0.003302412551186058,0.14309607254928144,0.12361548689708524,0.06587961371129973,0.8638635896489247,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0008266857475973666,0.006698733661323786,0.0011672014370560646,0.0006163258221931756,128
9,False,0.01,ViT-B_16-scratch,False,0.009,0.7296747967479674,0.7294859290122986,0.5387499928474426,tensor(0.7120),0.7115730047225952,0.6827739477157593,-0.5930209159851074,210.12875171748595,1.93500816822052,0.6792125105857849,-0.5957831740379333,210.12875171748595,1.9044878482818604,6.879243391007373,0.14398090541362762,23.280363082885742,0.0,1.029233694076538,0.15390591325286515,-0.0002765267994124798,0.6473893304573026,0.6473975845547125,0.8518895341695151,0.8292044556057967,1.3943058547418166,0.4917129934290255,0.0006680903955196271,0.0003679675227186152,0.037527119142565235,0.05949714152697326,0.00037662553950212896,0.20217014849185944,1.7052664756774902,18,1.9192168885438578e-05,-1.5836787380642791e-06,1.0022644705065602e-05,1633.2189376716155,3.648656108224191,2.89697376511255,0.3208176544862274,116.66666666666667,0.05694775086172115,42738497.88992214,3.520628874560426e-05,7672,0.687746241047534,2.4793287064422045,0.007747456059204441,0.0024943186082048516,0.004407294832826748,0.5684006353738432,0.0010780866889572376,-8.896032713841414e-05,0.031625802793965985,760833.5282105396,0.0019776519379807234,0.007747456059204441,0.14011400248655992,0.39189690351486206,0.0005555879906751215,5.12185525894165,2.767273187637329,0.6010830998420715,1.0,0.0,0.07859403837654426,0.12218098952474656,0.08599432804259775,0.01609476244319702,0.011261296816367278,0.13209684498377489,0.19674503480856623,0.02469404501794147,0.06088162667648492,0.17404446372483337,0.05585472694391308,0.03564773577051055,0.08450414524706687,41,88,0.1073170731707317,1.0,0.35272567141287553,560.8689452101287,0.000135666803017484,1.459547701443308,7,11,0.5238095238095238,1.0,0.7578083425756073,250.44425188607525,0.0018922401272329613,0.16631525668948038,0.18706852093360618,0.10318565433589408,1.1247826847471563,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0005327185499481857,0.005064063705503941,0.0007931218133307993,0.00037662553950212896,146
