model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,test_id_acc,num_edges,total_nodes,middle_layer_entropy,longest_path_to_logits,circuit_instability,normed_circuit_instability,weighted_shortcut_score,early_to_deep_edge_importance,path_depth_entropy,logit_contribution_ratio_deep_vs_shallow,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,object_edge_score,bg_edge_score,object_vs_bg_diff_mean,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy
0,False,0.0,ViT-B_16-scratch,False,0.01,0.7449186444282532,0.5525000095367432,132,44,7.0146005594084535,2,6.466004265348602e-08,156896864.0,16.02077865600586,0.00012001162394881248,0.8896251916885376,0.5630928238041361,0.21112681925296783,1.701488733291626,5,0.007024793885648251,0.007390685845166445,-0.04445311983607644,0.0002092816567147551,-8.089823821498483e-06,0.0013108402705580531,1396.577882780329,3.421551818895703,2.751515091722255,0.28141009419537644,81.0,0.05023582156658835,3635963.32849356,0.00035449338919635965,1820,0.7095748653521341,2.4609623863196757,0.008532165508909693,0.02533915353412161,0.005119177521653141,0.5942412949491669,0.0010114189497348967,-3.909659404514876e-05,0.030616081010931946,752349.4074446086,0.0017131999419348898,0.008532165508909693,0.12245936835799678,0.44775813817977905,0.000575375568587333,5.341835975646973,2.7952451705932617
1,False,0.01,ViT-B_16-scratch,False,0.01,0.729674756526947,0.5637499690055847,138,48,6.918843828261027,3,5.702523608874799e-08,138638480.0,15.7933349609375,0.00016912026330828667,1.054105281829834,0.7275626469548991,0.2090495079755783,1.6795775890350342,18,0.006684443447738886,0.007046401035040617,-0.04494643170185679,0.00020565596364059658,-1.0352828547141878e-05,0.0012722616668316058,1428.8750768917357,3.5013544792042985,2.8853525292239346,0.30484710185963837,100.0,0.07106903471113324,3924612.9189349855,0.00037089581988082707,4822,0.6825601223242758,2.4483202449224546,0.008874884366327475,0.02784965936935662,0.0052447079205240645,0.5625937168703056,0.001041874082497665,-5.244847759200552e-05,0.032653090780193995,774681.0009283386,0.0018789960321303992,0.008874884366327475,0.14108921445031136,0.38514044880867004,0.0007583714905194938,4.786170482635498,2.814995288848877
2,False,0.0,ViT-B_16-scratch,False,0.01,0.7317072749137878,0.5600000023841858,129,45,6.976927603444253,2,1.9223302061277536e-08,44939484.0,17.451814651489258,0.00025312079378636554,1.0415315628051758,0.5813420645691815,0.21861474215984344,1.639664649963379,18,0.004792986903339624,0.005035890731960535,-0.0436858099707594,0.00014538450130675747,-2.4069704204119404e-05,0.0006319752951090058,1279.173334452764,3.4727686104903848,2.8448797211828336,0.29731296675160607,72.25,0.11287465897576819,4398805.461605613,0.00034586719984413275,3355,0.692512783028346,2.462322882404124,0.010594315245478037,0.018499479966133672,0.006073232323232323,0.5622558656578179,0.0010120092426211473,-0.0001675471653348195,0.030621949009301284,631929.1531524893,0.0024075523467447534,0.010594315245478037,0.12877331742530504,0.3950122892856598,0.000738812203053385,5.552490234375,2.844542980194092
3,False,0.01,ViT-B_16-scratch,False,0.01,0.7357723116874695,0.5537499785423279,129,48,6.937941430470177,3,4.1265426631298396e-08,93477640.0,16.268840789794922,0.0001275918330065906,1.3410156965255737,0.7042523448919521,0.21717199683189392,1.6650898456573486,6,0.00280808936804533,0.0029463290702551603,-0.04277463811223477,0.0001817461247586642,-1.8529870757999788e-05,0.0008651534598347396,1343.148554060597,3.947241960042631,2.8666481741730383,0.3280077866382164,144.0,0.07114064807208723,4575002.386652172,0.00041995606928442913,16871,0.6687488920415235,2.4396791571508554,0.00989631514030219,0.023813199810189097,0.005975316915172837,0.5504531524470132,0.00111950364082932,-0.00011413864422507233,0.032825688115514326,742730.0190138391,0.0025868080939799513,0.00989631514030219,0.1466824314520443,0.38003867864608765,0.000806400494184345,4.4631195068359375,2.8106765747070312
4,False,0.0,ViT-B_16-scratch,False,0.03,0.7134146094322205,0.5562499761581421,125,42,6.942919209138719,2,2.867137993689539e-08,69233504.0,17.82246208190918,0.00021548958466155455,0.9922447204589844,0.8642352305051031,0.20971594750881195,1.6741743087768555,6,0.002507238183170557,0.0026198280975222588,-0.04130331422493822,0.0001088125764736978,-9.582436252462239e-05,0.0008979563167915726,1325.1232773911242,3.7078942600954825,2.7878046103293315,0.3016548197509798,49.0,0.08402198681617555,3131241.9713285556,0.0003593588037576968,8818,0.5955307080723244,2.2824682453151057,0.01206445993031359,0.02460873611671234,0.007170416740487017,0.5576551096046625,0.0007099138107828397,-0.0006251762347382547,0.0382215464558502,479943.48523008724,0.0023445247332581714,0.01206445993031359,0.16055204062723188,0.3654015064239502,0.0010927245020866394,4.105406761169434,2.845710039138794
5,False,0.01,ViT-B_16-scratch,False,0.03,0.7083333134651184,0.5475000143051147,144,51,6.888260003769258,3,4.725168167851734e-08,145210688.0,15.472383499145508,0.00026184425223618746,1.0677074193954468,0.7714943314730173,0.2264830470085144,1.7647429704666138,18,0.007903090678155422,0.008289706893265247,-0.04223406270179026,0.0001936130057387226,-1.0728357542558192e-05,0.000898577130965111,1580.3336733166334,3.6570823963518624,3.0491417435407286,0.3020475825650202,6.25,0.08325741410330757,4496531.450697705,0.00041632462180488946,10957,0.8863189280219295,2.761755866696253,0.007819127651060425,0.020019637274455833,0.004537420602043634,0.4938671634296095,0.0008914558329828613,-4.9396777978963314e-05,0.019049605072364646,976590.12841366,0.001916890920792688,0.007819127651060425,0.09217677600459129,0.4602848291397095,0.00025494873989373446,5.440227031707764,2.8263661861419678
6,False,0.0,ViT-B_16-scratch,False,0.03,0.7083333134651184,0.5587499737739563,144,44,6.969148542283026,2,7.310959393436178e-09,15133747.0,21.415987014770508,0.0,0.7283270359039307,0.2829131506789209,0.21918004751205444,1.644456386566162,6,0.004715255461633205,0.0049635739997029305,-0.04404451264579168,0.00010676355154922926,-4.289808827378746e-05,0.0004423495458823356,1781.0125925446978,2.693000182734518,2.781249985300653,0.25957915431032413,64.0,0.0909589333708849,5240122.636603471,0.00014923358081186404,5552,0.6453633056738015,2.4138660115439743,0.0067326084767945224,0.014925268344354488,0.003933856840833585,0.5986826818446839,0.0013136700805564498,-0.0005278386159940694,0.06697182832571658,425871.0994666024,0.0018362416747350042,0.0067326084767945224,0.18364767468693788,0.38726332783699036,0.0013777392450720072,6.501522064208984,2.73065447807312
7,False,0.01,ViT-B_16-scratch,False,0.03,0.7052845358848572,0.5374999642372131,141,44,6.859941148087055,2,1.1448267223101993e-08,20125906.0,21.648029327392578,0.0,0.9662561416625977,0.15286364727887997,0.20535075664520264,1.6136209964752197,6,0.005069700535386801,0.005366602446883917,-0.046656586687818094,0.0001328383259239461,-4.0067652940434435e-06,0.0008057818409560305,1780.7750929830825,2.5635700371606847,2.736530296012816,0.2759519762987227,49.0,0.078162349619539,4415139.349111776,0.00019183061548349217,9372,0.5975753802419241,2.2378536160214297,0.008695761602738347,0.02172376477120634,0.005036242826940502,0.6175082451082117,0.001809696504817804,-5.458535619385263e-05,0.1495485374638118,324087.337126281,0.002613366220624385,0.008695761602738347,0.2959493806526673,0.4180644750595093,0.00310789723880589,5.458725452423096,2.53879976272583
8,False,0.0,ViT-B_16-scratch,False,0.009,0.7266259789466858,0.5575000047683716,138,51,6.9048812057609705,3,5.1496783726179274e-08,117567648.0,16.04228401184082,0.0,1.3383275270462036,0.8107218482674697,0.21755236387252808,1.7025799751281738,6,0.003992917016148567,0.004169306717813015,-0.04188956038673468,0.00019495545901336504,-4.381639173090993e-05,0.001211931230066137,1344.871997139622,3.9391123409605693,2.9209314301798055,0.3030437942444298,72.25,0.07370716900055074,4310958.152595358,0.000509981479981969,4388,0.7092686572002018,2.4796458201456972,0.007563025210084033,0.02780547852618765,0.004882502619368358,0.528474109881735,0.000984470185586413,-0.00022126040568110354,0.030903829578514293,853702.6841998127,0.0025752628571353853,0.007563025210084033,0.14040983716726385,0.3919543921947479,0.0006653087912127376,4.4497222900390625,2.811466693878174
9,False,0.01,ViT-B_16-scratch,False,0.009,0.729674756526947,0.5387499928474426,136,48,6.933690601257055,3,3.0424445185417426e-08,77501728.0,16.01297950744629,0.00014867057325318456,1.1059544086456299,0.708630762585558,0.20833683013916016,1.6781522035598755,18,0.005360634531825781,0.005649058613926172,-0.04446578267479391,0.00016028694951899738,-1.0268755054366867e-05,0.0007174811560102522,1364.4181272676446,3.771536795914412,2.9232856413973485,0.31732711588390294,82.66666666666667,0.08485682933241673,4867207.755582957,0.0003476603351308839,4324,0.7280075862975788,2.570134296293974,0.008865248226950355,0.019902536463809274,0.005381482712765957,0.5413200248161975,0.0009421530371006646,-6.035886311494881e-05,0.024788889496863788,828050.0716935613,0.0020435178222917827,0.008865248226950355,0.11698541392384632,0.38873592019081116,0.000540287175681442,5.174459934234619,2.84413480758667
