,model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_id_acc,train_acc,train_f1,val_AC,val_ANE,val_l2,val_EMD,test_AC_ood,test_ANE_ood,test_l2_ood,test_EMD_ood,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0
0,0,False,0.0,ViT-B_16-scratch,False,0.01,0.7449186991869918,0.7448868155479431,0.5525000095367432,tensor(0.7334),0.7330359220504761,0.7102949619293213,-0.5603998303413391,231.28527769476872,1.935229539871216,0.7012797594070435,-0.5678472518920898,231.28527769476872,1.904971718788147,6.95139791081774,0.1964831352233886,23.871736526489254,1.185544806503458e-05,0.8368449211120605,0.1131925088615145,-0.0003940767409709,0.6059308800489227,0.6059369385065541,0.7244283066582758,1.1589367139936737,3.160490824467658,0.4891034385379656,0.0007244534563142,0.0004836902442093,0.0331364059128025,0.0587656383597552,0.0008895179489627,0.1937911510467529,1.717545747756958,5,2.0202334508913835e-05,-3.612743618842486e-06,2.487792708801662e-05,1670.1495422757826,3.42377126584057,2.6759842340937343,0.3248183293549416,56.25,0.0288413408926259,29321805.741904013,3.175602767538578e-05,7712,0.8503749806828586,2.2756514414491025,0.0099802825270777,0.0039520309872708,0.0054503231351547,0.6568417521011709,0.0009240895056948,-0.0001652530409136,0.0520522057524012,641029.8296994843,0.0014525752608454,0.0099802825270777,0.1807726873278567,0.4692975878715515,0.0005827898276038,4.531179904937744,2.704716920852661,0.5208754539489746,1.0,0.0,0.110389900398928,0.0713389534580643,0.1274570330522268,0.0748288689398453,0.048083682236893,0.215724263637651,0.1266579565831191,0.1400730734375566,0.0463023622242028,0.0803563282219948,0.0280290222222128,0.0133184136566181,0.027830042329615,34,80,0.142602495543672,1.0,0.3661729457754132,631.3339490806652,0.0001435745152215,1.5332108013451111,9,14,0.3888888888888889,1.0,0.5943000319845916,416.17440861361433,0.0007780036797544,0.1315786598578732,0.1676052693985074,0.0914678844025546,1.2738028307899545,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0010788234649226,0.007459164597094,0.0014659436419606,0.0008895179489627,139
1,1,False,0.01,ViT-B_16-scratch,False,0.01,0.7296747967479674,0.7291814088821411,0.5637499690055847,tensor(0.6881),0.6852744221687317,0.7506618499755859,-0.5170402526855469,203.72713461765056,1.9359790086746216,0.7494242191314697,-0.5206993222236633,203.72713461765056,1.9052796363830569,6.881887639976039,0.2707991898059845,22.17919158935547,2.1222102077445012e-05,1.0285192728042605,0.0881695864919949,-0.000206475572547,0.8148119385507394,0.8148192454823092,1.1733644699048773,1.0060693904230786,1.7917182369562887,0.5624848267001887,0.0013082952527554,0.0008406397655846,0.0369045563017576,0.0688508057568759,0.0011428812285885,0.1739141047000885,1.7249823808670044,18,3.3716824298154765e-05,-6.18233829526088e-07,6.61901553682516e-05,1496.088318905617,3.928074085575898,2.688913876859705,0.3115974479834671,194.0,0.037711963832648,25526650.8429582,6.43502835026806e-05,7840,0.6292423949516752,2.1178567187131887,0.0086725254394079,0.0069986524486669,0.0050512067322959,0.667059375163357,0.0009511263873895,-1.743991096279289e-05,0.052671600855192,904903.5192854108,0.0018152733207395,0.0086725254394079,0.1974267450435073,0.3536003530025482,0.0005682519404217,3.701686143875122,2.609802722930908,0.4988894462585449,1.0,0.0,0.0749854946795007,0.1121110660768747,0.0789650729509184,,0.0343008534715793,0.0653959225074282,0.1645823931611668,0.0341235461794532,0.069093273413944,0.1672765780435036,0.0902993963511185,0.1106515552159422,0.0732003426280708,41,87,0.1060975609756097,1.0,0.2943081439708074,795.9813025812576,8.526104993563635e-05,1.6130207362749445,7,9,0.4285714285714285,1.0,0.8494166577426333,198.2979493403496,0.0019946750276597,0.1514453449545412,0.1177669593852572,0.0625676825579441,0.7776201996872659,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0016423446359112,0.0116297015920281,0.0023048429284244,0.0011428812285885,140
2,2,False,0.0,ViT-B_16-scratch,False,0.01,0.7317073170731707,0.7315964102745056,0.5600000023841858,tensor(0.6995),0.6993241310119629,0.6857717037200928,-0.5903381705284119,231.28486690192733,1.9331145286560056,0.6801548600196838,-0.5942506194114685,231.28486690192733,1.9027323722839355,6.923433202011006,0.1489321887493133,23.58845329284668,0.0,0.9847512245178224,0.182730981667106,-0.0003468610841821,0.5814267407029001,0.5814337562265652,0.7929417067228045,0.7235063992129486,1.0609159327215512,0.3166956929014144,0.0006571017729513,0.0002943886417412,0.0439341583487037,0.0466264033752725,0.0002664376515895,0.2102482616901397,1.6781606674194336,18,1.4064153171977498e-05,-1.108029029228828e-06,7.994490292213794e-06,1424.599391864832,3.283914892551878,2.84332110094309,0.3051578603982523,118.2222222222222,0.0912377390215525,46674816.77551816,3.261523791387436e-05,4109,0.659009346155669,2.454509448568836,0.0088603425559947,0.0021442549180601,0.0051403985507246,0.5714241294166357,0.0009403714364097,-7.40861308937364e-05,0.0357406497944965,698066.4830266888,0.0021807525361773,0.0088603425559947,0.1433713076147516,0.4006599187850952,0.000871886673849,5.422770977020264,2.8066565990448,0.6103307604789734,1.0,0.0,0.0858071741261408,0.1920660247087532,0.0777758317199119,,,0.1889753626540213,0.1892102636442001,0.0354970024455576,0.0746971924954197,0.102706643790143,0.0471173279136468,0.031297137877573,0.060657212750773,41,80,0.0975609756097561,1.0,0.3581236975944592,611.2381237528006,0.0001164941360537,1.4700913675518623,5,6,0.6,1.0,0.9080570192525088,151.70959486048122,0.0041524259163518,0.1018904766119128,0.2140090779181123,0.1198265205450467,2.1003835199755136,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0004194805806037,0.0045549804344773,0.0006691410089842,0.0002664376515895,135
3,3,False,0.01,ViT-B_16-scratch,False,0.01,0.7357723577235772,0.734974205493927,0.5537499785423279,tensor(0.6861),0.681964099407196,0.7191938757896423,-0.5545588135719299,199.6544265365956,1.9340711832046509,0.7190436720848083,-0.5579954385757446,199.6544265365956,1.9031436443328853,6.9406919933009,0.2169403731822967,19.743484497070312,1.4517756426357664e-05,1.088617205619812,0.0612131454344916,-0.0003174720993399,0.6564087146092178,0.6564158176366445,1.0020341358374654,0.9585605039244312,2.221759564174252,0.6436667365053417,0.000925880463285,0.0007570220996626,0.033387451028373,0.0688956869081882,0.0012608175165951,0.1684892475605011,1.632421612739563,6,2.76764781698684e-05,-4.201542909107379e-06,5.8005494333739976e-05,1460.3022157591004,3.896546805126055,2.5734589221160125,0.2691872410141307,132.25,0.0392593073455498,25776072.63924885,4.64652814039158e-05,11401,0.5463024626801156,1.78957654326011,0.0084592455545277,0.006806081574331,0.0051514359760188,0.683692298430424,0.0009980861241504,-0.000151518571316,0.0754368382455479,714758.9041184004,0.0016756593938699,0.0084592455545277,0.2454450754291243,0.399722009897232,0.0006465980550274,3.107003688812256,2.4596095085144043,0.4365513920783996,1.0,0.0,0.1190901587775629,0.0356788277563362,0.1638792786592442,,0.051269020370832,0.1939948067603089,0.2778840153429397,,,0.0629732520754458,0.0473105722013725,0.1187492454598132,0.0482609813737071,41,93,0.1134146341463414,1.0,0.2932790201643182,639.7737408010046,0.0001336346124039,1.753567948977348,6,6,0.4,1.0,0.7120096929507851,268.99249848684155,0.0017114779166996,0.0756582420777812,0.0853869044724356,0.0445974722892551,1.1285869474029375,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0016774953110143,0.009587874636054,0.0022140080109238,0.0012608175165951,135
4,4,False,0.0,ViT-B_16-scratch,False,0.03,0.7134146341463414,0.7124154567718506,0.5562499761581421,tensor(0.6848),0.6828805208206177,0.7353507280349731,-0.5278000831604004,231.28430991704343,1.937056064605713,0.7256338596343994,-0.5362104177474976,231.28430991704343,1.9063628911972048,6.928710282855473,0.2280418127775192,22.36330795288086,3.195762474206276e-05,1.018718957901001,0.1499784079697906,-0.0003293297957718,0.6527826944522228,0.6527895760114064,1.0547499694572693,0.9780702063119332,3.315675457185173,0.2937831170441271,0.0010004325017014,0.0006175043144374,0.0495610883807802,0.0605567084667139,0.0005311538116075,0.2043221294879913,1.6622010469436646,16,2.5247512621878377e-05,-1.7604170747944398e-06,1.6088572496167818e-05,1394.242796888182,3.661183376152511,2.8159420077572968,0.3128082462661159,36.0,0.083003046558698,21925003.396203056,4.704259845945548e-05,7279,0.640231270161145,2.34539893631481,0.0107433217189314,0.0031969512015118,0.0063351282863477,0.5542892515954125,0.0012507883051439,-8.721289089685838e-05,0.0394864351561048,442562.3452412982,0.002330539730563,0.0107433217189314,0.1583803195517282,0.3527579307556152,0.0010835324646905,4.265172958374023,2.800692319869995,0.5443080067634583,1.0,0.0,0.1421134595922297,0.0521058845382386,0.2021839653918812,,,0.1190773366894567,0.2469901229798536,0.1384609808654116,,0.0284957894232541,0.0537615932072857,0.1020669645075147,0.0568573623971034,36,85,0.1349206349206349,1.0,0.3692107553731437,434.0260170206199,0.0001983605992928,1.577789176801078,6,8,0.5333333333333333,1.0,0.5585550419084744,295.0858885185537,0.0017260838595064,0.1125113805342821,0.1548497213323199,0.0839225526086317,1.3763027401938002,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0007041149656288,0.0064020142890512,0.0010376014979556,0.0005311538116075,128
5,5,False,0.01,ViT-B_16-scratch,False,0.03,0.7083333333333334,0.7066290378570557,0.5475000143051147,tensor(0.6840),0.6831762790679932,0.6801583170890808,-0.59432452917099,229.69664016827085,1.9365196228027344,0.6880428791046143,-0.588176429271698,229.69664016827085,1.906085968017578,6.850660603240994,0.1607455015182495,19.65739250183105,4.634872675524093e-05,1.0327329635620115,0.1717564752685121,-0.0002985971587321,0.7183905027002305,0.7183972770536604,1.0241558691325918,0.8916407203012117,1.5981733151475963,0.6148500365335502,0.0010859626300998,0.0005260123110701,0.0386610316243343,0.0643252991546196,0.0006776395603083,0.2184035032987594,1.7475720643997192,18,2.7199688154407185e-05,-5.101788940324316e-06,2.1073955984648387e-05,1420.2904631124843,3.5496647101640577,2.9044418127107434,0.2974856818445672,62.88888888888889,0.0629990068213055,19985256.79326174,5.633795393205565e-05,9696,0.7620177061497516,2.467137950375939,0.0099164401489982,0.0035175091335602,0.0055517970401691,0.5360495593555699,0.0009683514275031,-0.000181631669802,0.0267106359688603,561358.9541742235,0.0020057192791192,0.0099164401489982,0.125228827271438,0.483767956495285,0.0005100326379761,4.909733295440674,2.7891182899475098,0.6131558418273926,1.0,0.0,0.1230939927626563,0.1362549068044464,0.0762368110689767,0.0355033881254516,0.0569098784984074,0.0876095696882574,0.1536393547570511,0.0248717029473116,0.0496498541704268,0.1542150904741981,0.0544801232067979,0.0906280689402179,0.0800012513184564,37,78,0.1171171171171171,1.0,0.3946993141390345,428.3200595008991,0.0001836376092744,1.4430837675976242,7,13,0.6190476190476191,1.0,0.750459875821493,141.62066670922826,0.0035544784366449,0.2027049855664459,0.1771056234179649,0.0971562728445307,0.8737112356810305,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.000772692321334,0.0075095202773809,0.0011227213544771,0.0006776395603083,132
6,6,False,0.0,ViT-B_16-scratch,False,0.03,0.7083333333333334,0.7030707001686096,0.5587499737739563,tensor(0.6894),0.683937132358551,0.6484299302101135,-0.6243373155593872,231.2849348677661,1.9317476749420168,0.6500718593597412,-0.6228492259979248,231.2849348677661,1.9013181924819944,6.915484195087974,0.1021651551127433,25.530105590820312,0.0,0.7799108624458313,0.1107625741971661,-0.0004819655804411,0.2748889454300711,0.2748930806484321,0.3993870224644069,0.3277382469511107,0.5825450300953458,0.1079814985782501,0.0002654654001617,0.0001133793008563,0.0386965941981646,0.0283324843819158,0.0001679559936746,0.2087539434432983,1.6352795362472534,6,1.1526281044715418e-05,-9.918351019656975e-07,3.913396812654729e-06,1704.277704228146,2.6982751954951514,2.7761555609062296,0.2398018405736549,81.0,0.0780093779085182,65735688.625504136,1.3353098477632713e-05,2974,0.5715323021303961,2.2791447234369064,0.005346947738252,0.0015248167580447,0.0033022774327122,0.603895782223046,0.0016802771721611,-0.0001445875569454,0.0831643699196868,450930.39282440994,0.0019465867455279,0.005346947738252,0.2222845937557259,0.3740867078304291,0.0021421005949378,6.056876659393311,2.6657071113586426,0.570379376411438,1.0,0.0,0.0895687668169083,0.2363698156608024,0.1819040618631533,,,0.2184459777148617,0.1506776116147921,0.0204959379630278,0.0599408887532886,0.040753642158879,0.036315479188406,0.0302719803059179,0.0248246047768708,41,92,0.1121951219512195,1.0,0.5140382984965959,650.3138744585916,0.0001123972101551,1.4697441000064642,5,5,0.5,1.0,0.937823202406688,199.10352739674445,0.0026803228676877,0.0696856738243649,0.2302851130845856,0.1301255443954415,3.3046263377605265,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0002666824148036,0.002974406350404,0.0004351295938249,0.0001679559936746,149
7,7,False,0.01,ViT-B_16-scratch,False,0.03,0.7052845528455285,0.6997158527374268,0.5374999642372131,tensor(0.6782),0.6723775863647461,0.7058697938919067,-0.5653998851776123,147.60812303116165,1.934042930603028,0.7125440239906311,-0.5578117966651917,147.60812303116165,1.90374755859375,6.912725052311684,0.1750884354114532,19.379451751708984,0.0,0.9901922941207886,0.0285664159616185,-0.0008970536303838,0.1342478398903677,0.1342491353656346,0.2420493113419446,0.1542358291371413,0.3550091698224553,0.1046527967528477,0.0002508010359445,0.0002158738920261,0.0224530740478764,0.0238936937674874,0.0009322552359662,0.1534687280654907,1.659987449645996,5,1.7679938685028993e-05,-7.303018533734275e-07,3.18028619633852e-05,1950.5644650643808,2.6466293390840114,2.6358497925271727,0.2295056079122213,49.0,0.0494446658685871,39504419.98959335,2.1794609242146605e-05,9091,0.479095532902604,1.869728985567276,0.0075932778291705,0.0048385634024246,0.0045108468919482,0.6902182116911293,0.0015829503071489,-6.538662290580676e-05,0.2549407419985267,441224.0426564898,0.0019513519522828,0.0075932778291705,0.4332144720083887,0.3778688609600067,0.0055438452400267,4.225174903869629,2.1719815731048584,0.3615145087242126,1.0,0.0,0.1079443921159171,0.152084568387433,0.2254344914814955,,,0.2468506078881916,0.1460123594624487,0.066050059134095,0.05621485695202,0.0339638360108125,0.029204790163046,0.0441844305204574,,44,114,0.120507399577167,1.0,0.4441524800212804,814.93254310885,9.422496809989671e-05,1.6801369039813536,4,3,0.5,1.0,1.0,275.2199085398516,0.00242230538555,0.0336688375451799,0.1430971292367328,0.0770622586080195,4.250135724012207,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0010433580027893,0.0074108275584876,0.0014119998086243,0.0009322552359662,158
8,8,False,0.0,ViT-B_16-scratch,False,0.009,0.7266260162601627,0.7234774231910706,0.5575000047683716,tensor(0.6927),0.6848256587982178,0.7295786738395691,-0.5412492156028748,231.2851264559212,1.9341135025024407,0.7259124517440796,-0.5457219481468201,231.2851264559212,1.9036359786987305,6.876853932073844,0.2135473489761352,21.521337509155277,0.0,1.110134482383728,0.1367484517472534,-0.0001907615010736,0.7693762451531448,0.7693855453110088,1.2012443706510796,1.1509189087717668,3.942285890143836,0.524139069408184,0.0009936548896263,0.0007271336962588,0.0434802466072332,0.0732807273006059,0.0005987388431094,0.2075364142656326,1.688639998435974,6,3.148304903382969e-05,-5.495203190594017e-06,1.772624594952639e-05,1487.9510000767016,3.38466157344792,2.7837991393976917,0.2801241242547039,64.0,0.0607310612165353,19709013.858186085,4.290220108069871e-05,3927,0.612455563920095,2.2695203682314964,0.0096254355400696,0.0034772721727914,0.0056492450638792,0.5582428008113167,0.0013777078593235,-0.0002404717963324,0.0339451306764715,450385.64547982434,0.0018774134673596,0.0096254355400696,0.1521664967444325,0.3867926299571991,0.0006876070983707,4.145179271697998,2.7509710788726807,0.5645208954811096,1.0,0.0,0.1251627580133172,0.0320941114339986,0.209817654018114,,,0.1411780463662651,0.1705037285798705,0.0451625444287796,0.0258652044512048,0.1120772714715358,0.064852941733466,0.13373825376858,0.0647102437481853,37,84,0.1261261261261261,1.0,0.4202467607134176,445.5820299780837,0.0001950744990458,1.6120204404531424,5,8,0.8,1.0,0.961130686461471,127.3737616464272,0.0060039060733103,0.1345225226287957,0.1267285184590307,0.0676509089621023,0.942061715633508,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.000771653431002,0.0063042999245226,0.0010839696042239,0.0005987388431094,130
9,9,False,0.01,ViT-B_16-scratch,False,0.009,0.7296747967479674,0.7294859290122986,0.5387499928474426,tensor(0.7120),0.7115730047225952,0.6827739477157593,-0.5930209159851074,210.12875171748595,1.93500816822052,0.6792125105857849,-0.5957831740379333,210.12875171748595,1.9044878482818604,6.873998030455896,0.1392761021852493,22.43679428100586,0.0,1.0148839950561523,0.1513963704207115,-0.0002477870037083,0.6580226507335292,0.6580317311070946,0.8765686774479284,0.8540329097625261,1.4031768525641628,0.4798816457968947,0.0006351534536293,0.0003517540972666,0.0371418996395952,0.0566659313142387,0.0003638826310634,0.20171819627285,1.700463891029358,18,1.5073504430140147e-05,-9.792940569671769e-07,9.57765000616022e-06,1586.8901261245712,3.704422146498847,2.8875132257799847,0.3280854704508912,116.66666666666669,0.0610735097528323,46951012.06099612,3.366456748603633e-05,8603,0.6868668932544885,2.46153891075918,0.0085665279062596,0.0024409141824002,0.0048180696885599,0.5765676084041383,0.0008814913480934,-5.7268660483270365e-05,0.0327541710395447,802862.4271184601,0.0019686878586587,0.0085665279062596,0.1427434984990572,0.3899644315242767,0.0006134710274636,4.971089839935303,2.7785274982452397,0.5972862243652344,1.0,0.0,0.0852087410108313,0.1182962788361833,0.0776494331007436,,0.0082559707383145,0.1297491667792525,0.1897927649571286,0.0358779613914319,0.0685386318027994,0.1801043942108591,0.0650857473456317,0.0424338311997023,0.0842158196379528,42,88,0.1022067363530778,1.0,0.2997865678388934,622.0927142255434,0.000122959287847,1.4730313953895198,6,10,0.6666666666666666,1.0,0.7758102936056565,187.84018029769928,0.0036968514793016,0.1638371935712652,0.1815657055196075,0.0998472730473271,1.1082081031901394,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0005168223869986,0.004931507166475,0.0007744372123852,0.0003638826310634,144
