model_id,linear_probe,weight_decay,model_type,use_adam,learning_rate,val_id_acc,val_id_f1,test_acc_location_43,test_f1_location_43,test_acc_location_46,test_f1_location_46,test_acc_location_100,test_f1_location_100,train_acc,train_f1,val_AC,val_ANE,val_l2,val_EMD,test_AC_location_46,test_ANE_location_46,test_l2_location_46,test_EMD_location_46,test_AC_location_100,test_ANE_location_100,test_l2_location_100,test_EMD_location_100,test_AC_location_43,test_ANE_location_43,test_l2_location_43,test_EMD_location_43,middle_layer_entropy,weighted_shortcut_score,weighted_shortcut_score_normalized,early_to_deep_edge_importance,path_depth_entropy,deep_shallow_ratio,logit_contribution_diff_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow,logit_contribution_ratio_deep_vs_shallow_v2,logit_contribution_ratio_deep_vs_shallow_v3,logit_contribution_ratio_deep_vs_shallow_v4,logit_contribution_ratio_deep_vs_shallow_v5,logit_contribution_ratio_deep_vs_shallow_signed,deep_logit_contribution,deep_logit_contribution_signed,deep_logit_contribution_normed,deep_logit_contribution_signed_normed,largest_edge_score,middle_layer_score_ratio,std_entropy_across_layers,logit_contribution_peak_layer,algebraic_connectivity,spectral_gap,graph_energy,laplacian_energy,normed_laplacian_energy,laplacian_spectral_entropy,modularity,community_size_variance,avg_clustering,kirchhoff_index,avg_path_length,path_redundancy,effective_path_depth,node_importance_entropy,avg_betweenness,spectral_radius,avg_edge_flow_centrality,edge_score_gini,normed_algebraic_connectivity,normed_spectral_gap,normed_graph_energy,normed_kirchhoff_index,normed_avg_path_length,normed_avg_betweenness,normed_spectral_radius,attention_mlp_ratio,layerwise_score_variance,weighted_path_depth,layerwise_score_entropy,tail_shortcut_mass,tail_pos,tail_neg,backbone_chain_mass,inflow_from_0,inflow_from_1,inflow_from_10,inflow_from_11,inflow_from_2,inflow_from_3,inflow_from_4,inflow_from_5,inflow_from_6,inflow_from_7,inflow_from_8,inflow_from_9,pos_low_layer_nodes,pos_low_layer_edges,pos_low_layer_density,pos_low_layer_gcc_frac,pos_low_layer_lambda2_norm,pos_low_layer_aspl_abs,pos_low_layer_res_connectivity,pos_low_layer_volume,pos_high_layer_nodes,pos_high_layer_edges,pos_high_layer_density,pos_high_layer_gcc_frac,pos_high_layer_lambda2_norm,pos_high_layer_aspl_abs,pos_high_layer_res_connectivity,pos_high_layer_volume,pos_between_cut_weight,pos_between_cut_weight_frac_of_sign,pos_between_conductance_sym,neg_low_layer_nodes,neg_low_layer_edges,neg_low_layer_density,neg_low_layer_gcc_frac,neg_low_layer_lambda2_norm,neg_low_layer_aspl_abs,neg_low_layer_res_connectivity,neg_low_layer_volume,neg_high_layer_nodes,neg_high_layer_edges,neg_high_layer_density,neg_high_layer_gcc_frac,neg_high_layer_lambda2_norm,neg_high_layer_aspl_abs,neg_high_layer_res_connectivity,neg_high_layer_volume,neg_between_cut_weight,neg_between_cut_weight_frac_of_sign,neg_between_conductance_sym,between_net_cut_sign,L_p,L1,L2,Linf,L0
0,False,0.0,ViT-B_16-scratch,False,0.003,0.5975422427035331,0.2072193920612335,0.1902985125780105,0.0570388995110988,0.2232930362224578,0.0594916343688964,0.2172576338052749,0.075103759765625,tensor(0.6143),0.1879306584596634,0.6396148204803467,-1.0265575647354126,231.29054222314588,2.039050340652466,0.698035717010498,-0.9516885280609132,231.29054222314588,2.175124406814575,0.7054845690727234,-0.9851664304733276,231.29054222314588,2.152799367904663,0.6731235384941101,-0.9988913536071776,231.29054222314588,2.1255125999450684,6.877878946071677,0.23223455250263214,16.66904640197754,2.919146209023893e-05,0.9328575730323792,0.13167736726054982,0.000263904813920135,1.4757958552516623,1.4758224612330568,1.764354940723039,2.2566809749023555,4.6575865273699435,2.1481356838542838,0.0009785619604372187,0.0009118662707692238,0.023442441778978983,0.06545070874116865,0.0006806933088228106,0.2067563682794571,1.7352111339569092,23,5.20190122917034e-05,-1.6592441436627642e-06,3.768019400596711e-05,2073.374039508943,4.376119243301357,3.2142487080299613,0.3462120645727246,20.25,0.06434651133407306,14609568.820925372,8.305114919642861e-05,27682,0.8685348798598417,2.8799810793672274,0.008231292517006803,0.003995089492720843,0.00436050196476106,0.45485054631715766,0.0012462610971712858,-3.975183722824418e-05,0.021627533676497106,609804.2761470425,0.0019897228141068195,0.008231292517006803,0.09571355427676295,0.47490420937538147,0.0005355540779419243,3.901705026626587,2.6324501037597656,0.5336909890174866,1.0,0.0,0.2022549413833573,0.02736158534101237,0.05125795228261387,0.061839209592511046,0.1926313326592121,0.04991476409586446,0.026754757103908868,0.10571568277195204,0.11897808343595342,0.11382061678006453,0.09776341983946145,0.06327259643657462,0.09068999966087123,43,121,0.13399778516057587,1.0,0.4067318008074468,364.4098433123058,0.00028463505866309493,1.6158024178089572,7,14,0.6666666666666666,1.0,0.8499555523362388,186.26669960496955,0.0031193312953480216,0.1703147835533234,0.10694139931885964,0.056491330633072386,0.6279043843858547,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0008441854733973742,0.01187881175428629,0.0013822495238855481,0.0006806933088228106,161
1,False,0.01,ViT-B_16-scratch,False,0.003,0.593958013312852,0.2072973698377609,0.1895522475242614,0.0521215945482254,0.2211695462465286,0.0565665103495121,0.2352941185235977,0.1000711023807525,tensor(0.6088),0.1849343031644821,0.628240168094635,-1.0524863004684448,218.1197326651701,2.030234098434448,0.6850900053977966,-0.9771686792373656,218.1197326651701,2.1696019172668457,0.6975166201591492,-1.0156548023223877,218.1197326651701,2.145347833633423,0.6611349582672119,-1.0253630876541138,218.1197326651701,2.1181399822235107,6.8041595955200815,0.2451731413602829,15.779603004455566,3.625926547101699e-05,0.9008307456970215,0.10815550781331831,-4.6293817078435495e-05,0.9373121407127589,0.9373248292660024,1.1831368192694094,1.2645196014399993,3.2908965939522297,1.021306426895687,0.0008739014200216388,0.0007832075555995743,0.02131270494780086,0.0504082353944425,0.0008934105862863362,0.2154625505208969,1.7581063508987427,19,7.027559005882075e-05,-7.365188041802068e-06,4.040841247990564e-05,2229.087952309676,3.425761161674949,3.0980044689510478,0.3146806743473678,8.25,0.049830446753532674,7669456.648017545,8.435260987131149e-05,45619,0.789605477703926,2.850793398369245,0.008725319396051104,0.0043914315027337465,0.004444596266690959,0.427254860963067,0.0017140261381362164,-0.00017963734634773442,0.02403796260989309,314450.04597574094,0.00205736552857557,0.008725319396051104,0.10710729345580128,0.5048972368240356,0.0005478609818965197,4.145217418670654,2.630406379699707,0.5578311085700989,1.0,0.0,0.14899541205314185,0.03354632969999715,0.09835940603047941,0.06523136440513949,0.07815072918207544,0.06805166666296378,0.09605766529602422,0.0646618280357119,0.09709471163331845,0.08668984833639462,0.11681855070279175,0.06406751735697486,0.13127038265812896,35,116,0.1949579831932773,1.0,0.5053497281070125,290.0359833479618,0.0005093777302370148,1.6275104449318398,7,15,0.7142857142857143,1.0,0.8538175440272238,186.35227586164336,0.0032985166311695906,0.16886208032082284,0.10181373737366847,0.05363737973364055,0.6029402052860624,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0009927338687703013,0.011689296923577785,0.0014574258821085095,0.0008934105862863362,153
2,False,0.0,ViT-B_16-scratch,False,0.01,0.5995903737839222,0.2150005996227264,0.1895522475242614,0.0521215945482254,0.2206795066595077,0.0565599836409091,0.2256609946489334,0.0832116678357124,tensor(0.6185),0.1982873380184173,0.6312313079833984,-1.0325961112976074,231.2909050372089,2.0294406414031982,0.696131706237793,-0.9473041296005248,231.2909050372089,2.170224189758301,0.7491579651832581,-0.8511037230491638,231.2909050372089,2.1431214809417725,0.6619446873664856,-1.0120545625686646,231.2909050372089,2.118314743041992,6.708456916305403,0.28909581899642944,13.094705581665039,0.0,0.8611540794372559,0.07395527630707059,5.7405155487799675e-05,1.0773856984973738,1.077400223442842,1.3717677350878443,1.7799192896465696,4.162880326884394,1.1857225441206902,0.0010173942024351845,0.0009454568877202973,0.019667943931267185,0.042824829344223395,0.0012624013470485806,0.1676592081785202,1.7468476295471191,19,7.367614392719998e-05,-4.0932118917980694e-06,0.00011045584328865871,2148.6949623782857,3.840662670254691,3.0288181629138577,0.29663207889777443,20.222222222222225,0.05241675022961219,6915555.250884358,0.00011587432049636927,24813,0.7279889057903531,2.648094285723365,0.010912135699430085,0.007729555041218731,0.00522017252433409,0.4964726799474339,0.0014243915996893343,-7.913462850791479e-05,0.0412851343097194,357704.62154731184,0.002240215010470726,0.010912135699430085,0.1494366056791585,0.46418297290802,0.001467194757424295,3.1858291625976562,2.404883861541748,0.3870947062969208,1.0,0.0,0.24424520916402195,,0.08153164068574768,,,0.08383287369828527,0.13299064487927786,0.09470211337521119,0.09570177368659984,0.08240802977389218,0.15965621548086234,0.08968008307042008,0.1794966253497036,38,133,0.1891891891891892,1.0,0.45243918291569707,335.57613723109324,0.0003937586663684554,1.8391943340169372,5,6,0.6,1.0,0.9094740493589876,241.5091535597303,0.002598420779199542,0.06812476390602948,0.04634045103851656,0.023719819076537668,0.6802291616369938,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.001618657261133194,0.01819191314280033,0.0024556235875934362,0.0012624013470485806,152
3,False,0.01,ViT-B_16-scratch,False,0.01,0.593958013312852,0.2056879997253418,0.1895522475242614,0.0521360263228416,0.2206795066595077,0.0565738566219806,0.2174625992774963,0.064145989716053,tensor(0.6162),0.19480761885643,0.6227908730506897,-1.053672194480896,189.4677195559539,2.028929710388184,0.6905475854873657,-0.9663364887237548,189.4677195559539,2.170284509658813,0.7424206137657166,-0.8707220554351807,189.4677195559539,2.1451640129089355,0.6611970663070679,-1.019980788230896,189.4677195559539,2.1177175045013428,6.708384672656633,0.2835494577884674,14.058058738708496,0.0,0.8590686321258545,0.06124720517940739,0.0001421497456792764,1.219566466977397,1.2195853038459046,1.5696122897256977,1.9760844188140672,4.536389383775906,1.2904225467830013,0.0010160970787129742,0.0009983857946114227,0.019844501890810093,0.0494987582100988,0.0017931777983903885,0.1533941924571991,1.7563402652740479,19,6.518551390043513e-05,-9.479419709868756e-06,0.00014086712610465366,2017.7654721596423,3.947582980447239,2.961480111135235,0.31154284975088836,22.888888888888886,0.04154582245750811,7108042.825260487,0.0001087552279577087,40727,0.5944245618347858,2.4208099969731514,0.009790596999899325,0.009703340041061596,0.0049519701462888595,0.5423581704119812,0.0012731622972572021,-0.00018514600862907572,0.05373719508336462,363929.58699730854,0.0021241384265003192,0.009790596999899325,0.18951950743735285,0.4412858188152313,0.0013107256963849068,3.3094482421875,2.3377585411071777,0.3871789276599884,1.0,0.0,0.18323673525892392,0.03557658006486689,0.0848650538074934,,,0.0632267448191372,0.11083654567210505,0.10742460402421038,0.11366624119516257,0.09153391938901703,0.12725012959564366,0.1012373211471958,0.16438286028516802,39,128,0.17273954116059378,1.0,0.3643961358963746,321.0483358156391,0.00038600505080318824,1.8510879547168326,5,7,0.7,1.0,0.9423665808634382,261.88936281371326,0.0027745512218234378,0.06227192391726049,0.04332006068295325,0.022139574190183375,0.6956595839324281,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0020754162687808275,0.018729383125901222,0.002905398840084672,0.0017931777983903885,149
4,False,0.0,ViT-B_16-scratch,False,0.03,0.604710701484895,0.2200376391410827,0.1895522475242614,0.0519201569259166,0.2196994423866272,0.0552284345030784,0.2256609946489334,0.0834326222538948,tensor(0.6222),0.2025546729564666,0.6327618360519409,-1.0328174829483032,231.29017599177112,2.0324575901031494,0.7143716812133789,-0.906118094921112,231.29017599177112,2.1728458404541016,0.7621304988861084,-0.8014405369758606,231.29017599177112,2.1436686515808105,0.6656748056411743,-1.0030924081802368,231.29017599177112,2.121734619140625,6.495657418015152,0.19820889830589294,13.617683410644531,0.0,0.8872694969177246,0.06819523257535613,0.00010935694265867824,1.2593267409525186,1.2593566046206541,1.6337191217253118,2.078255485091176,6.276927508309866,1.3150566343767391,0.0006888528125585935,0.0006882772237162271,0.02402004665821119,0.04728741606746207,0.0005597476265393198,0.13163520395755768,1.7530893087387085,15,3.2199240866876325e-05,-4.1134831026228805e-06,4.803482509869663e-05,2279.7419943103814,3.523122469002999,2.966377723186788,0.2742549877769318,36.22222222222222,0.06830037370724225,10485296.962328607,5.5336634907759546e-05,40783,0.753026425843193,2.570642372502145,0.01023954116059379,0.005202698957894072,0.005056036678553234,0.5508647784773734,0.001122856868036658,-0.00014344600003001742,0.05841356674000685,300678.2243531712,0.0019297075737715484,0.01023954116059379,0.1814293114756919,0.371311217546463,0.002127404324710369,2.9179608821868896,2.309234857559204,0.28637054562568665,1.0,0.0,0.2137646068275054,0.019010724437220086,0.0688132489512775,,,0.09311817101265364,0.1149081336205402,0.11778076257205487,0.11273417693349655,0.08850427314344066,0.15255260781568983,0.10153232640129821,0.13104557511232845,35,128,0.21512605042016808,1.0,0.4036543872139341,410.6496968775012,0.0003501554203950643,1.8211456150836427,5,5,0.5,1.0,0.8916674260874191,213.90717643735357,0.0026327669913995067,0.06641490493569742,0.056219739990330204,0.028922888634567424,0.8464928173090345,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0009761558612808585,0.012249596416950226,0.0016307629412040114,0.0005597476265393198,154
5,False,0.01,ViT-B_16-scratch,False,0.03,0.5908858166922683,0.1990786343812942,0.1902985125780105,0.0560257993638515,0.2206795066595077,0.0570190995931625,0.2068046778440475,0.0570551604032516,tensor(0.6119),0.1859895288944244,0.6042250394821167,-1.0904392004013062,126.03762779979346,2.028873443603516,0.6104167103767395,-1.1134387254714966,126.03762779979346,2.168750047683716,0.6719446778297424,-1.0404659509658811,126.03762779979346,2.144443988800049,0.601361095905304,-1.105729341506958,126.03762779979346,2.117863655090332,6.635993377429647,0.2872161865234375,16.9614200592041,0.0,0.8870931267738342,0.056569018944357924,1.2326554497121833e-05,1.0172932883641919,1.0173075684490493,1.351863146002398,1.3280161042554077,2.1181474159221567,1.021082423046979,0.0009628048755985219,0.0009628048755985219,0.026668984954050946,0.05685813091902552,0.0022274155635386705,0.14228366315364838,1.7718406915664673,14,3.113863637844189e-05,-2.5451689976633917e-05,0.00013808312424257443,1551.3109440189278,3.8624478960003863,2.63852600779629,0.2695200310102062,26.0,0.04204319274932984,7824903.787397666,6.252153379629054e-05,15900,0.47656194818158765,1.8563919531616528,0.011069774227668966,0.010416121224169975,0.006281338117024894,0.6489654104975322,0.0008625727999401362,-0.0007050383685800545,0.1059577982239837,282476.84013354674,0.001731911844169525,0.011069774227668966,0.2885374481739097,0.45547255873680115,0.0021532957907766104,3.739800453186035,2.249181032180786,0.36655646562576294,1.0,0.0,0.1225779222213844,0.14140386640750358,0.0726047734434743,,,0.08482083394974843,0.1054166128999894,0.1361193878395881,0.10526772159400716,0.11848520280053448,0.11245120435279471,,0.12343039671235986,35,101,0.16974789915966387,1.0,0.2260028562972327,378.19749911269304,0.00030817660933416164,1.8348363392795526,4,4,0.6666666666666666,1.0,0.9468953256262531,177.1209851593127,0.004234645745758109,0.053569347845152354,0.055797156437647696,0.02869924638902948,1.041587375656225,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0024729608558118343,0.015120496973395348,0.0031884920317679644,0.0022274155635386705,123
6,False,0.0,ViT-B_16-scratch,False,0.003,0.5934459805427548,0.20909084379673,0.1900497525930404,0.0556005835533142,0.2211695462465286,0.0567210875451564,0.2379586100578308,0.1049078032374382,tensor(0.6147),0.1870151609182357,0.6362727284431458,-1.0326563119888306,231.2905261903629,2.029713630676269,0.698616623878479,-0.9481726288795472,231.2905261903629,2.169804573059082,0.7117015719413757,-0.9758090376853944,231.2905261903629,2.144562244415283,0.6659128069877625,-1.0136662721633911,231.2905261903629,2.118003845214844,6.7994127594777325,0.2390219122171402,15.835694313049316,4.1053874156204984e-05,0.8996506929397583,0.11181751255540189,-3.58216262412725e-05,0.950317738674628,0.9503309141249935,1.186029147839608,1.2547362089742238,3.422377488093872,1.0577642857419893,0.0008553709677414645,0.0007552000698467509,0.020114975414747185,0.05003340179198818,0.0008176882984116673,0.2172870635986328,1.7493293285369873,19,7.088726974769083e-05,-2.214199377509946e-05,3.963092710711097e-05,2165.6099347786353,3.5439822549786357,3.1030947244739746,0.31166485893166695,8.1875,0.05710376371338128,6885637.444403091,8.708665614770924e-05,32860,0.8335566381357266,2.869418875653449,0.009427767354596621,0.004216071112980982,0.00466934031756425,0.4209235074151913,0.0016671209190250484,-0.0005207335483503495,0.021919564790027084,292782.6253649498,0.0020480967432022004,0.009427767354596621,0.09915320850019943,0.5102173686027527,0.0004821654874831438,4.038523197174072,2.627607583999634,0.5552161335945129,1.0,0.0,0.16350837991038866,0.022157747156631803,0.10247669504048088,0.06382489294856586,0.07524874770991616,0.06670612455882893,0.09028522188565286,0.0686163810636789,0.10134941433795973,0.09269825768218293,0.12151920206948118,0.05697984963616679,0.13813746591045398,34,115,0.20499108734402852,1.0,0.5176443254104376,273.26494355185724,0.0005638253626772543,1.644784493522425,7,13,0.6190476190476191,1.0,0.7905149845901953,196.62788701989697,0.0028043390850526115,0.15915898817984533,0.09802825914886504,0.05154033419287146,0.6159140634778085,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0009454162791371346,0.0117401834577322,0.0014381068758666515,0.0008176882984116673,149
7,False,0.01,ViT-B_16-scratch,False,0.003,0.5990783410138248,0.2087345421314239,0.1895522475242614,0.05212177708745,0.2205161601305008,0.0564984381198883,0.2352941185235977,0.1100159063935279,tensor(0.6149),0.1827879250049591,0.603059709072113,-1.0993237495422363,217.85317033860625,2.0290584564208984,0.6475452184677124,-1.0549399852752686,217.85317033860625,2.1696743965148926,0.6528922319412231,-1.1010684967041016,217.85317033860625,2.1443874835968018,0.6344221234321594,-1.073777198791504,217.85317033860625,2.1175732612609863,6.829300266222471,0.2703709602355957,15.93465518951416,4.283550151740201e-05,0.8688913583755493,0.10109679282915997,-2.213785988658401e-05,0.9729685890891768,0.9729804629544261,1.2033529566771275,1.2983483344572029,3.458976418973137,1.0549087660573513,0.0009859406716046237,0.0008744858748954698,0.01883599574015599,0.051538967579436254,0.001062897965312004,0.21264652907848358,1.741655945777893,19,7.661319069839678e-05,-8.540314088619855e-06,5.41592041789445e-05,2022.6442770066344,3.7234672914849414,3.0857245995546654,0.3276990892956968,10.6875,0.04869373807769348,6244293.545332918,0.0001062806712114962,23827,0.8094118136450058,2.876127681805554,0.009318323952470293,0.004994553337466687,0.004712906504065041,0.4285250081471689,0.0014637654302955144,-0.00016317057528567784,0.019770067861251378,326825.07467482885,0.0020305899368661525,0.009318323952470293,0.09542553426258779,0.5017338395118713,0.00045236345613375306,4.041470527648926,2.5983028411865234,0.5481820106506348,1.0,0.0,0.1565831674876692,0.030748465558835033,0.10305654648115385,0.07767659103849549,0.07801047912402811,0.06667469833328639,0.09391791407934595,0.05632264128710178,0.10544313979771278,0.0829160966189447,0.10989146234760969,0.05742143584136308,0.13792052949212316,34,109,0.19429590017825313,1.0,0.45532850711166095,272.7015094754934,0.0005271030444163082,1.6513740540415547,7,15,0.7142857142857143,1.0,0.8259404339097765,203.27737975239185,0.003233755677276179,0.1630938427544754,0.09276605160198491,0.0486390522148077,0.5687894161745684,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0012073380639776587,0.013530262745916843,0.0017649311339482665,0.001062897965312004,144
8,False,0.0,ViT-B_16-scratch,False,0.01,0.6052227342549923,0.2168333530426025,0.1895522475242614,0.0521008670330047,0.2196994423866272,0.0554353930056095,0.2254560440778732,0.0832571610808372,tensor(0.6134),0.1856248676776886,0.6260475516319275,-1.0536620616912842,231.2909045110932,2.0291152000427246,0.6862318515777588,-0.9870744943618774,231.2909045110932,2.1702568531036377,0.7072349786758423,-0.9649966955184937,231.2909045110932,2.1443066596984863,0.6669692397117615,-1.0204076766967771,231.2909045110932,2.1185076236724854,6.672655722019696,0.286516398191452,13.940443992614746,0.0,0.8972404599189758,0.07888377200085377,6.578291230141531e-05,1.0896955539164401,1.089710412915038,1.4067877678706755,1.8127040424372927,4.1999167189910835,1.203925975303244,0.001031570270129123,0.0009771131618663276,0.021518021384779998,0.047541341382518566,0.0013594756601378322,0.17518532276153564,1.7635642290115356,19,7.11564728538261e-05,-2.960179207209699e-06,9.941147962890591e-05,2297.7660906593273,4.003727223783868,3.075533450740835,0.32059230336138045,16.88888888888889,0.04214303921831368,6931867.170664733,0.00010472838986651412,56337,0.7565399518144473,2.706453820961735,0.011615322661834288,0.0074064549768537435,0.005295384738122781,0.5058241049891723,0.0014843904891786823,-6.175210932322559e-05,0.04326174679692393,332289.39161580405,0.00218473205259946,0.011615322661834288,0.1545055715556805,0.46923524141311646,0.0013103445526212454,3.264723300933838,2.451711416244507,0.41358405351638794,1.0,0.0,0.2257741590667741,,0.06668238372726003,0.0725508670507551,0.10064637452069661,0.08065306105098946,0.09590894259323812,0.0726634520461502,0.0887883213616252,0.07143748525945051,0.12688621835329877,0.07829627507548914,0.14548661896104687,37,133,0.1996996996996997,1.0,0.43626359254758995,332.58041587359253,0.00046247199651226826,1.7819759306571952,7,11,0.5238095238095238,1.0,0.8826645322463421,245.36730867849397,0.0018348578139788607,0.11074422411915955,0.05363992261182266,0.02755909517205168,0.4843586474912381,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.001600829535163939,0.017528604716062546,0.0023698669392615557,0.0013594756601378322,159
9,False,0.01,ViT-B_16-scratch,False,0.01,0.5985663082437276,0.2104737758636474,0.1895522475242614,0.052170880138874,0.2196994423866272,0.0561320595443248,0.2186923623085022,0.0758468508720398,tensor(0.6186),0.1983170956373214,0.6190829873085022,-1.0609396696090698,189.37879130631865,2.0286953449249268,0.6631457805633545,-1.030170440673828,189.37879130631865,2.171036720275879,0.7037942409515381,-0.9596701264381408,189.37879130631865,2.145580053329468,0.6521314382553101,-1.0397976636886597,189.37879130631865,2.117849826812744,6.741267559694401,0.2975246012210846,14.431221008300781,0.0,0.8517170548439026,0.06356143821131009,0.00016990663383609217,1.2475206923217965,1.247538865323848,1.5972256740632835,2.0380132685456864,4.545713370896494,1.3124056457145497,0.0010963096050105037,0.0010756337996085108,0.02024414156854833,0.05217276885939361,0.001954559935256839,0.15277893841266632,1.752784013748169,22,8.014222126003992e-05,-5.4136496159692905e-06,0.000137151568438747,1911.6935288219831,3.953081372861316,2.914560342084489,0.3220731876343773,11.555555555555555,0.038231253577835335,5669144.542786641,0.00011177434566778219,35917,0.6351431855867499,2.4422308207027252,0.010834896810506566,0.009445931070566412,0.005439895470383275,0.5550950782756117,0.0014799614317733839,-9.997217513483441e-05,0.04677123220211097,306993.02695788303,0.0020641019908575024,0.010834896810506566,0.17443506361033312,0.45488521456718445,0.0013918904587626457,3.3924641609191895,2.3395071029663086,0.3966664969921112,1.0,0.0,0.18654585704724036,0.033597605232271725,0.0856827166683646,,,0.05737043644239525,0.13823682623402533,0.0949185263937977,0.11555401338725833,0.08045204915300641,0.12994378232400397,0.09991231889220782,0.16433172527266884,36,118,0.1873015873015873,1.0,0.3541218880676824,305.3763964342127,0.00046809271908600914,1.8442634501697237,5,7,0.7,1.0,0.9387666637749029,258.2261305169973,0.00284445338567595,0.06466561067476377,0.04553546957775616,0.023298181608810597,0.7041682449544501,0,0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0022023555357009172,0.018366912379860878,0.003014377085492015,0.001954559935256839,140
